problem,split,method,axis,x,mean,q10,median,q90
lasso,test,ldro_pep,K,1,21.985356783249905,16.29002964525903,21.312661495643546,28.751631239278275
lasso,test,ldro_pep,K,2,14.694154692961497,10.993963462162798,14.359087210065653,18.98950316689585
lasso,test,ldro_pep,K,3,9.964033567709189,7.0294376687600275,9.48573962614944,13.512320465179398
lasso,test,ldro_pep,K,4,7.9369835989746935,5.607534732640014,7.719126482062368,10.582636733993638
lasso,test,ldro_pep,K,5,7.400775814747962,5.184772526670198,7.164235943723331,9.900646306257414
lasso,test,ldro_pep,K,6,5.39194293010406,3.488178371698747,5.086934490885747,7.593278890757542
lasso,test,ldro_pep,K,7,2.7259252479616456,1.4567497189198497,2.578949870971213,4.009793334385182
lasso,test,ldro_pep,K,8,1.8771061719304951,0.9177888128049567,1.788541092984218,2.8748499683361164
lasso,test,ldro_pep,K,9,2.0872853281391497,1.0793249856487013,1.987643772571177,3.131952476903836
lasso,test,ldro_pep,K,10,1.6529895658363365,0.7794322866388089,1.5782329154347394,2.6052936752425397
lasso,test,ldro_pep,K,11,0.9034089262422192,0.35044486436502537,0.8691711063711942,1.5919652738610917
lasso,test,ldro_pep,K,12,0.20645010976817632,0.0334738868650522,0.1604374903004615,0.4397105084397919
lasso,test,ldro_pep,K,13,0.09332429387156618,0.007818777795445087,0.060547330669193045,0.22995956396714415
lasso,test,ldro_pep,K,14,0.19635152928683577,0.029628101715979592,0.1509114086419192,0.43078826355952027
lasso,test,ldro_pep,K,15,0.08892487075423372,0.007441765029131631,0.05773076929448884,0.22022775889659596
lasso,test,ldro_pep,matvec_budget,2,21.985356783249905,16.29002964525903,21.312661495643546,28.751631239278275
lasso,test,ldro_pep,matvec_budget,4,14.694154692961497,10.993963462162798,14.359087210065653,18.98950316689585
lasso,test,ldro_pep,matvec_budget,6,9.964033567709189,7.0294376687600275,9.48573962614944,13.512320465179398
lasso,test,ldro_pep,matvec_budget,8,7.9369835989746935,5.607534732640014,7.719126482062368,10.582636733993638
lasso,test,ldro_pep,matvec_budget,10,7.400775814747962,5.184772526670198,7.164235943723331,9.900646306257414
lasso,test,ldro_pep,matvec_budget,12,5.39194293010406,3.488178371698747,5.086934490885747,7.593278890757542
lasso,test,ldro_pep,matvec_budget,14,2.7259252479616456,1.4567497189198497,2.578949870971213,4.009793334385182
lasso,test,ldro_pep,matvec_budget,16,1.8771061719304951,0.9177888128049567,1.788541092984218,2.8748499683361164
