iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,beta0,beta1,beta2,beta3,beta4
0,3.591627175164128,0.020885207066979918,0.719650904648006,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387
1,3.591627175164128,0.02088521744866663,0.9949156888760626,10.201115748424815,9.999999999999159e-07,1.2426516371467127,1.2426471781453687,1.2426516371467087,1.242647178145341,1.2426471781453416,1.0000076116184636e-06,0.28175252511773113,0.43404378278790073,0.5310628053968698,0.5987785940560387
2,3.5916268684117907,0.020885435760068363,0.9204551419243217,10.106439321875476,2.097999999999987e-05,1.2426984231053222,1.242600393139326,1.242698423095277,1.2426003931525518,1.242600393140283,2.1925679132151514e-05,0.28173154021667846,0.43406476767419944,0.531041820505519,0.5987785940560387
3,3.5916204897380846,0.020885862023480365,0.006654512137174606,10.107043081566895,4.095999999999993e-05,1.2427897744200966,1.2425090484544914,1.2427897734627684,1.2425090488742305,1.2425090481294574,6.275659382506991e-05,0.2816905673917506,0.43410573965891996,0.5310008479041318,0.5987785940560387
4,3.5916080496367604,0.020886495884661363,0.006561229936778545,10.108226399380749,6.0939999999999996e-05,1.242925696932151,1.2423731470427948,1.2429256907225896,1.2423731495838408,1.2423731448771234,0.00012349285093246767,0.28162960564962886,0.4341666968020859,0.5309398873127683,0.5987785940560387
5,3.591589526266931,0.020887336830307596,0.006480889860540628,10.109986986924412,8.091999999999984e-05,1.243106197944664,1.2421926940995496,1.243106175094652,1.2421927031840918,1.2421926859377228,0.00020413688422976086,0.2815486537982409,0.43424763416402395,0.5308589390185814,0.5987785940560387
6,3.591564887801196,0.02088838423869073,0.006269589066505432,10.112331691973097,0.0001008999999999999,1.2433312865693973,1.2419676961919663,1.2433312234683376,1.2419677209852045,1.241967673469591,0.0003046915141296637,0.28144771002250674,0.43434854295233827,0.5307580037777649,0.5987785940560387
7,3.591534097048457,0.020889637417329406,0.006201669108122587,10.11525324341801,0.00012087999999999997,1.243600974033641,1.2416981603046635,1.2436008283659612,1.2416982174873445,1.2416981080117153,0.00042515966045883523,0.281326771399837,0.43446940968248493,0.5306370827186254,0.5987785940560387
8,3.59149711447383,0.02089109562689895,0.007076564244925976,10.118765115260675,0.00014085999999999992,1.243915273607404,1.2413840939300955,1.243914976515836,1.241384210518176,1.241383987748109,0.0005655441984703896,0.2811858339416415,0.4346102152590121,0.5304961774211061,0.5987785940560387
9,3.591453900045478,0.02089275812215612,0.00607038801535964,10.122847832881849,0.00016083999999999998,1.2442742010180383,1.2410255036674858,1.244273647792217,1.2410257210017073,1.241025307209237,0.0007258481123265956,0.28102489191304614,0.4347709340194663,0.5303352897929756,0.5987785940560387
