iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
10,0.8318255811978109,0.009292938908006388,0.10403035720810294,6.896764872313379,2.6200000000000003e-06,1.8872983670520926,1.8872992232081793,1.887311380449552,1.887299064824344,1.8872996103241,1.8872983962380445,1.8873805347284902,1.8873062101307736,1.8873021333719455,1.8873316886926539,1.8873965826533725,1.8873007532158925,1.887298381063726,1.8872984623956122,1.8872984866363798
11,0.8318276476950748,0.009292987917329885,0.10225471784360707,6.896643092110896,2.8000000000000003e-06,1.887290616086411,1.8872916230816374,1.88730580979957,1.8872914417540079,1.8872920653432401,1.8872906604007869,1.8873876004739845,1.8872996875746888,1.887294954066203,1.8873262736726992,1.8874040586469532,1.8872930687844554,1.8872906401053813,1.8872906975799693,1.8872907211515548
12,0.8318298623541079,0.009293040226124209,0.10314734606072307,6.896512029055144,2.9800000000000003e-06,1.8872823662829774,1.8872835321413783,1.887299844587939,1.8872833270841811,1.8872840312563246,1.887282427297813,1.8873952203068447,1.887292712549985,1.8872872963073732,1.8873202760502017,1.8874120217628167,1.8872848679100551,1.8872824013954745,1.8872824310258256,1.887282453564163
13,0.8318322255671895,0.009293095838026847,0.10353813995607197,6.896367074333734,3.1600000000000002e-06,1.8872736179472602,1.8872749501945134,1.8872934785274174,1.8872747206585152,1.8872755077607397,1.8872736971216262,1.8874033877747727,1.8872852820203934,1.88727915906606,1.8873137034370384,1.887420472419628,1.8872761526656152,1.8872736651518336,1.8872736632740617,1.8872736844486036
14,0.8318347376754734,0.00929315475628664,0.10522584710270166,6.896216789975571,3.340000000000001e-06,1.887264371363094,1.887265877054965,1.887286705902194,1.8872656223338145,1.8872664945722535,1.8872644700520886,1.8874120975609068,1.8872773932743783,1.8872705413944617,1.8873065623922693,1.8874294110171104,1.8872669248132568,1.887264431576936,1.887264394812404,1.8872644143226445
15,0.8318373989815755,0.009293216983877167,0.10388411115854979,6.896048154454093,3.520000000000001e-06,1.8872546267904076,1.887256312542793,1.8872795214727094,1.8872560319730582,1.8872569914134465,1.8872547462579967,1.8874213451839295,1.8872690438535717,1.8872614424134009,1.8872988586545376,1.8874388379345097,1.8872571858834577,1.8872547008545821,1.8872546260799559,1.8872546436563922
16,0.8318402097592261,0.009293282523504302,0.1021235310472548,6.895875565532614,3.700000000000001e-06,1.887244384477569,1.8872462564900072,1.8872719203917416,1.8872459494397908,1.8872469980221218,1.8872445258990358,1.8874311268055328,1.8872602315100546,1.8872518613006828,1.8872905973337293,1.887448753537445,1.887246937222251,1.8872444731671396,1.887244357495225,1.8872443728821482
17,0.8318431702574232,0.009293351377662329,0.10427832417190075,6.895675726749628,3.880000000000001e-06,1.8872336446595006,1.887235708739201,1.8872638981601932,1.8872353746089425,1.8872365141448308,1.8872338091333851,1.8874414390936176,1.8872509541706752,1.887241797288058,1.8872817830093234,1.8874591581725613,1.887236180035552,1.8872337486844728,1.8872335894405257,1.8872336024050338
18,0.8318462807042956,0.009293423548684643,0.10754152596928179,6.8954908492763,4.060000000000002e-06,1.8872224075566455,1.8872246691376358,1.8872554505781691,1.8872243073664923,1.8872255395430362,1.887222596106732,1.8874522791034167,1.8872412099156979,1.8872312496444612,1.8872724198263784,1.8874700521710985,1.8872249154144114,1.887222527566488,1.887222322272954,1.8872223326032276
19,0.8318495413117126,0.009293499038710268,0.10841016401536763,6.895289371488894,4.240000000000001e-06,1.8872106733810758,1.887213137547277,1.887246573731727,1.8872127476102778,1.8872140739891756,1.8872108869626025,1.887463644227344,1.8872309969638437,1.8872202176781219,1.8872625115701205,1.8874814358490484,1.8872131443590034,1.8872108099646772,1.8872105563268928,1.8872105638340784
