iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,0.04689243812171197,0.01322818324426502,0.0886379589792341,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,0.04634593582964609,0.013228144495274664,0.0455828330013901,0.03192067095041386,9.999999999992654e-07,1.2500022366057275,1.2500022366050731,1.250002236604338,1.2500022366034418,1.2500022366022878,1.250002236600714,1.2500022365983996,1.2500022365946,1.2500022365870809,1.2500022365646764
2,0.04764997514299088,0.013220355806117889,0.04747570800827816,0.03249153318969293,0.0002009799999999999,1.2504518064089214,1.2504519466554578,1.2504519638398754,1.2504519759973738,1.2504519922222779,1.2504520115945292,1.2504520323014572,1.2504520529184808,1.2504520722204808,1.2504520875612155
3,0.046904789090240186,0.013204845912964974,0.0023015000042505562,0.03121116947826188,0.0004009599999999988,1.251347697809172,1.2513480236214103,1.25134821011577,1.2513484423354895,1.2513486804482443,1.2513489086874845,1.2513491219743282,1.251349319224982,1.2513494999858776,1.2513496589705984
4,0.048386494024976585,0.013181616397134428,0.002291416982188821,0.03244848581566227,0.0006009399999999995,1.2526924164743045,1.252692808428248,1.2526931628471958,1.2526937309824262,1.2526943532606816,1.2526949678010544,1.2526955531132844,1.2526961026622987,1.2526966138435311,1.2526970755319113
5,0.04675398675433701,0.013150743307304761,0.002329625014681369,0.03144903551857466,0.0008009199999999984,1.2544838603086061,1.2544852615435547,1.2544860502862931,1.2544870972595246,1.2544882265276354,1.254489348208008,1.2544904262933763,1.2544914474294186,1.2544924048814072,1.2544932782515017
6,0.04981696270849594,0.013112204738232509,0.002286875038407743,0.03285707287655082,0.001000899999999999,1.2567277301689106,1.2567300648725457,1.2567317184916051,1.2567337453635978,1.2567358676022784,1.2567379453169172,1.2567399246357795,1.2567417878205915,1.2567435277464747,1.256745116916787
7,0.04847697948874946,0.013066126603343468,0.002405041945166886,0.03206651263916941,0.0012008799999999997,1.2594217997971577,1.2594259414769131,1.2594291485456057,1.2594325255539351,1.2594358930331018,1.2594391373757994,1.2594422127098508,1.2594451050246096,1.2594478084802194,1.2594502864190473
8,0.04901978331753862,0.013012542381744563,0.0023064579581841826,0.033632429312513146,0.0014008600000000003,1.26257605135958,1.2625808996222427,1.2625847559426304,1.2625887779454568,1.2625928095905865,1.2625967149957746,1.2626004284853491,1.262603923447983,1.2626071851117435,1.2626101593465209
9,0.04565762902345733,0.01295179033526263,0.002190458995755762,0.031134738773799644,0.0016008399999999992,1.2661770991505417,1.2661833920877121,1.2661874103263597,1.266191220283868,1.2661950186306183,1.266198738324489,1.2662023161088964,1.2662057131600823,1.2662088988937052,1.2662117912120638
10,0.04612214131028847,0.012883919024338903,0.0022615420166403055,0.03176537871926802,0.0018008199999999981,1.2702314241282873,1.2702398627964453,1.2702433419853358,1.2702459822026708,1.2702485559197056,1.2702511171863389,1.2702536174266026,1.2702560063164836,1.2702582344532343,1.270260186134083
11,0.04723859320846939,0.012809005914014342,0.0021849580225534737,0.031837616496130275,0.0020007999999999988,1.2747417873452602,1.2747519774745937,1.2747554717360206,1.2747571144190721,1.2747584642103442,1.2747597894876928,1.2747610902652853,1.274762317341093,1.2747634074054037,1.2747642117105777
12,0.048837914408656494,0.012727044111401074,0.002239083987660706,0.032490901462954504,0.0022007799999999994,1.279715233983261,1.2797284298916949,1.2797332422505039,1.2797350788994901,1.2797362095480975,1.2797371390411254,1.2797379470219277,1.2797386108717563,1.2797390724837827,1.2797391626885806
13,0.04769940905728416,0.012638377656649866,0.0022570419823750854,0.03158056616390109,0.002400759999999999,1.2851460910575625,1.285163263352516,1.2851692633352463,1.28517145131057,1.2851726555354261,1.2851735216828952,1.2851741701276378,1.2851745904654794,1.2851747254239447,1.285174383629393
14,0.04789372889674169,0.01254317842720176,0.002279540989547968,0.031906670146149604,0.00260074,1.2910432371595524,1.2910603661530349,1.2910664220524584,1.291068402213061,1.2910694461413994,1.2910702195975854,1.291070810040253,1.2910711730063982,1.2910712222383036,1.2910707227916194
15,0.04304062693867638,0.012442251806839506,0.002192542015109211,0.02913354953529892,0.0028007199999999996,1.297376732562217,1.2973883332437357,1.2973913789785603,1.297390951255794,1.297390147943522,1.2973894772684245,1.2973888976771255,1.2973882714114198,1.2973874429132866,1.2973861028360598
16,0.04449809566997889,0.01233561569519475,0.002286000002641231,0.030458278506037616,0.0030007000000000002,1.304173804783474,1.3041653291176931,1.3041588632800436,1.3041517198501182,1.3041458542643498,1.3041411881216078,1.304137328220867,1.3041339143608854,1.304130641483488,1.3041270717167646
17,0.04356712271310573,0.012223577474210672,0.002266917028464377,0.029515749362448725,0.00320068,1.311422420269781,1.3113833770915195,1.3113629435311909,1.311345996716272,1.3113326721246643,1.3113220731049318,1.311313329078462,1.3113057779213828,1.311298910752926,1.3112921202078354
18,0.04054430336577449,0.012106906998670074,0.00225629098713398,0.02783576552308766,0.0034006600000000007,1.319103211322897,1.3190163959574874,1.318972837710937,1.3189397005503807,1.318914096275399,1.3188937576164295,1.3188770319050929,1.3188627683177052,1.3188501303480575,1.31883825247378
19,0.04226967609388457,0.011985158308009803,0.0022877079900354147,0.029735500220877575,0.0036006399999999996,1.3272529178705605,1.3271081680756922,1.3270350480208537,1.3269804449038582,1.3269378728888177,1.3269034547081917,1.3268746427593219,1.3268497338012946,1.3268275224555457,1.326806854252784
20,0.04486840049116425,0.011858358053241045,0.0023206669720821083,0.02986148698442979,0.0038006199999999993,1.3358800963762059,1.3356616265312988,1.3355542385716774,1.335476170980258,1.3354158523271902,1.335367178824748,1.3353264328972065,1.3352912271238857,1.3352599189347027,1.3352310247265184
21,0.042953132456745514,0.01172704669575427,0.002427542000077665,0.02903738857810058,0.0040006,1.344974374871417,1.3446658070543933,1.3445169825617993,1.3444110157743134,1.3443298683546259,1.3442647241476087,1.3442104309939815,1.3441637480849742,1.344122480199943,1.3440847309996873
22,0.04095854206737781,0.011591995046188552,0.0022846669889986515,0.027275851587574486,0.004200579999999999,1.3545046074795573,1.3540848079035626,1.353886707040489,1.3537483060610394,1.353643514084296,1.3535600766939182,1.3534910284680501,1.3534320619450428,1.3533803010182515,1.3533333533580594
23,0.04471546714348091,0.011452383689137553,0.002347333007492125,0.0301199229415826,0.0044005599999999995,1.3645428414550542,1.3639955536833448,1.3637405565421676,1.363565008703655,1.363433327110763,1.3633292120549048,1.36324356595321,1.3631708339029558,1.3631073515401035,1.3630501622549125
24,0.04495672475848849,0.011308452727584278,0.0022544999956153333,0.02986265868514244,0.004600539999999999,1.375084440177299,1.3744022839675345,1.3740842336077361,1.3738670658754735,1.3737051585811604,1.3735777961090367,1.3734735267577396,1.373385411399788,1.3733089083631054,1.373240433530751
25,0.04170467484303616,0.011161282452671017,0.0021694169845432043,0.028452544229534152,0.00480052,1.3861110392800764,1.3852596089591622,1.3848632573440218,1.3845950263635523,1.3843963685163434,1.3842409709322765,1.3841144215465937,1.3840080465363653,1.3839162073039735,1.3838345441015638
26,0.0435825657397544,0.011010669957651665,0.002182916970923543,0.02897670632318065,0.0050005,1.3976401356725225,1.3965925407155235,1.3961089144576695,1.3957836640573655,1.395543986390144,1.3953574595485114,1.3952063811239372,1.3950801165829647,1.39497177419438,1.3948761071214721
