iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13
10,1.5377074173972383,0.0009720083801846451,0.03004004101967439,13.52456445386808,2.6200000000000003e-06,1.2499595189972004,1.2500405307967932,1.2500404788216266,1.2499595244161408,1.2499595538313697,1.25004051178037,1.2500404938444263,1.2499595252636397,1.2500404702208476,1.249959532319462,1.2500404663798836,1.2500404710754336,1.2499623482785802,1.2500404692378548,-1.8129039406455762e-05,0.2817716332606962,0.4340362733249472,0.5310457043390843,0.5987966815421127,0.6489414395544876,0.6876278151890773,0.7184817539754513,0.7436729465371127,0.7646466179994996,0.7823911418137918,0.7976062815275297,0.810801855872368,0.8223766390185734
11,1.537704465642132,0.0009720119271008152,0.030094583984464407,13.497469092538248,2.8000000000000003e-06,1.2499532532848516,1.2500468171416064,1.2500467467853023,1.2499532617286773,1.2499533015332907,1.250046812339348,1.250046766592565,1.2499532630896117,1.2500467295310183,1.2499532740752197,1.2500467242627475,1.2500467313471804,1.2499561601676603,1.2500467281405478,-2.093492668270652e-05,0.28177443627963666,0.4340366760512678,0.531042903908595,0.5987994760626365,0.6489442484990062,0.6876250390230311,0.7184789541871585,0.7436701463165258,0.7646438181810326,0.7823883411052881,0.7976034820296214,0.8107990368128375,0.8223766390185734
12,1.5377012155458423,0.0009720156802961762,0.030291083035990596,13.494407318174645,2.9800000000000003e-06,1.2499465855180696,1.2500535047933319,1.2500534174860027,1.2499465964329959,1.2499466483399115,1.2500535155842156,1.2500534419259197,1.249946598423003,1.2500533912168446,1.249946613353535,1.2500533845652382,1.2500533940249317,1.2499495686819553,1.2500533896359032,-2.392082716694e-05,0.28177741908075404,0.4340371980159169,0.5310399234640699,0.5988024510513797,0.648947237492848,0.687622082969708,0.7184759744009177,0.7436671660401883,0.7646408383475225,0.7823853603592783,0.7976005024404483,0.810796037761832,0.8223766390185734
13,1.5376977215516194,0.0009720197066537737,0.030061209050472826,13.48434501295511,3.1600000000000002e-06,1.2499395160812539,1.2500605902235693,1.250060489143981,1.2499395286231987,1.2499395889575617,1.2500606116160684,1.2500605179039381,1.2499395316145188,1.2500604558267179,1.2499395494925138,1.250060447770632,1.2500604593329725,1.2499426472763542,1.2500604541080014,-2.708683654332727e-05,0.28178058144326595,0.4340375604272058,0.5310367629347599,0.598805605255293,0.6489504042330062,0.6876189424187015,0.7184728145873962,0.7436640058568532,0.7646376784714899,0.7823821997122337,0.7975973426796803,0.8107928608170212,0.8223766390185734
14,1.5376940860911712,0.0009720239963553268,0.029858083988074213,13.492297609183431,3.340000000000001e-06,1.2499320428036322,1.2500680788034528,1.2500679627323543,1.2499320583769813,1.24993212929363,1.2500681132168228,1.250067996553855,1.2499320621643657,1.2500679231901057,1.2499320838477506,1.2500679133915171,1.250067927032343,1.2499352546503202,1.2500679210489467,-3.0433735043519637e-05,0.2817839239445306,0.4340378378054032,0.5310334223040271,0.5988089392157002,0.6489537515665668,0.6876156226573142,0.7184694747349547,0.7436606657350033,0.7646343386892223,0.7823788591290657,0.7975940031053677,0.8107894982536292,0.8223766390185734
15,1.5376902862601607,0.0009720285571240048,0.03020991600351408,13.482391881968129,3.520000000000001e-06,1.249924168200404,1.2500759678763,1.2500758372709175,1.2499241858195704,1.2499242629237486,1.2500760063069063,1.2500758700951975,1.2499241905776932,1.2500757936549782,1.2499242153189996,1.2500757820158748,1.2500757970765939,1.2499275883119492,1.2500757906822326,-3.396056933385384e-05,0.28178744629984537,0.4340379443225969,0.531029901694972,0.5988124537749113,0.6489572764943518,0.6876121160998472,0.7184659547878963,0.7436571456879676,0.764630818889825,0.7823753386811326,0.7975904833135399,0.8107859614402911,0.8223766390185734
16,1.5376863452729728,0.0009720335196773846,0.03052516601746902,13.451942788752646,3.700000000000001e-06,1.2499158961031331,1.250084230148975,1.2500841087085757,1.2499159129756308,1.2499159864834448,1.2500842482886936,1.250084130922998,1.2499159178964134,1.2500840687502486,1.2499159417791161,1.250084056017742,1.2500840696329483,1.2499201570961833,1.2500840643251312,-3.7666469501353324e-05,0.2817911453235034,0.4340372095933414,0.5310262017502886,0.5988161535366898,0.6489609707614861,0.6876084081386096,0.7184622546012035,0.7436534460313153,0.76462711894735,0.7823716388756627,0.7975867828556644,0.810782268109303,0.8223766390185734
17,1.5376825019587381,0.0009720388385392227,0.03009612497407943,13.471124680769114,3.880000000000001e-06,1.2499072222537937,1.2500928830251088,1.2500927796868317,1.2499072381013063,1.249907299743268,1.2500928742890811,1.2500927874815653,1.2499072432353535,1.2500927474906383,1.249907265147993,1.250092733756305,1.2500927446383738,1.2499124656963647,1.250092741166763,-4.155270297926519e-05,0.2817950230305742,0.4340359725652849,0.5310223217132767,0.5988200320631729,0.6489648409623545,0.6876045112930687,0.7184583742944748,0.7436495666305828,0.7646232390199759,0.7823677594153755,0.7975829023642573,0.8107783982943197,0.8223766390185734
18,1.5376786451273434,0.0009720443747956307,0.03349504200741649,13.478909761874947,4.060000000000002e-06,1.2498981466524728,1.2501019273329956,1.2501018551551342,1.249898160773943,1.2498982099512759,1.2501018983700867,1.2501018419946315,1.2498981661886999,1.2501018294449504,1.249898186123666,1.2501018138151283,1.2501018227085827,1.2499043727450645,1.2501018207135404,-4.561880907997419e-05,0.28179907916338903,0.4340348251805803,0.5310182618114799,0.5988240913805363,0.6489688901155461,0.6876004309668161,0.718454313927628,0.743645507480132,0.7646191791788488,0.7823637000333932,0.797578841994437,0.8107743457048047,0.8223766390185734
19,1.5376745562801766,0.0009720503134734846,0.02980579197173938,13.450157435837426,4.240000000000001e-06,1.249888674835149,1.250111349502457,1.250111324844118,1.249888682382953,1.2498886957209947,1.2501112722887413,1.2501112841946904,1.249888688056412,1.2501113161136737,1.2498887023968415,1.2501112995486694,1.250111303130229,1.2498966189289353,1.2501113042862675,-4.986331355605401e-05,0.2818033126094657,0.43403281208176375,0.5310140220305524,0.5988283296479023,0.6489731079853102,0.6875961483836536,0.7184500732564445,0.7436412686142222,0.7646149392286629,0.7823594613968964,0.7975746009211814,0.810770136846149,0.8223766390185734
20,1.5376705734061273,0.0009720563468049594,0.030120000010356307,13.507202480439448,4.420000000000001e-06,1.2498787956533646,1.2501212014054615,1.2501212032818687,1.2498787999863221,1.2498787852513686,1.2501210935292144,1.2501211427082892,1.2498788062909243,1.2501212037091558,1.2498788186231564,1.2501211848213831,1.2501211852452334,1.2498880805819412,1.2501211885803678,-5.428925100389241e-05,0.2818077292668646,0.43403145739679017,0.5310096018325894,0.5988327430106316,0.6489775149864226,0.6875917051885839,0.7184456527771881,0.743636849533854,0.764610519428976,0.7823550420599518,0.7975701802816848,0.810765728169602,0.8223766390185734
21,1.5376661595256325,0.0009720627338383867,0.029743375023826957,13.45650230523052,4.600000000000001e-06,1.2498685171538206,1.250131433169248,1.2501314788319626,1.2498685171933088,1.2498684689951072,1.2501312670620903,1.2501313855910134,1.2498685233801845,1.2501314960716425,1.2498685304937318,1.2501314757357842,1.2501314698180819,1.2498796731565607,1.2501314766161709,-5.889494731960381e-05,0.28181232342250445,0.43402948992756113,0.5310050022190776,0.5988373420718788,0.6489820921195814,0.6875870606377971,0.7184410520126066,0.7436322508214416,0.764605919540761,0.7823504433752929,0.7975655792467783,0.8107611602312368,0.8223766390185734
