iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
17,0.027929632964707175,0.00928246018162737,22.22164633893408,0.06650419601955894,0.00032068000000000005,1.8948405207706431,1.883532675906917,1.8801914064366025,1.8799188225165007,1.8799528664820586,1.8799823325447789,1.8940365701838688,1.8804599075522268,1.8858751009754722,1.8943823518571585,1.8947698612722657,1.8948436784431193,1.8948352807227138,1.8948288443029544,1.8949033203822487
18,0.028086958369459097,0.009280851036877891,21.220156698022038,0.05132569829663688,0.00034066,1.8957839227952908,1.8832017064439084,1.8793393321815124,1.8790209252020802,1.879069024454233,1.8790940547723949,1.8948836512836105,1.8796723574144345,1.8858326033789123,1.895292049206832,1.8957124704262516,1.8957735449848974,1.8957747393124218,1.8957437597491948,1.89584591900485
19,0.034514127417975965,0.009278757830024685,20.47442204807885,0.04614088607666757,0.00036063999999999996,1.8967901916007892,1.8830373508943048,1.8784673656448958,1.8780895777451605,1.8781510701059778,1.8781678563616582,1.8958249185400315,1.8789141912047844,1.8859889291106873,1.8962858062387329,1.8967228627671417,1.8967565336240657,1.896765574652484,1.8967104627921814,1.896844783464345
20,0.027178856208205295,0.009276805047266048,21.882566114887595,0.07319540889226948,0.0003806199999999999,1.8978521616735717,1.882763957192972,1.877507656216897,1.8770871434285004,1.8771706326473159,1.8771690228252915,1.8967658366909528,1.8780697013371883,1.8860587780648208,1.8973148232557129,1.8977816350666221,1.8977840233056946,1.8978021995527008,1.897726758330172,1.897913572613353
21,0.03246482983014835,0.009274427051312789,21.097496368922293,0.04482318823815944,0.0004006,1.898975098969584,1.8826220618740275,1.8765294049787489,1.8760525712658378,1.876160205560291,1.8761382979665417,1.8977995398630632,1.8772429567992188,1.886277392165145,1.8984219868068453,1.898904800668963,1.8988671967587643,1.8988899711822183,1.8987949056277025,1.8990375133123036
22,0.02682518504156029,0.009272087484714043,20.874834770103917,0.06262908670113249,0.00042057999999999993,1.9001505280853543,1.8823899849536523,1.8754806788933773,1.874956999653758,1.8750856449768936,1.8750486645528808,1.898877385729633,1.876346582129402,1.8864403549375353,1.899570096948293,1.900074709170373,1.9000061788361151,1.9000286892435085,1.899922619587005,1.900223643371428
23,0.029263523914834,0.009269787126259496,22.421889318153262,0.060201079455214385,0.0004405599999999999,1.9013795691699438,1.8821426680845832,1.8743658379931347,1.8738044550056037,1.8739679824495339,1.8739036308916421,1.8999558495278006,1.8753802884660336,1.8866443553494412,1.9007563467723245,1.9013528967621325,1.901202055867051,1.9012265924074219,1.9008565188994428,1.9014810783856753
24,0.030275028482896444,0.00926733528212582,21.252562921028584,0.06298881097840606,0.00046053999999999995,1.9026675331945404,1.8819015435395778,1.873191986741404,1.8725947250304404,1.8727941040695613,1.872694662427635,1.9010953011637952,1.8743781226891336,1.8869225923039932,1.9020128657150654,1.9026844191700876,1.90244594706321,1.902444476453172,1.9018573669415249,1.9028025828596948
25,0.03245359151213657,0.009264336907474312,21.998556070029736,0.03850106296310388,0.0004805199999999999,1.9040180669498956,1.8818696734764342,1.8720252384574905,1.8713678283997774,1.8716057110548587,1.8714734759390124,1.902347628307896,1.8734174815538793,1.887366143541689,1.9033493629189513,1.9040690941674876,1.9037511321461138,1.9036871791391536,1.9029327504349582,1.90416506088515
26,0.02514318810521523,0.009261416582617374,19.39085878408514,0.05611116048020522,0.0005005,1.9054144342781623,1.8817027968394278,1.870812598453302,1.8700843204168656,1.8703517171093285,1.8702052714520048,1.9036486953937406,1.8723784133571721,1.8877320339315216,1.9047237697914545,1.905488147869176,1.9051214801431262,1.9049561823142838,1.9040872710957428,1.905576357057445
27,0.02717499379994627,0.009258650635006149,20.209531750995666,0.07338885038380419,0.00052048,1.9068651579298783,1.8813849013454365,1.8695122039828853,1.8687228495364003,1.8690101348899886,1.868852366517535,1.90498021848815,1.8712468116084489,1.8880394618188108,1.9061432494268011,1.9069515298589808,1.9065464897421551,1.9062563639511538,1.9053183926130863,1.907045102769473
28,0.026819111994535325,0.009255858892079874,20.038438315037638,0.05347512863441203,0.00054046,1.908364832155176,1.8809926864890336,1.8681620713022133,1.8673125787036857,1.8676225986480024,1.8674590365242358,1.9063679976395176,1.8700627024984868,1.8883048513844778,1.907609627569654,1.908459281578915,1.9080291172472361,1.9075805056366268,1.9066115963414285,1.9085745195800972
29,0.025598507552994754,0.009253455847836172,21.53151221293956,0.07226275912219852,0.00056044,1.9099159286605305,1.8804039359380402,1.8667089489845583,1.8658210625707974,1.8661594753336634,1.8659853695122948,1.9077355748878386,1.8687467627149887,1.8883221785844184,1.9090781474326106,1.9099966219945084,1.9095619829458048,1.9089294013227998,1.9079723903894683,1.9101753904316763
