iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,beta0,beta1,beta2,beta3
35,7.8669313464923105,0.03250255299037371,0.002537374966777861,39.87651329525811,7.120000000000001e-06,1.2496823157786432,1.2503185739105587,1.250320134550302,1.2496822447979896,-0.00014212946938703497,0.28189584075759655,0.4341850938388764,0.5310638054044796
36,7.866907978598476,0.0325022776502728,0.0027524999459274113,39.86764575545861,7.3e-06,1.2496659982825196,1.2503350072398378,1.2503367705545643,1.249665917969494,-0.00014943054141975133,0.28190316988509045,0.43419242233852073,0.5310638054044796
37,7.866883967743135,0.03250199508293412,0.0025745839811861515,39.85847120575052,7.48e-06,1.249649278751375,1.2503518539420913,1.250353839522295,1.249649188182144,-0.0001569116034790259,0.28191068192589863,0.43419993368570997,0.5310638054044796
38,7.866859309166987,0.032501705251046786,0.002715707989409566,39.84917434630264,7.660000000000001e-06,1.2496321572139544,1.250369114737324,1.2503713433710808,1.2496320554042166,-0.00016457265382374697,0.28191837707377604,0.43420762806505864,0.5310638054044796
39,7.866833998105986,0.03250140811535941,0.0028014170238748193,39.83957046505475,7.840000000000001e-06,1.2496146336984373,1.2503867903636587,1.2503892841428643,1.2496145196012378,-0.0001724136904947464,0.28192625552879136,0.43421550567489553,0.5310638054044796
40,7.866808029557275,0.03250110363507255,0.002517209039069712,39.82973810034803,8.020000000000001e-06,1.2495967082364277,1.2504048815928102,1.2504076639537847,1.2495965807384495,-0.00018043471077742123,0.28193431749978637,0.43422356672061047,0.5310638054044796
41,7.866781398316499,0.032500791770530106,0.002460499992594123,39.81978155675669,8.200000000000001e-06,1.2495783808538423,1.2504233891950896,1.2504264848432567,1.2495782387732444,-0.0001886357151998241,0.2819425631938319,0.43423181139988964,0.5310638054044796
42,7.8667540993221765,0.03250047247944075,0.0027689170092344284,39.809552076164,8.380000000000001e-06,1.2495596515842256,1.2504423139892658,1.2504457489763923,1.2495594936690329,-0.00019701670121980688,0.2819509928328288,0.4342402399258381,0.5310638054044796
43,7.866726127168839,0.032500145717713466,0.002536417043302208,39.79905213834494,8.560000000000001e-06,1.2495405204599097,1.2504616568227283,1.2504654586214583,1.2495403453862193,-0.00020557766684526106,0.2819596066470368,0.4342488525225716,0.5310638054044796
44,7.8666974762262045,0.03249981144058651,0.002612625015899539,39.78834637120881,8.740000000000001e-06,1.2495209875119313,1.2504814185618083,1.2504856160723272,1.2495207938844506,-0.00021431861110936858,0.28196840487234454,0.4342576494187438,0.5310638054044796
45,7.866668140778529,0.03249946960191918,0.002547500014770776,39.77737521022939,8.920000000000001e-06,1.249501052778481,1.25050160008721,1.2505062237058553,1.2495008391240368,-0.00022323953017359865,0.2819773877476152,0.434266630849162,0.5310638054044796
46,7.8666381149318125,0.032499120154971986,0.002444749989081174,39.76618380860445,9.100000000000001e-06,1.2494807162925416,1.2505222023011364,1.2505272839223678,1.2494804810567508,-0.0002323404230424743,0.2819865555184303,0.43427579705391023,0.5310638054044796
47,7.866607392717193,0.0324987630521298,0.00266941700829193,39.7548317656862,9.280000000000001e-06,1.2494599780885915,1.2505432261403273,1.2505487991413273,1.2494597196365111,-0.00024162128939953008,0.2819959084397993,0.43428514827682857,0.5310638054044796
48,7.866575968045022,0.03249839824444493,0.002493084000889212,39.74322986538292,9.460000000000001e-06,1.249438838205544,1.2505646725535497,1.2505707718622299,1.2494385548196825,-0.00025108212632830157,0.28200544676996747,0.4342946847694317,0.5310638054044796
49,7.866543834657971,0.03249802568086506,0.0027121659950353205,39.73140106635874,9.640000000000001e-06,1.2494172966817114,1.2505865425430769,1.2505932046721018,1.2494169865637745,-0.00026072293171105587,0.28201517078353605,0.43430440679641213,0.5310638054044796
50,7.866510986026036,0.032497645310675435,0.002685874991584569,39.71930419929926,9.820000000000001e-06,1.2493953535553317,1.2506088370862303,1.25061610017187,1.2493950148189708,-0.0002705437031903561,0.28202508074612914,0.4343143146197275,0.5310638054044796
51,7.8664774156707935,0.032497257082766705,0.0026007500127889216,39.70714252006245,1e-05,1.2493730088664121,1.2506315572093911,1.2506394609190312,1.249372639543251,-0.00028054443942220883,0.2820351769373209,0.43432440850184434,0.5310638054044796
52,7.866443117044676,0.03249686795277651,0.0026368750259280205,39.694599743950306,9.999890338174275e-06,1.2493506650905928,1.2506542944470924,1.250662868010993,1.2493502636947085,-0.00029054501690271546,0.28204527772117316,0.4343345068389681,0.5310638054044796
53,7.866408703174012,0.03249647791210878,0.0026432500453665853,39.682057745137364,9.999561358041869e-06,1.2493283227309866,1.2506770486499528,1.2506863218132083,1.2493278877421499,-0.0003005452148103964,0.28205538297371635,0.43434460950830256,0.5310638054044796
54,7.86637417258779,0.032496086956452,0.0028441250324249268,39.66960066557593,9.999013075636806e-06,1.2493059822876607,1.2506998196196417,1.2507098224223236,1.2493055121559222,-0.00031054481412599074,0.28206549255647523,0.4343547163616298,0.5310638054044796
55,7.866339524352471,0.0324956950802404,0.0026634579990059137,39.65706005428885,9.998245517681596e-06,1.2492836442601047,1.2507226071566506,1.2507333700185546,1.2492831374140905,-0.00032054359523072025,0.2820756063347236,0.43436482726474396,0.5310638054044796
56,7.866304757388931,0.03249530228220644,0.0027499579591676593,39.644602710919514,9.997258721585931e-06,1.2492613091460851,1.2507454109902691,1.2507569645439325,1.2492607639982067,-0.0003305413390933407,0.2820857241516397,0.4343749420568187,0.5310638054044796
57,7.866269871167077,0.032494908562781734,0.002701417019125074,39.632016362477195,9.996052735444863e-06,1.2492389774424075,1.2507682308093715,1.250780605860692,1.2492383923786545,-0.0003405378257905896,0.28209584584051717,0.43438506057127413,0.5310638054044796
58,7.866234865375089,0.032494513923842165,0.002585750014986843,39.61954861098495,9.994627618036455e-06,1.2492166496457193,1.2507910662954609,1.250804293720163,1.2492160230375828,-0.0003505328364155587,0.2821059712330108,0.4343951826328913,0.5310638054044796
59,7.866199739880432,0.032494118369221815,0.0028292089700698853,39.607067432517525,9.992983438818916e-06,1.2491943262517307,1.2508139170919734,1.250828027770371,1.2491936564578558,-0.0003605261521804781,0.28211610015002964,0.43440530805600663,0.5310638054044796
60,7.86616449480308,0.03249372190374541,0.002694500028155744,39.594564807103914,9.991120277927224e-06,1.2491720077529112,1.2508367828148534,1.2508518076186685,1.2491712931236476,-0.00037051755474447573,0.28212623240511836,0.43441543665081245,0.5310638054044796
61,7.866129130398766,0.03249332453393934,0.002496291999705136,39.58208812237321,9.98903822616921e-06,1.2491496946429284,1.2508596630480535,1.2508756327796517,1.2491489335192478,-0.0003805068246225625,0.2821363678025541,0.4344255682177682,0.5310638054044796
62,7.866093647137906,0.03249292626499305,0.002708834013901651,39.569498015486225,9.986737385021142e-06,1.2491273874156423,1.2508825573721325,1.2508995028733363,1.2491265781293408,-0.00039049374254292716,0.282146506147426,0.4344357025687585,0.5310638054044796
63,7.866058045335886,0.03249252710593592,0.002610958006698638,39.55704008284899,9.984217866622771e-06,1.2491050865618831,1.2509054653427467,1.2509234172511088,1.249104227444376,-0.0004004780906029613,0.2821566472370575,0.4344458394912754,0.5310638054044796
64,7.866022325779503,0.03249212706636771,0.0026754579739645123,39.54457573584868,9.981479793771866e-06,1.2490827925742747,1.25092838648852,1.2509473752582831,1.249081881950622,-0.0004104596500740529,0.2821667908606301,0.4344559787697085,0.5310638054044796
65,7.865986489334238,0.03249172615561887,0.00254641700303182,39.53207418080757,9.97852329991824e-06,1.24906050594258,1.2509513203420415,1.250971376251112,1.249059542137621,-0.0004204382021446653,0.28217693680996986,0.43446612019222175,0.5310638054044796
66,7.865950536834841,0.03249132438344502,0.002778041991405189,39.51958004974204,9.97534852915723e-06,1.2490382271543874,1.2509742664105887,1.2509954195907445,1.249037208493121,-0.00043041352974916564,0.28218708486989674,0.4344762635461602,0.5310638054044796
67,7.86591446918257,0.03249092176163255,0.0026271670358255506,39.50709155878731,9.971955636222685e-06,1.2490159567008925,1.2509972241869904,1.251019504494907,1.2490148815076907,-0.00044038541378717234,0.2821972348199799,0.43448640860411747,0.5310638054044796
68,7.865878287521343,0.03249051830073856,0.002631499955896288,39.494603852569675,9.968344786479417e-06,1.2489936950692633,1.251020193169105,1.2510436302702703,1.2489925616706037,-0.00045035363704217505,0.282207386443429,0.4344965551501555,0.5310638054044796
69,7.865841992852756,0.03249011401465356,0.0026534999487921596,39.482233604154146,9.964516155915152e-06,1.2489714427478515,1.2510431728124984,1.2510677960263765,1.2489702494721282,-0.0004603179819379505,0.28221753950814604,0.43450670294359495,0.5310638054044796
70,7.865805586593157,0.0324897089146536,0.002622125030029565,39.469674601205355,9.960469931131939e-06,1.2489492002207718,1.2510661625956714,1.2510920010403004,1.2489479453977483,-0.0004702782313123549,0.28222769379283136,0.434516851766563,0.5310638054044796
71,7.865769069840283,0.032489303014158644,0.0026240000152029097,39.45714082294403,9.956206309337067e-06,1.2489269679760824,1.2510891619613855,1.2511162444747947,1.2489256499283028,-0.00048023416675016924,0.2822378490636709,0.434527001385295,0.5310638054044796
72,7.865732443958042,0.032488896326461465,0.0026017079944722354,39.44477222882935,9.951725498333449e-06,1.248904746499577,1.2511121703786143,1.2511405254588877,1.2489033635642937,-0.0004901855712456371,0.2822480050946343,0.43453715156506106,0.5310638054044796
73,7.865695710290622,0.03248848886360847,0.0027942919987253845,39.432273959204146,9.947027716509489e-06,1.2488825362749736,1.2511351872978467,1.2511648432477325,1.2488810867929943,-0.0005001322283128265,0.28225816165656387,0.43454730208433584,0.5310638054044796
74,7.86565887004257,0.03248808064038719,0.0025998339988291264,39.41983670214401,9.942113192828446e-06,1.248860337787668,1.2511582121603562,1.2511891968947684,1.2488588201032724,-0.0005100739205950117,0.28226831851593104,0.43455745270108787,0.5310638054044796
75,7.865621924745268,0.032487671671748375,0.00275237497407943,39.407412089714214,9.936982166817273e-06,1.2488381515210438,1.2511812443932993,1.2512135854665505,1.2488365639814738,-0.0005200104323165078,0.28227847543463774,0.43456760317229093,0.5310638054044796
76,7.865584875959598,0.0324872619713246,0.002818790962919593,39.39494283912579,9.931634888554937e-06,1.2488159779557355,1.2512042834231345,1.2512380081308936,1.2488143189153935,-0.000529941547744093,0.2822886321760277,0.43457775326613846,0.5310638054044796
77,7.865547725093444,0.03248685155268861,0.002696791954804212,39.38250593549826,9.926071618660238e-06,1.248793817575137,1.2512273287027744,1.2512624640170513,1.2487920853983159,-0.0005398670505244535,0.28229878851167656,0.43458790275020476,0.5310638054044796
78,7.865510473532205,0.0324864404314252,0.002563667017966509,39.370125957904435,9.9202926282791e-06,1.2487716708596206,1.2512503796404655,1.251286952168331,1.2487698639193656,-0.0005497867256176658,0.28230894419842223,0.4345980513785536,0.5310638054044796
