iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5
0,27634.01528862289,13.779547356903521,14.581996282096952,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,27634.01528862289,13.779547355886775,52.90485270204954,0.0,1.0000000000000006e-06,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998
2,27634.01523646913,13.779547350290228,55.447993117850274,0.0,5.500000000000001e-06,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987
3,27634.015664649418,13.779850117840892,0.6366273020394146,288419.8258427972,1e-05,0.10126678783978169,0.1012586565665202,1.0000127759649704,0.10125865656124662,0.10125865656278282,1.0000127759762263,0.10125865656229048,0.1012586565604954,1.0000127759529,0.10125865656012621,0.10125865656098933,0.9999872234424189,0.10125865656087907,0.10125865656024403,0.9999872234605729,0.10125865656050716,0.10125865656059965,0.9999872234481714
4,27634.992443530133,13.780216994314873,0.6227216019760817,289667.0343945071,9.931634888554937e-06,0.10127172503719327,0.10125371852368016,1.000028299668557,0.10125371921876666,0.10125373002688577,1.0000282874328292,0.10125371840738948,0.10125371941339266,1.0000282924192723,0.10125372053434292,0.10125371809085967,0.999971711497984,0.10125372037246612,0.10125372031673444,0.9999717103240973,0.10125372087993945,0.10125372219040313,0.9999717103389689
5,27636.17540655913,13.780608856617333,0.6242828089743853,289410.07417470036,9.728616793536588e-06,0.10127701298301878,0.10124843764308217,1.00004492576636,0.10124843090095267,0.101248454335678,1.0000449011567965,0.1012484284296965,0.10124843096681856,1.0000449216908085,0.10124843392710149,0.10124842697119822,0.999955097237198,0.10124843353287531,0.10124843254648636,0.9999550985719912,0.10124843427236183,0.10124843754605649,0.9999550950634931
6,27637.477006304493,13.781005758126657,0.6198330319020897,289435.05702174385,9.397114317029975e-06,0.10128238801794627,0.1012430794253972,1.0000618316402046,0.10124305492202604,0.10124309943474058,1.0000617861297647,0.10124305545814417,0.10124305615092594,1.0000618342308174,0.1012430612954515,0.10124304943824972,0.9999382123721012,0.10124306049828725,0.10124305842428066,0.9999382192370831,0.10124306069616737,0.101243067232852,0.9999382064155049
7,27638.781989276125,13.781396845794388,0.6340531639289111,289025.8390641558,8.947199994035402e-06,0.1012876756540102,0.1012378050040751,1.0000784574353012,0.1012377654261092,0.1012378301884617,1.00007839722676,0.10123777129578679,0.10123776920066518,1.0000784646071588,0.10123777603541811,0.10123776151511625,0.9999216019381804,0.10123777429128888,0.10123777223754704,0.9999216100990301,0.10123777442095837,0.10123778361045367,0.999921591543426
8,27640.0599059997,13.781770754850204,0.6231554760597646,288601.6881986371,8.392544243589428e-06,0.10129274897838116,0.1012327571984464,1.0000944036773562,0.10123269098689144,0.10123277579922851,1.0000943349243814,0.10123270392402411,0.10123269659754335,1.0000944343512022,0.10123270547427565,0.10123268937281643,0.9999056680219665,0.10123270233100023,0.10123269990344151,0.9999056753524987,0.10123270123982224,0.10123271307670786,0.99990564718784
9,27641.29051778186,13.782117798259168,0.6272410820238292,290054.9932008098,7.75e-06,0.10129751274992978,0.10122804054859601,1.0001093900673093,0.10122792483994784,0.10122805036747311,1.0001092957884077,0.10122795594650405,0.10122793467740829,1.0001094307431218,0.10122794580722465,0.10122792718606025,0.9998907080977542,0.10122794155461003,0.10122793909988109,0.999890717695169,0.10122793918095593,0.10122795420091003,0.9998906779795327
