repeat,K,mean,worst,cvar_0.01,cvar_0.05,cvar_0.1
0,1,0.01767935591884424,0.02527533810216578,0.025237879829356977,0.024209476149141516,0.023052700327670938
0,2,0.005970974689398736,0.008837284015854409,0.008504495719537937,0.007942759468923519,0.007619560229749611
0,3,0.003048936975261594,0.004992877909615283,0.004659617756164925,0.004234469561417779,0.004050752637549422
0,4,0.001808338243618967,0.00321014776245672,0.002937654299433827,0.002633804073877563,0.002495729685134191
0,5,0.0011701568953327779,0.002223787548996598,0.0020188413163321735,0.0017813901831587112,0.00167895599460705
0,6,0.0008034326996912064,0.0016202245448296213,0.0014670138050397548,0.001269413840911011,0.0012005944492714698
0,7,0.0005763705389977116,0.0012245731239677263,0.0011073194760246115,0.0009456375470317956,0.0008961523079017129
0,8,0.0004277849588157688,0.0009518314681946496,0.0008603870284528646,0.0007312952101174873,0.0006897756807781816
0,9,0.0003262758487765259,0.000756463961918719,0.0006854295440162069,0.0005820867114480401,0.000545984938359189
0,10,0.00025448263558096345,0.0006122148763514676,0.0005570904872076001,0.0004746590136788185,0.0004410087256513182
0,11,0.00020223287711493683,0.000503052500783545,0.00045956798291623704,0.00039509035131157707,0.00036333844223373384
0,12,0.0001632798184998946,0.00041872993246690573,0.00038382122647340075,0.00033366480055230317,0.00030401401074395224
0,13,0.0001336358155946897,0.000352449317453414,0.0003239016082121726,0.0002850918104980711,0.0002579289615666819
0,14,0.0001106708211958922,0.0002995596482887835,0.00027698595308196154,0.00024583369240687705,0.00022116674640119857
0,15,9.260098209683433e-05,0.0002567950565940629,0.00024127959168596862,0.00021364768960384638,0.00019147731933566504
0,16,7.818663725942757e-05,0.00022181088997145655,0.00021146556993023347,0.00018699612290016626,0.00016695562814148874
0,17,6.654772280679166e-05,0.00019289127180189872,0.00018631137283245007,0.00016506066082895375,0.00014647891656654905
0,18,5.704751595097174e-05,0.00016875922695677118,0.00016489732028229022,0.0001464525711752421,0.00012921537737225493
0,19,4.921747302736993e-05,0.00014845019853558386,0.00014652462002167087,0.00013053720101545728,0.00011453783814095737
0,20,4.270749483998245e-05,0.00013122588046079293,0.00013065364719625318,0.00011682653846569239,0.00010196590349046323
0,21,3.725232851863674e-05,0.00011720884051840033,0.00011703905047951151,0.00010499156287504829,9.112633449838158e-05
0,22,3.264844364696198e-05,0.00010659700975507416,0.00010617747017492721,9.478864471202534e-05,8.176710410016788e-05
