iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,beta0,beta1
0,0.12651580940654247,0.08150668478469476,4.317266101948917,,,1.2426494076450263,1.2426494076450263,0.0,0.2817535251253208
1,0.12806307475798662,0.08150663902931164,4.396208261605352,0.16985234640456537,9.999999999999159e-07,1.2426516371465577,1.242647178145743,1.0000074867320086e-06,0.2817535251253208
2,0.12586554365508906,0.08150568001420902,3.818505711853504,0.1710121086047495,2.097999999999987e-05,1.2426984155395082,1.2426003642763674,2.1981505448779858e-05,0.2817535251253208
3,0.12845769599377022,0.08150381116757341,0.12730337213724852,0.17351676060631513,4.095999999999993e-05,1.2427897702722754,1.2425087934043377,6.295567355523715e-05,0.2817535251253208
4,0.13000118948981662,0.08150101190531993,0.12651787605136633,0.16440362951348447,6.0939999999999996e-05,1.242925486712329,1.242373471411355,0.00012382403509279458,0.2817535251253208
5,0.12738188752474058,0.08149724226374731,0.12481346307322383,0.16753000299608906,8.091999999999984e-05,1.2431057890730364,1.2421952921604473,0.00020468385941105308,0.2817535251253208
6,0.12752429785130392,0.08149258996904486,0.1255321279168129,0.17137221152079324,0.0001008999999999999,1.2433306339255594,1.2419713973370563,0.00030551128263346623,0.2817535251253208
7,0.12908537012449336,0.0814870045048419,0.1255042478442192,0.1730691970859794,0.00012087999999999997,1.2436003391119037,1.2417028420494605,0.00042644334289785354,0.2817535251253208
8,0.12646434022706177,0.08148046429319311,0.12435844959691167,0.16638375087392046,0.00014085999999999992,1.2439143881301882,1.2413911172826602,0.0005672418524656909,0.2817535251253208
9,0.11880882756074551,0.08147306553988869,0.12563628889620304,0.16822657242019712,0.00016083999999999998,1.2442726453077761,1.2410331985976333,0.0007278383530020184,0.2817535251253208
10,0.12342914662411748,0.08146475012878603,0.12353690294548869,0.16991181770232114,0.00018081999999999983,1.2446755377951721,1.240630166590578,0.0009084155877563672,0.2817535251253208
11,0.12590380875679957,0.08145549134247212,0.12369813397526741,0.16694597798009778,0.0002007999999999999,1.2451227579553499,1.2401832916876185,0.0011088258116204851,0.2817535251253208
12,0.1276999134340108,0.08144533414520783,0.12478073220700026,0.17537177132195966,0.00022077999999999996,1.245615395303073,1.239689129192019,0.0013295462398526421,0.2817535251253208
13,0.12872882972884042,0.08143422987372677,0.12370832357555628,0.1707628796192265,0.0002407599999999999,1.2461528565825812,1.2391501212792007,0.0015702988179278348,0.2817535251253208
14,0.13138168772822206,0.08142207149715354,0.12449161009863019,0.16701922102233432,0.00026074,1.246734787630338,1.2385702200304183,0.0018309116613568258,0.2817535251253208
15,0.12502466282893976,0.08140896980870843,0.12436396023258567,0.1630051891451022,0.00028071999999999993,1.247360027003706,1.2379475660390606,0.0021108505041363282,0.2817535251253208
16,0.1229917183887993,0.08139500994820237,0.12468970194458961,0.16567704891770885,0.0003007,1.248028932962271,1.2372785664008477,0.0024102607224330435,0.2817535251253208
17,0.13317547447360503,0.08138006503202451,0.12373497523367405,0.17456277271420295,0.00032068000000000005,1.248744109522277,1.2365627961880152,0.0027302913404962156,0.2817535251253208
18,0.11986581735343348,0.08136418968557772,0.12533877743408084,0.1665729203359197,0.00034066,1.249503255700177,1.2358021211343442,0.0030698948460013116,0.2817535251253208
19,0.13312464390779266,0.08134713609938753,0.12665410712361336,0.17338932115856653,0.00036063999999999996,1.2503091217762898,1.2349998278501357,0.00343028261178329,0.2817535251253208
20,0.1354137865439945,0.08132894954833689,0.12489131418988109,0.17131008987052435,0.0003806199999999999,1.2511608985391998,1.234155549048247,0.00381107215450419,0.2817535251253208
21,0.12677899900731665,0.08130986803407896,0.12918629636988044,0.17298178992228058,0.0004006,1.2520582491729795,1.2332617332784717,0.004212091394814341,0.2817535251253208
22,0.13141521885474544,0.08128938534920781,0.1275567440316081,0.16914108007259573,0.00042057999999999993,1.2530014713439293,1.2323343327833822,0.004633450726877138,0.2817535251253208
23,0.1285295108800123,0.08126787635989292,0.12538009695708752,0.16842416026364154,0.0004405599999999999,1.2539892032685438,1.2313629960181194,0.005074518280288174,0.2817535251253208
