eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.0,0.0,0.0
0.0001,0.0,0.0,0.0
0.0005,0.032,0.0,0.0
0.001,0.074,0.014,0.0
0.005,0.334,0.494,0.0
0.01,0.468,0.822,0.0
0.05,0.774,0.996,0.174
0.1,0.886,1.0,0.768
0.5,0.98,1.0,1.0
1.0,0.998,1.0,1.0
