k,l2o,ldro_pep,lpep
1,31.836064894639176,31.323292499696755,31.72045327483418
2,8.846944423389067,10.752760857265264,10.711870381351446
3,3.155225017390693,1.925028412186997,4.7193989188951555
4,0.5007349373008558,0.7099016746779819,2.4449224770246785
5,0.172657961320526,0.43827348626839974,1.286738178942729
6,0.10163810702640534,0.06914514043416586,0.737364198994274
7,0.017551324325447152,0.020801700939942408,0.4332113717751237
8,0.005497064928777561,0.011870788099263705,0.2693893453417403
9,0.0021511741806393217,0.009753408494250623,0.17343766720347936
10,0.0012310282807484062,0.005805459536019777,0.10642583863683833
