k,l2o,ldro_pep,lpep
1,33.234825297729145,37.2323071193588,33.22360740830469
2,14.47773370669625,10.153312230245074,10.604208756882198
3,2.8490267836755967,4.357752849374988,4.4267867188406385
4,1.8949159354934213,1.120115290567886,2.1779694090821664
5,0.7571210539829938,0.35254392550972036,1.1087540927131894
6,0.07870119461265508,0.21426395628470934,0.6148527084360687
7,0.20131960219117742,0.136831541405729,0.35086912751760246
8,0.352237988262614,0.053737542379783204,0.2125127785125577
9,0.06771404861318497,0.010156713040746595,0.1336364091397652
10,0.0523662663615065,0.007118644524986369,0.07991641088398009
