eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.0,0.0,0.0
0.0001,0.0,0.0,0.0
0.0005,0.188,0.0,0.0
0.001,0.488,0.004,0.0
0.005,0.992,0.504,0.0
0.01,1.0,0.884,0.0
0.05,1.0,1.0,0.022
