k,l2o_t,ldro_pep_t,lpep_t
1,0.1429355319327379,0.1648889059269056,0.1435648277428715
2,0.2369011782775307,0.1190726812548064,0.1470040065071569
3,0.1088893307843321,0.3820294654175717,0.148464632470896
4,0.4934989494634278,0.1403310785233714,0.1426688607714834
5,0.1583038052278685,0.1061028294121577,0.154597000832587
6,0.1038694347940824,0.5712686700894013,0.1474777953859394
7,0.6470892998067337,0.178244149001103,0.1497849707853316
8,0.2226668507729802,0.1524190422458993,0.1417090496756478
9,0.1349464211948755,0.0657249597249172,0.137002757843563
10,0.1763973472093991,0.1830121091429381,0.1545682500548254
