iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6,tau_7,sigma_7,theta_7,tau_8,sigma_8,theta_8
0,18312.63896052083,10.808352986771636,31.386616866104305,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,18312.63896052083,10.808352985913984,164.54532565898262,0.0,1.0000000000000006e-06,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998
2,18312.648080693696,10.808352981185752,171.94070879206993,0.0,5.500000000000001e-06,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987
3,18312.659644735602,10.807461924378785,2.478611335158348,147436.05606239644,1e-05,0.10126678783967669,0.1012667878390093,1.0000127759723516,0.10125865664527461,0.10125865656163255,0.999987223600292,0.10125865656050702,0.10125865656109415,1.0000127759690098,0.10125865656024842,0.1012667878377888,0.9999872234542992,0.10125865656057588,0.10125865656028102,1.0000127759767095,0.10125865656052327,0.10125865656097435,0.9999872237477128,0.10125865656022157,0.1012586565603324,0.9999872234501023,0.10125865656015533,0.10125865656063304,0.9999872234426493,0.10125865656205799,0.1012667878400055,0.9999872234541187
4,18313.101532012664,10.807742356460459,2.350700129987672,159096.1552824226,9.931634888554937e-06,0.10127172074827978,0.10127172816887457,1.0000281616651667,0.10126193170521787,0.1012537219562626,0.9999865925198236,0.10125372425027976,0.10125371600830765,1.0000282711580457,0.10125375745384431,0.10127045243273733,0.9999736350732298,0.10125371399872998,0.10125374223931348,1.0000283069620421,0.1012537154828859,0.10125377300297604,0.9999728153329399,0.1012537173367853,0.10125372710880677,0.9999719911355869,0.10125372544176381,0.10125372326817296,0.9999716920443962,0.10125377743342198,0.10127172717702772,0.9999716963285815
5,18313.80111686652,10.807965548346608,2.539456349099055,149313.22157793064,9.728616793536588e-06,0.10127700493182416,0.10127701550973862,1.000044713334429,0.10126474180352728,0.10124843035131367,0.9999867867189833,0.10124843762202315,0.10124842266902644,1.0000448928863317,0.10124849878870122,0.10127440532991347,0.9999585570802306,0.10124840906926653,0.10124846942788653,1.0000448177422872,0.10124845634265588,0.10124852831015571,0.9999719056176661,0.10124842832291077,0.10124844040764441,0.9999556184049171,0.10124844308903416,0.10124843886917198,0.9999551275118094,0.10124851273329831,0.1012770183227594,0.9999550271182535
6,18314.47087274813,10.808236484735584,2.5268393070437014,147566.53837315206,9.397114317029975e-06,0.10128239183477274,0.10128241250572133,1.0000615664249877,0.1012680349616382,0.10124311934587722,0.9999910872617873,0.1012430511294496,0.10124303209776715,1.0000617473304902,0.10124315240638312,0.10127890345721259,0.999943093135002,0.10124305451080215,0.10124311057901139,1.000061702411367,0.10124308749150615,0.1012431618418267,0.9999633269733785,0.10124306765890337,0.10124306424967973,0.9999390562085345,0.1012430694211174,0.10124307609677301,0.9999382583138842,0.10124320069233188,0.10128240356586746,0.9999381087343581
7,18315.228240255474,10.80878084445532,2.4512360768858343,165667.88240397332,8.947199994035402e-06,0.10128766108131197,0.10128750304030233,1.0000779090153107,0.10127185519860091,0.1012378679096703,1.0000003541919484,0.10123785178942969,0.10123770585253844,1.0000784123816664,0.10123787221226493,0.10127930072380696,0.9999273644578497,0.10123778470171281,0.10123788147161099,1.0000783334092893,0.10123778866510712,0.10123812814184116,0.9999606895390087,0.10123775986824933,0.10123776474841427,0.9999226454158107,0.101237823705953,0.10123779084837767,0.9999217277893947,0.10123796618812557,0.1012876952203385,0.9999213853034624
8,18315.96167529178,10.80920615002259,2.53937152097933,149614.55184815143,8.392544243589428e-06,0.10129271878764576,0.10129243223483377,1.0000936897000163,0.1012750369910255,0.10123284005767277,1.0000082385297135,0.10123283704163044,0.10123261677434549,1.0000943911474423,0.1012328101277997,0.10128009117380332,0.9999122607079824,0.10123269878302663,0.10123284437983207,1.0000941592984922,0.10123274327533352,0.10123324319598877,0.999961529069272,0.10123268191053296,0.10123268354155088,0.9999069928889314,0.10123277817705312,0.10123272014255597,0.9999058865845074,0.1012329338053749,0.10129277029129874,0.9999053170269065
9,18316.655697555707,10.809607660661252,2.5438604159280658,155800.67014488668,7.75e-06,0.10129745872900485,0.10129707541471643,1.0001085171393873,0.10127800613703364,0.10122810797800924,1.0000160283158717,0.10122812173830106,0.10122785054349083,1.0001094023855601,0.10122806372432813,0.10128071235915062,0.9998981895624692,0.10122790970103507,0.10122811315679202,1.000108972403566,0.10122801209106462,0.10122866293081888,0.9999640781048306,0.10122790877263867,0.10122791955495099,0.999892198654961,0.101228038823708,0.1012279602794656,0.9998909873434361,0.10122818700365793,0.10129753225371202,0.9998902444903881
