iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5
0,0.07549069182170581,0.02667857762615417,0.07989070803159848,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,0.0749474566592872,0.02667850906430361,0.044038457970600575,0.05016651810681516,9.999999999992654e-07,1.250002236606094,1.250002236605627,1.2500022366049754,1.2500022366039247,1.2500022366018613,1.2500022365957364
2,0.0777895374803463,0.026664728317225904,0.04255150002427399,0.051331668665663015,0.0002009799999999999,1.250451919966277,1.2504519159558796,1.2504519363921627,1.2504519620485266,1.2504519843468698,1.2504520016149565
3,0.07695613790860385,0.026637262698302494,0.0017338329926133156,0.05143338673665496,0.0004009599999999988,1.2513496656436374,1.2513492316474402,1.2513490999511987,1.2513490839802475,1.2513491087693682,1.251349145801935
4,0.08065625898559182,0.026596086583526416,0.0016068749828264117,0.05368042015407351,0.0006009399999999995,1.252697904366816,1.2526969938350851,1.2526965665063954,1.2526964666522657,1.2526965096728895,1.2526966087130478
5,0.07552096806741637,0.02654137357859659,0.0016044169897213578,0.0504742340122957,0.0008009199999999984,1.2544925846762518,1.2544921299773253,1.2544918516577803,1.2544918449501588,1.254491960225585,1.2544921099333786
6,0.07770933982578168,0.026473164138769514,0.0015370419714599848,0.05210373230226593,0.001000899999999999,1.2567384842830092,1.256737631514086,1.2567372190622437,1.2567370862132015,1.2567370938808504,1.2567371472823567
7,0.07267721944865638,0.026391815706489952,0.0016067500109784305,0.04990872947637356,0.0012008799999999997,1.2594319111896717,1.2594275675638087,1.2594256428032733,1.2594243341108162,1.25942334942319,1.2594225335961853
8,0.07724589231239697,0.026297123115322608,0.0015941670280881226,0.05228403943034739,0.0014008600000000003,1.2625802868130833,1.2625733571508286,1.2625700651323633,1.2625675945713244,1.262565562187,1.2625637743991458
9,0.07658412065640222,0.02618931610448621,0.0016265410231426358,0.051827735176806874,0.0016008399999999992,1.266183979269747,1.2661745468395371,1.266169529134086,1.2661656299787991,1.2661623453674649,1.2661594102110376
10,0.07185339544288376,0.026068972583879805,0.0017669580411165953,0.04996340974932622,0.0018008199999999981,1.2702392258431083,1.270220389576585,1.2702112505028675,1.2702045998469635,1.2701990656189146,1.2701940915208
11,0.07517296112659698,0.025936043098437354,0.001523874991107732,0.050335753462168176,0.0020007999999999988,1.2747473748224363,1.2747211667057563,1.2747068092071838,1.2746967033576262,1.2746886384956184,1.2746816048899474
12,0.07758246915861391,0.02579042766394035,0.0015855830279178917,0.05224154272689634,0.0022007799999999994,1.2797213881350973,1.2796889851503368,1.279669326108425,1.2796554203287827,1.2796444575576416,1.2796350270751347
13,0.07682608786638763,0.02563271839913311,0.0015598330064676702,0.049773882959155254,0.002400759999999999,1.2851484338433234,1.2851108916480567,1.2850882176761174,1.2850721967947996,1.2850597071857888,1.2850491170993057
14,0.07389867190834078,0.025463504451789045,0.001754708995576948,0.04895890521736087,0.00260074,1.2910277530033036,1.2909821584336836,1.290954551131211,1.2909351694279505,1.2909204165503414,1.290908290155011
