iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,beta0,beta1,beta2
0,0.09227660788603646,0.051734341723493574,3.2818153337575495,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,0.0,0.2817535251253208,0.43404278278030195
1,0.09363937683868953,0.05173418286694353,5.238991669379175,0.11753878811079058,9.999999999999159e-07,1.2426516371464653,1.2426516371462073,1.2426516371414678,1.0000074488671003e-06,0.28175452513240995,0.43404278278030195
2,0.09171422791526944,0.05173088468027212,4.241938232909888,0.11473931126203399,2.097999999999987e-05,1.242698414239231,1.2426981579538874,1.2426965018473084,2.1967767306219114e-05,0.28177539109407784,0.43404278278030195
3,0.09380688403252657,0.051724433882018604,0.22311403090134263,0.11782060286674789,4.095999999999993e-05,1.2427898034675764,1.2427891345582371,1.2427845230199026,6.292583252060584e-05,0.28181619573842803,0.43404278278030195
4,0.09536538543253467,0.0517148573780025,0.2197510371915996,0.11408719791174382,6.0939999999999996e-05,1.2429257407560275,1.2429237094397512,1.2429158769678954,0.00012380766842390146,0.2818765526656436,0.43404278278030195
5,0.09314811162322773,0.05170208873527654,0.22151741478592157,0.11786021945902862,8.091999999999984e-05,1.2431063611822895,1.2431029926699162,1.2430927233989315,0.0002047076409093603,0.28195695681087624,0.43404278278030195
6,0.09296933362663093,0.05168615240840293,0.21960167726501822,0.11664292874543905,0.0001008999999999999,1.2433315809864363,1.2433268884552025,1.2433138230774108,0.00030558480561053447,0.2820573617205689,0.43404278278030195
7,0.09417226634206655,0.05166703726846175,0.21811714069917798,0.12246654072532369,0.00012087999999999997,1.243601941371684,1.2435962503102103,1.243577328399116,0.0004266438843590308,0.28217814528885016,0.43404278278030195
8,0.09242708644374324,0.05164482227246289,0.2175277378410101,0.11581564292172947,0.00014085999999999992,1.2439166351856819,1.24391019993719,1.2438811247880046,0.000567581809969735,0.2823189094926694,0.43404278278030195
9,0.08562885586694802,0.051619864325556854,0.21689494606107473,0.11241767358087285,0.00016083999999999998,1.244275220481703,1.2442676204923937,1.2442030169958282,0.0007282057278311044,0.28247914941176544,0.43404278278030195
10,0.08956345600872377,0.05159336884305971,0.21481063729152083,0.11600714890753537,0.00018081999999999983,1.2446779804849295,1.244671042440528,1.2444502125497547,0.0009087441007097957,0.28265999214111737,0.43404278278030195
11,0.09176280895677047,0.05156381401895916,0.2143599558621645,0.1143985986058804,0.0002007999999999999,1.2451250968007848,1.2451181369646471,1.2447373863617472,0.0011090945838462655,0.2828603891911212,0.43404278278030195
12,0.09294020303152867,0.05153054740549622,0.21821897104382515,0.12125039796949756,0.00022077999999999996,1.2456179519049846,1.2456112636291812,1.2451042765837066,0.0013297891447762256,0.28308138873344924,0.43404278278030195
13,0.09421377050699986,0.05149365665774951,0.21807522093877196,0.12064786857758461,0.0002407599999999999,1.246156321368786,1.2461506563750566,1.24554502927843,0.0015706880685808196,0.2833230872069607,0.43404278278030195
14,0.09638049246751455,0.051453277398366144,0.21689678635448217,0.1195036594978486,0.00026074,1.2467399697330686,1.246735643134214,1.2460521939661742,0.0018317077280660301,0.2835851773831061,0.43404278278030195
15,0.09100936445682203,0.051410017280537686,0.21548856003209949,0.11367141688606001,0.00028071999999999993,1.247366898215301,1.2473656104593935,1.2465871887643583,0.0021121371541498674,0.2838673795152645,0.43404278278030195
16,0.0893516971407422,0.05136365080839376,0.21681165602058172,0.11306116278030068,0.0003007,1.2480373947562724,1.2480380581145407,1.2471718535213643,0.002411959016704369,0.2841685701666201,0.43404278278030195
17,0.0973810590173859,0.05131397567078061,0.2170258560217917,0.11999253821366022,0.00032068000000000005,1.2487544106577602,1.2487542762409312,1.2478129729065983,0.002732378285277725,0.2844893215637823,0.43404278278030195
18,0.08700762650478047,0.05126126146960707,0.21973702730610967,0.11398785297395851,0.00034066,1.249515156274762,1.2495138718842826,1.248497689206521,0.003072255171647741,0.28482945097593787,0.43404278278030195
19,0.09729581681630783,0.05120602548182841,0.21783901983872056,0.11893355130756146,0.00036063999999999996,1.2503219422828515,1.2503185976189266,1.2491801577440385,0.003432780978255506,0.2851897445876074,0.43404278278030195
20,0.09899242370710885,0.051147675218090646,0.21986487787216902,0.12026154450122375,0.0003806199999999999,1.2511749244624581,1.251171310888092,1.2498975962916248,0.0038139805546379864,0.285571465056827,0.43404278278030195
21,0.09199303229912982,0.051085907803534496,0.21927504520863295,0.11920525103909342,0.0004006,1.2520743675192485,1.2520671782656034,1.2506834786543823,0.004215562281577911,0.28597244362972696,0.43404278278030195
22,0.09574417131366848,0.051021101591284014,0.22296171030029655,0.11900128855110903,0.00042057999999999993,1.2530188691492778,1.2530126717821453,1.251498676957593,0.004637393192682053,0.28639556518400683,0.43404278278030195
23,0.09368235124451241,0.05095338593785913,0.21676143584772944,0.1155256244406285,0.0004405599999999999,1.2540067594273367,1.254004537664306,1.252344784684778,0.005078684645883642,0.28683937268433046,0.43404278278030195
24,0.09293943103684502,0.05088156581219787,0.2184373321942985,0.12170963319244206,0.00046053999999999995,1.2550414660392875,1.2550468527329306,1.2532957063190873,0.005540471779824319,0.28730565103399064,0.43404278278030195
25,0.09080549517765926,0.05080536424105352,0.22031544893980026,0.12238124388556114,0.0004805199999999999,1.256121510529845,1.2561460292966136,1.2543622412911128,0.006022066088047914,0.2877972163847345,0.43404278278030195
26,0.09373973824354184,0.05072652974251975,0.2173195080831647,0.11860184574019902,0.0005005,1.257247806110618,1.2572868135669761,1.2554471576474182,0.006524154128298398,0.28830733728166036,0.43404278278030195
27,0.09112632376144654,0.050645439642433475,0.21728163678199053,0.11595632867229409,0.00052048,1.2584173514203023,1.2584738143805858,1.2565186058184354,0.0070456767090585955,0.2888380539569603,0.43404278278030195
28,0.0978267579455635,0.05056154472161485,0.23081159126013517,0.12053833571370585,0.00054046,1.2596346642388863,1.259704915774024,1.2576140448858357,0.007588290531118265,0.28938843014295407,0.43404278278030195
29,0.08997384234301944,0.05047540784299374,0.22436361480504274,0.11397527992592002,0.00056044,1.2608939185652677,1.2609793976287387,1.2587051060064767,0.008149654869253151,0.2899581359463588,0.43404278278030195
30,0.09388544218293124,0.0503860124570066,0.2222669068723917,0.11673021509391218,0.0005804199999999999,1.2621993949051717,1.2622899852492029,1.2598774349240236,0.008730707201151126,0.2905439110484604,0.43404278278030195
31,0.09118493507142313,0.050293999726485815,0.22189290635287762,0.11835870669605635,0.0006004,1.2635507964962052,1.2636475220731043,1.2610593037651123,0.009332172712549042,0.29115061509986273,0.43404278278030195
32,0.08992746492206272,0.050199953387270284,0.2273581470362842,0.11836857130225739,0.00062038,1.2649490312653748,1.265047454395792,1.262215780813521,0.009954392501037987,0.29177625225945014,0.43404278278030195
33,0.08658272665397296,0.050103732619086426,0.2296554557979107,0.11348390630504722,0.00064036,1.2663891195617034,1.2664888203591171,1.2633700604079714,0.010595173436971608,0.29242037096132373,0.43404278278030195
34,0.09180951361454417,0.05000293185568108,0.22167534520849586,0.12045727261336156,0.00066034,1.2678762222811442,1.267984475290665,1.2646670638865918,0.011256243034610206,0.293088585216509,0.43404278278030195
35,0.09109974028051074,0.049897266917516815,0.22604308230802417,0.1224518982094579,0.0006803200000000001,1.2694117682003332,1.269536692980629,1.2661230981131626,0.011937989372478497,0.29378185988590705,0.43404278278030195
36,0.08942146577324181,0.049788567437913225,0.22964870696887374,0.11708067499374805,0.0007003,1.2709924761999496,1.2711322759010562,1.2676362675573034,0.012639308687287881,0.29449443123910174,0.43404278278030195
37,0.08662277264767643,0.04967714510336051,0.226556234061718,0.11456953564031176,0.00072028,1.2726164262206332,1.272766329498113,1.2691990987303856,0.013359200935298231,0.2952241300905816,0.43404278278030195
38,0.08810422829543194,0.04956324923841365,0.44274033699184656,0.11558618617868088,0.00074026,1.2742850817620004,1.2744404844558308,1.2707868882112148,0.014098385060490243,0.2959717079060848,0.43404278278030195
39,0.08740988695955279,0.049446294416843596,0.22367229172959924,0.11644648843742042,0.00076024,1.275999073878537,1.2761581068247658,1.2724370872295363,0.014857050419930783,0.29673863667491146,0.43404278278030195
40,0.08225421085247574,0.049325799520162056,0.23598585138097405,0.11461368094199621,0.0007802200000000001,1.2777554533981093,1.277920921865403,1.2741908483268625,0.01563378285283269,0.2975256222507707,0.43404278278030195
41,0.08909741385280005,0.04920233563546168,0.2283949009142816,0.11776275523251023,0.0008002,1.2795609225220848,1.279720694444492,1.2760109305051126,0.01643119050392329,0.2983291146818611,0.43404278278030195
42,0.08683416894490766,0.04907617067696217,0.23391877301037312,0.11310313828777264,0.00082018,1.281409436854982,1.2815538598327965,1.2778987417625796,0.017246514455222614,0.2991474927687471,0.43404278278030195
43,0.08684780283926047,0.048948458970519935,0.22730138711631298,0.11387137601378948,0.00084016,1.2833007373321914,1.2834307769501139,1.279740424122319,0.01808082657617475,0.2999854937417878,0.43404278278030195
44,0.08707239286262491,0.04881891438008279,0.22223488800227642,0.11539352958380279,0.00086014,1.2852382339462698,1.285348657003203,1.2815588009022518,0.018935168996338198,0.3008418856898481,0.43404278278030195
45,0.09824953151617918,0.04868423652496587,0.22182562574744225,0.12571064830368933,0.00088012,1.2872318619690977,1.287337937967323,1.2835264871402554,0.019813575744175922,0.3017298946549029,0.43404278278030195
46,0.09223485463774603,0.04854546891067057,0.2337500429712236,0.1209156033787225,0.0009001,1.289277100208259,1.2893779397426637,1.2856208111977239,0.020713668019593595,0.30264042899851157,0.43404278278030195
47,0.08608031429367115,0.04840313611633847,0.23096358217298985,0.11689744406533838,0.0009200800000000001,1.2913680003374661,1.2914642281749404,1.2878259243000743,0.021632618524111007,0.3035714406598769,0.43404278278030195
48,0.08910323913627936,0.048258883289835866,0.22854041308164597,0.11821106575061104,0.0009400599999999999,1.293510650346637,1.2935784519237323,1.2900406880053183,0.022573247836726377,0.3045151893627315,0.43404278278030195
49,0.09219421416041938,0.04810986326300986,0.22849599132314324,0.12109199195718814,0.00096004,1.2957025404606934,1.295754967682935,1.292422182542152,0.02353466373769899,0.3054864717746693,0.43404278278030195
50,0.08701777909745725,0.04795796595220305,0.22775529883801937,0.11947051547629822,0.00098002,1.2979435267394503,1.29798350858241,1.294844329719817,0.024517183470221603,0.30648096930616997,0.43404278278030195
51,0.08710889389786708,0.04780464815106635,0.22007877938449383,0.11620673718891449,0.001,1.3002336181290723,1.30023090937488,1.297267557642047,0.025519979733106293,0.3074842865750672,0.43404278278030195
52,0.08569032482920341,0.04765148877638805,0.224324484821409,0.11614921027066165,0.0009999878275373446,1.3025218168188055,1.302481605175045,1.2997076531355627,0.02652131051683609,0.3084890420998291,0.43404278278030195
53,0.08596721970893718,0.047498361892489994,0.232974739279598,0.11768298807299699,0.0009999513107426476,1.3048118988953998,1.3047328142051546,1.3021741215659743,0.027522459039378798,0.30949403302687395,0.43404278278030195
54,0.08913277111062273,0.0473452340195446,0.23171195480972528,0.11822230039029519,0.0009998904513956854,1.3071064250746451,1.306975473219673,1.3046864336361765,0.028523952865658946,0.31049529214444554,0.43404278278030195
55,0.08207449268438209,0.04719438593611385,0.22770301904529333,0.11066825420487376,0.000999805252462657,1.3093936114492897,1.3091979809139465,1.3071069560512438,0.02952133533886605,0.3114878717639011,0.43404278278030195
56,0.08888946012892884,0.047044946214659066,0.227351987734437,0.11884474338807667,0.0009996957180960385,1.3116900293361875,1.3113991569089027,1.3094730521602005,0.03052155797554287,0.3124716081673413,0.43404278278030195
57,0.08429016665050469,0.0468969585766798,0.23463492607697845,0.11138800048786375,0.0009995618536343797,1.3139823014973702,1.3135726839976238,1.3118247097650535,0.031518382485110887,0.3134434202756812,0.43404278278030195
58,0.08522845362674758,0.046752180396658335,0.22708208579570055,0.11139679414607898,0.0009994036656020464,1.3162768954381006,1.3156792533294441,1.314091409175606,0.032513756833410165,0.3143865316860798,0.43404278278030195
59,0.08445625914985844,0.04660776118587069,0.22114762291312218,0.11285341039319116,0.0009992211617088995,1.31856683778956,1.3177897225477277,1.3163586467978912,0.03350668220330713,0.3153316262447738,0.43404278278030195
60,0.07963718435304001,0.04646594877845008,0.22449345560744405,0.11168206333170426,0.0009990143508499217,1.3208549858542271,1.3198767547070698,1.3184924741145347,0.03449839718994672,0.3162672309867219,0.43404278278030195
61,0.08498844122709606,0.04632569617311085,0.23160413512960076,0.11612006499795306,0.0009987832431047822,1.3231463816294393,1.321967003870521,1.3205058208348035,0.03549157860140444,0.31720495646018293,0.43404278278030195
62,0.08780875050889368,0.04618577838886061,0.23364351317286491,0.11585017977948818,0.0009985278497373468,1.3254429534885241,1.3240433164898027,1.3225405042645555,0.036485613130637674,0.31813706834809496,0.43404278278030195
63,0.08588400145263879,0.0460453388319103,0.22870385320857167,0.11469134572798848,0.0009982481831951274,1.3277380460519532,1.3261305058556363,1.3246256903583855,0.037478409265369377,0.3190741551882138,0.43404278278030195
64,0.08307725292642698,0.04590554805865998,0.22926419414579868,0.11211655015594486,0.0009979442571086772,1.3300300547787853,1.3282098596148078,1.3267086942994746,0.03846905833957662,0.3200082089415393,0.43404278278030195
65,0.08597912602214947,0.04576727837442389,0.22780905896797776,0.11453102299229202,0.0009976160862909245,1.3323273356202594,1.3302612508210083,1.3287429933145587,0.03946056562210066,0.32093079193362467,0.43404278278030195
66,0.07998384020546143,0.04563072117572976,0.22071178071200848,0.11256925711460235,0.0009972636867364526,1.3346195540998351,1.3323250543368668,1.3306349946253195,0.04045054788578899,0.3218594474920405,0.43404278278030195
67,0.08052019028951593,0.045496144932334386,0.22718539740890265,0.11093246501507599,0.000996887075620718,1.3369094942966846,1.3343673110996894,1.3324355006095399,0.041438851646082894,0.3227794584603368,0.43404278278030195
68,0.09227741206493972,0.04535936039359881,0.22850647196173668,0.12171400651364457,0.0009964862712992153,1.3392112941019991,1.3364347885402974,1.3343713444691354,0.042430972363728954,0.3237105309800428,0.43404278278030195
69,0.07404752366956838,0.04522578652639396,0.22421398479491472,0.10524623329162656,0.0009960612933065818,1.3414982144570993,1.3384824693492903,1.3361292294276923,0.04341675670970288,0.3246336550863471,0.43404278278030195
70,0.08967878515916783,0.04509166621256512,0.22383747389540076,0.11802833690368582,0.000995612162355645,1.3437907213545415,1.3405534785261033,1.3378916598721668,0.044404888307727396,0.3255673953505945,0.43404278278030195
71,0.08314371856315206,0.04495724939002879,0.235836380161345,0.11694155505371363,0.0009951389003364144,1.3460894853788739,1.342625271993049,1.3396906688089456,0.045394716306953076,0.3265019307965029,0.43404278278030195
72,0.08643080254439388,0.04482220517559142,0.2325785281136632,0.11683664601579827,0.0009946415303150127,1.3483937103615826,1.344696751708798,1.3415613403916542,0.04638569760759772,0.32743667837849566,0.43404278278030195
73,0.07937315489430992,0.04468605054359691,0.22728025680407882,0.1118051464161403,0.0009941200765325531,1.3506905856629086,1.3467799470947284,1.343549106521172,0.04737256196063254,0.32837627821475535,0.43404278278030195
74,0.08388361772904686,0.04455159066380327,0.22703911690041423,0.11430145109070627,0.0009935745644039575,1.3529902168084824,1.3488493599927003,1.3454372631081493,0.04836013589762173,0.3293107826400747,0.43404278278030195
75,0.08646712174477232,0.04441873960280859,0.231855025049299,0.11138031735997318,0.0009930050205167172,1.3552932650768252,1.3508566172981231,1.347351825497995,0.049346173740129624,0.3302188923603795,0.43404278278030195
76,0.08147107710899096,0.04428782416812449,0.22871934296563268,0.11063744590460367,0.000992411472629598,1.3575965085218784,1.3528203260534264,1.3492221379785112,0.05033050065478337,0.33110892880165954,0.43404278278030195
77,0.08778099637992437,0.04415798500862298,0.2275984981097281,0.11571572426291772,0.0009917939496712864,1.3599018861762933,1.3548010454296249,1.3509705808339563,0.051316293970706625,0.3320072798268857,0.43404278278030195
78,0.0831791521758682,0.04402968759215175,0.2301809387281537,0.11340538870236501,0.00099115248173898,1.3622068910392753,1.3567818749283242,1.35260030479295,0.052302020483340726,0.3329066257984938,0.43404278278030195
79,0.0862966480170029,0.043897932200790905,0.2239438141696155,0.11947495267420019,0.0009904871000969212,1.364514341039682,1.3588147430981743,1.3544434469838236,0.05328832436241457,0.3338280161233959,0.43404278278030195
80,0.07773881583688763,0.043768785606570014,0.22414814494550228,0.10850393471732885,0.0009897978371748723,1.3668139003409225,1.3608252625407489,1.3561420458078401,0.054270894345517476,0.3347405602571726,0.43404278278030195
81,0.08065927404727552,0.04364159911699945,0.23280839901417494,0.11475046469545996,0.000989084726566536,1.3691240600899424,1.3627719699501617,1.3578149258573327,0.055255453479774785,0.33562677268916585,0.43404278278030195
82,0.0829700876755059,0.04351423248915296,0.44778614677488804,0.11436490073704411,0.0009883478030279168,1.3714362072091995,1.3647164193385828,1.3595301071505037,0.05623987497164837,0.3365125169253072,0.43404278278030195
83,0.07861147038120017,0.043389279890604045,0.22840973222628236,0.10850317520930258,0.0009875871024756287,1.3737337377406076,1.3666847512286093,1.361014940600479,0.057219368989633604,0.3374091342255982,0.43404278278030195
84,0.08235283461639563,0.043266418449619204,0.2293759947642684,0.10737477723103606,0.0009868026619851435,1.3760270249758346,1.3686013580669358,1.3624638536810547,0.05819486524500208,0.33828403371086246,0.43404278278030195
85,0.08654590970895477,0.04314437010725028,0.23134002275764942,0.11509405884365992,0.000985994519788984,1.3783265197384684,1.3705117749778462,1.3638563875211995,0.05917246708711222,0.3391573659162439,0.43404278278030195
86,0.0732324696712163,0.04302489469692235,0.22826233133673668,0.10422894159582854,0.0009851627152748603,1.380611915695507,1.3723990793459233,1.3651137953342194,0.06014373396887652,0.3400214764888839,0.43404278278030195
87,0.08320239867082263,0.04290680135916655,0.22682994604110718,0.10962088018640011,0.0009843072889837512,1.3829001070506368,1.3742313737495,1.3663917365845342,0.06111325157998292,0.3408624532959023,0.43404278278030195
88,0.07859164121736964,0.042789209039397945,0.22951574577018619,0.11002189966077662,0.0009834282826079275,1.3851895135175187,1.3760311822639242,1.367720702357656,0.06208121890866594,0.34169002978168606,0.43404278278030195
89,0.07943464068612255,0.042673054231612106,0.22827440965920687,0.11046784374807783,0.0009825257389889197,1.3874773710106856,1.3778273854093994,1.3689406734807104,0.06304845132192385,0.3425171963856269,0.43404278278030195
90,0.07850138817311494,0.0425579309034449,0.22098570270463824,0.10696362228940377,0.0009815997021154303,1.3897582621204048,1.3796102331389344,1.370128835726849,0.06401199888031728,0.3433392888480342,0.43404278278030195
91,0.07803045220193408,0.04244164377055797,0.24015544774010777,0.11455419839445888,0.0009806502171211904,1.3920437354078883,1.3814131630172932,1.371386513520358,0.06497727090550284,0.3441707410546968,0.43404278278030195
92,0.07612364825860296,0.042327091058049264,0.23077193973585963,0.10814480623837361,0.0009796773302827588,1.3943245925466565,1.383201852213115,1.3725388215112895,0.0659401509978894,0.3449970723093168,0.43404278278030195
93,0.07591521561405962,0.042213484797003015,0.23211537580937147,0.1076309069098574,0.0009786810890172676,1.3966024523352656,1.384960690849001,1.37369895805143,0.06690028333867169,0.34581132000001297,0.43404278278030195
94,0.0726438828662457,0.04210194682208023,0.23136773286387324,0.10352668453777028,0.0009776615418801106,1.3988720148021074,1.3866681904995048,1.3748233961116891,0.0678549427785551,0.34660420884383686,0.43404278278030195
95,0.07695164607419674,0.04199149480971151,0.22806821065023541,0.11165809278530628,0.000976618738562577,1.4011462172595273,1.388364719141209,1.3758708872521248,0.06881114992899065,0.347393904808269,0.43404278278030195
