K,eps_idx,eps,alpha,mro_sol,solvetime,dro_feas_sol
1.0,0.0,0.1,0.1,36.82249650907373,0.437688474,36.82249650907373
1.0,1.0,0.21544346900318834,0.1,37.70597644967409,0.171341673,37.70597644967409
1.0,2.0,0.46415888336127786,0.1,39.60937579234632,0.344159965,39.60937579234632
1.0,3.0,1.0,0.1,42.566412143045184,0.176088135,42.566412143045184
1.0,4.0,2.1544346900318834,0.1,47.94483461705258,0.18422693,47.94483461705258
1.0,5.0,4.6415888336127775,0.1,57.3972495739504,0.173197856,57.3972495739504
1.0,6.0,10.0,0.1,63.694937732999925,0.143774842,63.694937732999925
2.0,0.0,0.1,0.1,19.206538072013217,0.282634886,19.206538072013217
2.0,1.0,0.21544346900318834,0.1,19.787307413091114,0.277347148,19.787307413091114
2.0,2.0,0.46415888336127786,0.1,21.038536820771604,0.29941864,21.038536820771604
2.0,3.0,1.0,0.1,23.651637505689607,0.330906396,23.651637505689607
2.0,4.0,2.1544346900318834,0.1,27.6680978228871,0.304038259,27.6680978228871
2.0,5.0,4.6415888336127775,0.1,35.53311758395019,0.32403775,35.53311758395019
2.0,6.0,10.0,0.1,43.454317288423326,0.268828522,43.454317288423326
3.0,0.0,0.1,0.1,11.49234114553008,0.429254153,11.49234114553008
3.0,1.0,0.21544346900318834,0.1,11.898993918324077,0.446153897,11.898993918324077
3.0,2.0,0.46415888336127786,0.1,12.775100511009517,0.450276032,12.775100511009517
3.0,3.0,1.0,0.1,14.662615115439765,0.487078077,14.662615115439765
3.0,4.0,2.1544346900318834,0.1,17.62219992072543,0.438323921,17.62219992072543
3.0,5.0,4.6415888336127775,0.1,22.67259782457289,0.440444795,22.67259782457289
3.0,6.0,10.0,0.1,29.699285829194018,0.458229249,29.699285829194018
4.0,0.0,0.1,0.1,7.259566229562464,0.681384412,7.259566229562464
4.0,1.0,0.21544346900318834,0.1,7.560259539372421,0.727386882,7.560259539372421
4.0,2.0,0.46415888336127786,0.1,8.208083680538277,0.72727787,8.208083680538277
4.0,3.0,1.0,0.1,9.603778547143635,0.779588594,9.603778547143635
4.0,4.0,2.1544346900318834,0.1,11.776717928605539,0.728284255,11.776717928605539
4.0,5.0,4.6415888336127775,0.1,14.428642613485309,0.64532558,14.428642613485309
4.0,6.0,10.0,0.1,18.11350966899694,0.662307446,18.11350966899694
5.0,0.0,0.1,0.1,4.732231447750996,1.056895494,4.732231447750996
5.0,1.0,0.21544346900318834,0.1,4.96390195051303,1.078641167,4.96390195051303
5.0,2.0,0.46415888336127786,0.1,5.463020963257422,1.041348117,5.463020963257422
5.0,3.0,1.0,0.1,6.511300073102447,1.14910859,6.511300073102447
5.0,4.0,2.1544346900318834,0.1,7.804861993190902,0.911193637,7.804861993190902
5.0,5.0,4.6415888336127775,0.1,9.062483619265281,0.933317385,9.062483619265281
5.0,6.0,10.0,0.1,11.040031238700122,0.922384436,11.040031238700122
6.0,0.0,0.1,0.1,3.4193673158789215,1.444278565,3.4193673158789215
6.0,1.0,0.21544346900318834,0.1,3.6015104236561664,1.524379838,3.6015104236561664
6.0,2.0,0.46415888336127786,0.1,3.9939258986128845,1.642913922,3.9939258986128845
6.0,3.0,1.0,0.1,4.80316956352706,1.628613233,4.80316956352706
6.0,4.0,2.1544346900318834,0.1,5.435597576096547,1.345245167,5.435597576096547
6.0,5.0,4.6415888336127775,0.1,6.120499681835718,1.354959214,6.120499681835718
6.0,6.0,10.0,0.1,7.252702630653683,1.4296963790000001,7.252702630653683
7.0,0.0,0.1,0.1,2.323533445538163,2.088208015,2.323533445538163
7.0,1.0,0.21544346900318834,0.1,2.4714868245208867,2.171011991,2.4714868245208867
7.0,2.0,0.46415888336127786,0.1,2.7902426836397147,2.319315407,2.7902426836397147
7.0,3.0,1.0,0.1,3.309282985345986,1.9066857879999999,3.309282985345986
7.0,4.0,2.1544346900318834,0.1,3.570446114046719,1.88370002,3.570446114046719
7.0,5.0,4.6415888336127775,0.1,3.9611158437485243,1.8146687259999998,3.9611158437485243
7.0,6.0,10.0,0.1,4.62350232560611,1.89218832,4.62350232560611
8.0,0.0,0.1,0.1,1.5737921259633425,2.579272076,1.5737921259633425
8.0,1.0,0.21544346900318834,0.1,1.6964886938554231,2.664870827,1.6964886938554231
8.0,2.0,0.46415888336127786,0.1,1.9608304725369128,2.924326791,1.9608304725369128
8.0,3.0,1.0,0.1,2.2345523264492257,2.302203708,2.2345523264492257
8.0,4.0,2.1544346900318834,0.1,2.3837165667462306,2.391494304,2.3837165667462306
8.0,5.0,4.6415888336127775,0.1,2.6257637534466096,2.570860126,2.6257637534466096
8.0,6.0,10.0,0.1,3.0381856970507983,2.457239028,3.0381856970507983
9.0,0.0,0.1,0.1,1.236571955061885,3.7741927,1.236571955061885
