iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,beta0,beta1
0,14.212974631750994,0.0810432401699086,0.21851637499639764,,,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208
1,14.212974631750994,0.08104342131345103,0.33011029195040464,169.7437204777774,1.0000000000000006e-06,1.2499977639343227,1.2499977639343018,-9.999994101915952e-07,0.2817535251253208
2,14.21300079695131,0.08104363506308165,0.28999033296713606,169.74314420823308,1.1800000000000006e-06,1.249995125380166,1.2499951253792996,-2.1799983729899265e-06,0.2817535251253208
3,14.213031671951146,0.08104388141889435,0.002512458013370633,169.74241631810108,1.3600000000000005e-06,1.2499920843397807,1.2499920843362566,-3.539996456365655e-06,0.2817535251253208
4,14.213067256775787,0.08104416038094744,0.002086707972921431,169.74166463648547,1.5400000000000005e-06,1.2499886408167458,1.249988640806616,-5.07999272281927e-06,0.2817535251253208
5,14.213107551447148,0.08104447194930373,0.002131834044121206,169.74077699819077,1.7200000000000005e-06,1.249984794815183,1.2499847947920122,-6.799986081948924e-06,0.2817535251253208
6,14.213152555988955,0.0810448161241836,0.002070707967504859,169.73976281714172,1.9000000000000004e-06,1.249980546337951,1.2499805462922324,-8.699976098054312e-06,0.2817535251253208
7,14.213202270447669,0.08104519290544894,0.0019533330341801047,169.73865353688444,2.0800000000000004e-06,1.2499758953931788,1.2499758953113145,-1.0779960067997542e-05,0.2817535251253208
8,14.213256694821894,0.08104560229310635,0.001972207974176854,169.7374389662865,2.2600000000000004e-06,1.2499708419879911,1.249970841851446,-1.3039935828639379e-05,0.2817535251253208
9,14.213315829128472,0.0810460442870421,0.002048083988483995,169.73612101548892,2.440000000000001e-06,1.249965386131912,1.2499653859160125,-1.54799002345745e-05,0.2817535251253208
10,14.213379673370381,0.08104651888736708,0.001962957961950451,169.7346963596418,2.6200000000000003e-06,1.2499595278324893,1.2499595275055329,-1.809985111511352e-05,0.2817535251253208
11,14.213448227579518,0.08104702609387267,0.002091708010993898,169.73317731076602,2.8000000000000003e-06,1.2499532671023903,1.2499532666237483,-2.0899784101258353e-05,0.2817535251253208
