iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,beta0,beta1,beta2,beta3,beta4,beta5,beta6
0,3.991536875385414,0.00877367767849444,0.23696333303814754,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603
1,3.991536875385414,0.008773726372032395,0.3718674579868093,87.9181588895544,1.0000000000000006e-06,1.2499977639343092,1.2499977639343047,1.2499977639343107,1.2499977639343236,1.2499977639343027,1.2500022360676641,1.2499977639344224,-9.999994225850666e-07,0.2817525251258966,0.4340417827808815,0.5310628054050577,0.5987775940566121,0.6489223261229881,0.6876458540105603
2,3.9915470518572382,0.008773783812878232,0.3281024169991724,87.46089490101883,1.1800000000000006e-06,1.2499951251483077,1.2499951251653831,1.2499951251429435,1.2499951256672215,1.249995125115291,1.2500048750860602,1.2499951249469334,-2.1703932296111583e-06,0.28175134503035776,0.4340406026721824,0.5310616253497358,0.5987764139430841,0.6489211460353771,0.6876458540105603
3,3.991559053126706,0.008773850015428249,0.005266583990305662,87.53504828001088,1.3600000000000005e-06,1.249992083738101,1.2499920837765288,1.2499920837611977,1.2499920845588086,1.249992083693106,1.250007916607803,1.2499920833621019,-3.5175177202681873e-06,0.2817499848760605,0.4340392425165252,0.5310602652119228,0.5987750537742572,0.6489197858741024,0.6876458540105603
4,3.9915728843733986,0.00877392498371973,0.005073999986052513,87.63041739814177,1.5400000000000005e-06,1.2499886397385425,1.2499886397576172,1.2499886398094047,1.2499886400663989,1.2499886397287618,1.250011360403052,1.249988639534353,-5.042528839836675e-06,0.28174844465841786,0.43403770232971395,0.5310587249555319,0.5987735135752398,0.64891824564347,0.6876458540105603
5,3.991588546856751,0.008774008717956614,0.005114874977152795,87.62901049027667,1.7200000000000005e-06,1.2499847931712689,1.2499847931353363,1.249984793308553,1.2499847923728227,1.2499847932310826,1.2500152065165482,1.2499847932656,-6.745822218932596e-06,0.28174672438858467,0.4340359821177114,0.5310570046003092,0.5987717933490185,0.6489165253487572,0.6876458540105603
6,3.991606040772533,0.008774101214197019,0.005104375013615936,87.54081762506718,1.9000000000000004e-06,1.2499805440648928,1.2499805439788136,1.249980544211737,1.249980542570028,1.2499805441614706,1.2500194554331565,1.2499805442390026,-8.627579616301273e-06,0.28174482409643875,0.43403408185854947,0.5310551042602895,0.5987698930883087,0.6489146250517218,0.6876458540105603
7,3.9916253654933764,0.008774202477728832,0.004928125010337681,87.6369701775023,2.0800000000000004e-06,1.2499758924072595,1.2499758922166107,1.249975892587391,1.2499758894060988,1.2499758925881517,1.2500241065902151,1.2499758929249816,-1.068794860484134e-05,0.28174274374859254,0.43403200158049093,0.5310530238124318,0.5987678128115526,0.6489125446950472,0.6876458540105603
8,3.9916465221056474,0.008774312504367568,0.004761790973134339,87.56052382897256,2.2600000000000004e-06,1.2499708382545673,1.2499708379288845,1.2499708384267874,1.2499708339829452,1.249970838461803,1.2500291605497953,1.2499708387500208,-1.2926991087539146e-05,0.28174048338144064,0.43402974127208727,0.5310507633634697,0.5987655525048883,0.6489102843351614,0.6876458540105603
9,3.991669509856832,0.008774431299929414,0.005151332996319979,87.64538380899947,2.440000000000001e-06,1.2499653815686167,1.249965381032143,1.2499653817502194,1.2499653749813349,1.2499653818577794,1.250034616646382,1.2499653822640862,-1.5344822020744222e-05,0.2817380429573605,0.434027300949771,0.5310483227872543,0.5987631121896712,0.648907843905213,0.6876458540105603
