k,l2o,ldro_pep,lpep
1,32.01588732956714,30.883855421870617,30.721965117513268
2,8.646989616933608,11.88233041277907,10.236877841426791
3,3.1924155047048757,2.6843149000377515,4.559406900199484
4,0.49429139528274063,0.7878363464660341,2.2904171148178696
5,0.17120558987483475,0.49075429885167865,1.2545154221509687
6,0.10346152551756362,0.36483231815562056,0.7201048086073598
7,0.01806401050227927,0.021769716731579198,0.4465063350174479
8,0.0057913256647134145,0.007938626277649116,0.2790210642065819
9,0.0019047598202605153,0.002918397013684619,0.18755645584981545
10,0.0011477007143672517,0.001674208823413122,0.11557918932570466
11,0.0007070373998768153,0.0012708845622099144,0.07463821599408604
12,0.0004159821668418794,0.0003402017448563976,0.04907754568202594
13,0.00024589254815657026,0.0001461316933353829,0.032941610391828496
