k,l2o_t,ldro_pep_t,lpep_t
1,0.142015111244734,0.1499542653698708,0.1524915275386571
2,0.235932171536166,0.2575167380297887,0.1461737953524895
3,0.1088370924321978,0.1068762400508687,0.1466776576156666
4,0.4936368673831912,0.2899553828726874,0.1493797229526092
5,0.1561558230877651,0.1114087399921725,0.147232699730514
6,0.103659492497855,0.0935035322506688,0.1474991444047342
7,0.6503134509211848,0.671469349648319,0.1364548125374138
8,0.2527626143183763,0.3194213886124481,0.1400133204253345
9,0.1432188968631601,0.1810821194178019,0.1244256775437053
10,0.1472296803808461,0.1611775083941675,0.1525443424396184
11,0.1774732441039756,0.0968027926898508,0.1432019992761049
12,0.2082380572693534,0.4185311351501346,0.1409229489280565
13,0.2257118845903765,0.3544388503607161,0.1371888880842499
