k,l2o,ldro_pep,lpep
1,31.95782580423193,30.77613822166805,30.597041337503057
2,8.559418304566021,11.661439456639789,10.24988289116621
3,3.2153014103199427,2.7052200889660014,4.581846841852771
4,0.49492906969761685,0.7948203264557229,2.3071592651963195
5,0.17234576383135622,0.496426124331932,1.265749020674193
6,0.10470751928323753,0.36918041927062833,0.7274150522711496
7,0.018167616576969064,0.02204018332555524,0.4514178550664439
8,0.0058981664466427565,0.00805893362496961,0.2822968686165976
9,0.0019669740395355535,0.0029969991222566256,0.18986782174019493
10,0.0011893497238914348,0.001729494702758545,0.1170879868345839
11,0.0007351158248836345,0.001315775574630215,0.07566390013946339
12,0.00043424840023954824,0.0003549395741716513,0.04978700317468533
13,0.000258308078712601,0.00015210306730505802,0.03344229278294919
