eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.001,0.0,0.0
5e-05,0.089,0.116,0.0
0.0001,0.23,0.416,0.0
0.0005,0.877,0.973,0.0
0.001,0.98,1.0,0.0
0.005,1.0,1.0,0.0
0.01,1.0,1.0,0.012
0.05,1.0,1.0,0.88
