eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.074,0.12,0.0
0.0001,0.248,0.426,0.0
0.0005,0.91,0.98,0.0
0.001,0.982,0.998,0.0
0.005,1.0,1.0,0.0
0.01,1.0,1.0,0.008
0.05,1.0,1.0,0.878
