eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.008,0.236,0.0
0.0001,0.014,0.678,0.0
0.0005,0.074,0.986,0.0
0.001,0.122,0.992,0.0
0.005,0.322,1.0,0.002
0.01,0.43,1.0,0.074
0.05,0.69,1.0,0.968
0.1,0.806,1.0,1.0
0.5,0.958,1.0,1.0
1.0,0.98,1.0,1.0
