k,l2o,ldro_pep,lpep
1,33.26460539204264,33.53014291234849,33.864209522510684
2,13.931744347817785,22.42001965713826,10.466999633624669
3,2.8779498962426935,2.440484615155264,4.33910457820128
4,1.801942059528035,1.0817282549855203,2.0697889899835045
5,0.6793984746637081,0.4040985770461431,1.0849003968948439
6,0.07932056806302093,0.2873444729231781,0.6012271122311073
7,0.17427787516308887,0.017636780547312332,0.36172883993987454
8,0.45653019191592087,0.007676173290330897,0.2204025037564384
9,0.12576099134568605,0.002864712104119217,0.14509824876357796
10,0.041229506067678647,0.0013819405918147711,0.08717908882802217
11,0.03301199173008933,0.0006682884216603188,0.05501816453717742
12,0.04944886114051983,0.0001648615722937965,0.03538340000820709
13,0.099034297430158,0.00011380160218136162,0.023253663108772277
