iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12
0,0.014837959958538455,0.0012618844685357176,3.901633445173502,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134,0.7976243809601434,0.8108199838000862
1,0.015217125440945311,0.0012618749846557867,9.144770910032094,0.018815959811150515,9.999999999999159e-07,1.2426516371447187,1.2426516371437861,1.2426516371422514,1.2426516371397078,1.2426516371357494,1.242651637129203,1.2426516371214016,1.2426516370984206,1.242651637112353,1.2426516371203025,1.2426516371239347,1.242651636185423,1.2426516371341128,1.0000063964935065e-06,0.2817545251307841,0.4340437827853478,0.5310648054087888,0.5987795940592082,0.6489243261237496,0.6876468540094912,0.7185008534530868,0.7436920465979573,0.7646657176125403,0.7824102432231227,0.7976253809407273,0.8108199838000862
2,0.014888972127261924,0.0012616791242543366,8.247369341552258,0.018411144248857834,2.097999999999987e-05,1.2426984002958437,1.242698390561331,1.2426983705508556,1.2426983559563263,1.2426983351060346,1.242698299714401,1.2426982374504583,1.2426983272245904,1.242697326399875,1.242696295138555,1.2426947014182472,1.2426944190072502,1.242698292559992,2.197374730911023e-05,0.28177549382700545,0.4340647434636281,0.5310857595906309,0.5988005393020004,0.6489452549086392,0.6876677469507504,0.7185217174525214,0.7437126450202081,0.764685989458333,0.782430397887206,0.7976461161866399,0.8108199838000862
3,0.015409786131388797,0.0012612960938090114,4.83483365830034,0.018772355666415073,4.095999999999993e-05,1.2427897368562437,1.2427897244445774,1.2427896762908521,1.2427896497821265,1.2427895972233012,1.2427895467831618,1.2427893347692698,1.242789710112206,1.2427869044150226,1.2427847396548948,1.2427783008052948,1.2427798535698553,1.242789402151565,6.293915482987874e-05,0.2818164555750174,0.43410569281598715,0.5311267004729714,0.5988414638273131,0.6489861602861023,0.6877085862036693,0.7185625393218069,0.7437530529125667,0.7647258609831079,0.7824695383467479,0.7976862026848476,0.8108199838000862
4,0.015846839970814965,0.0012607263557220133,4.444332252256572,0.01881029809846505,6.0939999999999996e-05,1.2429255589531907,1.2429256947209681,1.242925710159979,1.2429257353291783,1.2429256871799284,1.2429256665324824,1.2429252404276403,1.242926033398878,1.2429202765822684,1.2429163894482234,1.242899089059559,1.2429076486418282,1.2429250464822381,0.00012386763504943193,0.28187744773303214,0.43416670999338197,0.5311877402724317,0.5989025108791795,0.6490472120018087,0.6877695691412932,0.7186235199156717,0.7438133906109956,0.7647852292581879,0.7825273089729156,0.7977457285973497,0.8108199838000862
5,0.01517764176779633,0.0012599675783943026,5.59873170312494,0.018761266924005548,8.091999999999984e-05,1.2431060125681612,1.243106173121527,1.2431062685436827,1.2431063932260626,1.2431063791912975,1.2431064642971659,1.2431055235387127,1.2431070308058643,1.2430977627433737,1.243093446208212,1.2430666081722899,1.243081129038285,1.2431045776066458,0.0002048004946612628,0.2819583947647387,0.4342476887002231,0.5312687592028953,0.5989835520629416,0.649128287466352,0.6878505266188235,0.718704479829709,0.7438936288922507,0.7648646450458166,0.7826053946618896,0.7978247095632844,0.8108199838000862
6,0.01476451865263259,0.0012590238240535775,5.117032623849809,0.01860601219734494,0.0001008999999999999,1.2433310095084713,1.2433312085498434,1.2433312953645816,1.2433313231449112,1.2433310925687693,1.243330705061418,1.2433289365838127,1.2433285370906202,1.2433196098288368,1.24331676349887,1.2432796017314667,1.243292903157552,1.2433292763755115,0.0003057097898623468,0.28205931580397486,0.43434860318072865,0.5313696360520886,0.5990843471843966,0.6492289151233752,0.6879508210420713,0.7188040646615251,0.7439930207869546,0.7649644784566207,0.7827041202337459,0.7979244830699075,0.8108199838000862
7,0.015063257483611928,0.0012578999202551716,5.739244056865573,0.018927789586412936,0.00012087999999999997,1.2436008266437786,1.2436009565349209,1.2436010039016898,1.2436008987216103,1.2436003124874635,1.243599204168105,1.2435961123671178,1.2435939123163893,1.243582630222699,1.243577277817551,1.2435300913635141,1.243552228192085,1.243598105935174,0.00042671760469285857,0.2821802938065597,0.43446957418109017,0.5314905681761768,0.599205165557372,0.6493494893373248,0.6880708799784804,0.7189232605581093,0.7441111753390935,0.7650818891835661,0.7828207258382277,0.7980428546325955,0.8108199838000862
8,0.014790530542955566,0.0012565890308204328,4.928942057304084,0.018635215340438802,0.00014085999999999992,1.243915107466769,1.243915095627895,1.2439151644492719,1.2439149590577065,1.2439140921955396,1.243912185993965,1.2439083128078945,1.2439029166412374,1.2438917319650826,1.2438859181682838,1.2438305766367612,1.2438260340611424,1.243911843977814,0.0005676501318090241,0.28232117212391417,0.4346104714338484,0.5316314423286196,0.5993459560809149,0.6494900404208367,0.6882110783239832,0.7190625635939063,0.7442500655236703,0.7652208206516232,0.7829593566601919,0.7981826530825179,0.8108199838000862
9,0.013076921757268201,0.001255109192902353,4.90488064289093,0.01752822350402934,0.00016083999999999998,1.2442734004100446,1.2442725924768725,1.244271634785083,1.244269914959101,1.2442674923044676,1.2442632865804135,1.2442596461905784,1.2442426486870315,1.2442469551281694,1.244244457576935,1.2441818584454485,1.2441063343863135,1.2442704095251558,0.0007281966105476776,0.282481311106931,0.4347701239556639,0.531790388470176,0.5995040824206015,0.6496470765939756,0.6883675973869162,0.7192165802614049,0.7444076487357016,0.765381896077517,0.7831201855758523,0.7983445613838163,0.8108199838000862
10,0.014076032282824974,0.0012534490015428709,5.175464009866118,0.01820207389690793,0.00018081999999999983,1.2446762467049708,1.2446742504970068,1.2446718670909107,1.2446682053930165,1.2446638734757896,1.2446568325548577,1.2446529484259465,1.2446208866475388,1.244647821229882,1.2446523940103011,1.2445798970793964,1.2444358504638167,1.2446746233064359,0.0009086479488528453,0.28266116413992975,0.434949301704428,0.531968641277074,0.5996812935119639,0.6498229114601427,0.6885425914102263,0.7193879496205585,0.7445840715335886,0.7655641111016704,0.7833019208144775,0.798528060351909,0.8108199838000862
11,0.014748267987483042,0.001251611518498435,4.848731566220522,0.018317245307366725,0.0002007999999999999,1.245123461797423,1.2451205032172064,1.245116762004752,1.2451111473618977,1.2451047757376594,1.2450945178149924,1.245089811115062,1.2450430992128625,1.2450904434731205,1.245100160016947,1.2450198304011753,1.2448277276859414,1.2451241471364045,0.0011089465743620163,0.28286097153854567,0.4351484397699976,0.5321668338733032,0.599878371659109,0.650018420560423,0.6887368679284267,0.7195780647556412,0.7447781982644713,0.7657637983366382,0.7835021677018379,0.7987305844784814,0.8108199838000862
12,0.015032690003817604,0.0012495931542227635,5.801742938347161,0.018763257570197787,0.00022077999999999996,1.245615886741896,1.2456117338093864,1.2456065516106687,1.2455989325787131,1.2455905120352044,1.2455765725894028,1.2455706599216483,1.2455063891229767,1.2455774759847402,1.2455915027454776,1.2455034996063186,1.2452796947030567,1.2456206049298633,0.0013295014282080585,0.28308094760355623,0.43536774284568563,0.5323851968711507,0.6000956351972828,0.6502339986112615,0.6889509484648875,0.719786928185496,0.7449908169931715,0.7659829159689182,0.7837228301124097,0.7989545741131583,0.8108199838000862
13,0.015531551232419913,0.0012473891769868158,5.599660702049732,0.018883338597112553,0.0002407599999999999,1.2461533106291351,1.2461480975819579,1.2461420746676934,1.2461332355269563,1.2461235394023689,1.2461068749944642,1.2461000123963804,1.2460208101750438,1.24610962834878,1.2461221059439762,1.2460224895212386,1.245789215485042,1.2461613189825265,0.0015702028846907748,0.2833211920859707,0.43560757935546307,0.5326244458946711,0.6003341750010364,0.6504713237106431,0.6891871190102258,0.7200186578427794,0.745225034379926,0.7662209919343761,0.7839614004727882,0.7991976159439648,0.8108199838000862
14,0.016091140168037466,0.0012449895646784444,5.24761026352644,0.019214416641438425,0.00026074,1.2467356570146726,1.2467302338810273,1.246724270673882,1.246715294318219,1.2467056522137698,1.246687895826821,1.2466814073064405,1.246590089396172,1.2466934244313437,1.246702162702742,1.2465861994298575,1.2463025471648452,1.246748676456671,0.0018310782990144249,0.2835820571375252,0.4358684606172154,0.5328852659651231,0.600594940233954,0.6507316948480281,0.6894472096283336,0.720275682401575,0.7454845312876729,0.766482726139056,0.7842219660218357,0.7994623254907051,0.8108199838000862
15,0.014109771976362333,0.001242465334255793,5.138235374353826,0.017958385977928232,0.00028071999999999993,1.2473614648598716,1.2473565689323958,1.2473506018910356,1.2473407116138795,1.2473292699631278,1.247308029048447,1.2472985896049782,1.2471939592895591,1.2473047404493804,1.2473004588306136,1.247147575403476,1.2468736058593646,1.2473756724562783,0.0021113880819010845,0.28386265790930276,0.4361489697637388,0.5331653508429371,0.6008741846519993,0.6510093513209272,0.6897227774400017,0.7205460929301198,0.7457540824300293,0.7667520921390073,0.7844876937047437,0.7997371586309515,0.8108199838000862
16,0.014511480392944767,0.0012397810416369735,5.742851827293634,0.017816089239752003,0.0003007,1.2480307006464875,1.2480264048451022,1.248019856849104,1.248008574485129,1.247995025937593,1.2479704131173912,1.2479573377128363,1.2478429067938244,1.2479570675298048,1.2479358371077047,1.2477496795413034,1.2475056935628082,1.2480462443298577,0.0024110159287288923,0.2841625890349075,0.4364485271326772,0.533464221978467,0.6011719706954367,0.65130537236757,0.6900162972588116,0.7208344713174107,0.7460407621284467,0.7670377556782791,0.7847707687718467,0.8000293596022826,0.8108199838000862
