iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
10,0.03263266881007304,0.008798834977108039,0.002724874997511506,0.022677005010911692,0.00018081999999999983,1.252030644011686,1.2520313920757307,1.2520317369499807,1.2520320589210987,1.2520323779239109,1.2520327049932019,1.2520330448125043,1.2520333977091251,1.2520337618316508,1.2520341342938484,1.2520345113317273,1.2520348866871946,1.2520352384918443
11,0.03473179882807605,0.008793358222409698,0.0027277089538984,0.022941551034255388,0.0002007999999999999,1.2524792437615728,1.2524806452871409,1.2524812245532908,1.252481673270608,1.2524820824429046,1.2524824850849334,1.2524828943391866,1.252483314033229,1.2524837437625775,1.252484181147026,1.2524846223679496,1.2524850603519098,1.2524854688595226
12,0.032977326358053005,0.008787350782268595,0.0026681660092435777,0.02284454561897245,0.00022077999999999996,1.2529724186971358,1.2529744074880727,1.2529751579815962,1.2529756392236293,1.2529760344088365,1.2529764056904529,1.2529767773979021,1.252977158106099,1.252977549484784,1.2529779499696716,1.2529783558035905,1.2529787590471748,1.2529791286200078
13,0.03348895530137814,0.008780812427227334,0.002715500013437122,0.02276527089247609,0.0002407599999999999,1.2535100945362903,1.2535125821175592,1.2535134277364908,1.253513882961766,1.2535142160828527,1.2535145146476676,1.253514811992331,1.2535151200605226,1.2535154416559455,1.2535157753513833,1.25351611693431,1.2535164571521418,1.2535167593809935
14,0.034390256118999867,0.008773739259293646,0.002838083019014448,0.022632872327752247,0.00026074,1.2540920987459299,1.2540948427853285,1.254095824663573,1.2540963570079497,1.2540967470372775,1.25409709806667,1.2540974496383044,1.254097815816219,1.2540981997282712,1.254098599451136,1.254099009780247,1.2540994196410136,1.2540997860779255
15,0.03397678026983403,0.008766126969924532,0.002673540962859988,0.022918770702678386,0.00028071999999999993,1.254718848020791,1.2547218338576256,1.2547230176261077,1.254723739865436,1.254724302730801,1.2547248124467072,1.2547253114586443,1.2547258157675585,1.2547263296190183,1.2547268515952634,1.2547273764342588,1.2547278919904592,1.2547283492480887
16,0.034551955741709967,0.00875797342653054,0.002772166975773871,0.02349676797973257,0.0003007,1.2553917042844143,1.255394378160148,1.2553956749858541,1.2553965847141415,1.2553973328400472,1.25539800945136,1.2553986550081326,1.2553992870320778,1.2553999118333554,1.255400529743759,1.2554011366167859,1.2554017201915604,1.2554022258248312
17,0.03054616926630424,0.008749346650790616,0.002682874968741089,0.0215407157517488,0.00032068000000000005,1.256107216910339,1.2561087389311623,1.2561096578118425,1.2561103402773586,1.2561108939648962,1.2561113814306653,1.2561118367602326,1.2561122767122954,1.256112708101644,1.2561131317423926,1.2561135434779562,1.2561139298576942,1.2561142292834453
18,0.03587675251026879,0.008740155517552126,0.002799416019115597,0.02375011298983309,0.00034066,1.2568691906312939,1.2568700173306757,1.2568708598903557,1.2568715223071212,1.2568720499932184,1.2568725005484245,1.2568729096449793,1.2568732959756772,1.2568736677846388,1.2568740267232115,1.2568743688008162,1.2568746794587342,1.2568748898677222
19,0.03420840997017805,0.00873043371512685,0.002695542003493756,0.022711565913108255,0.00036063999999999996,1.2576753458040308,1.25767594427033,1.2576769096451206,1.257677706784452,1.2576783323165255,1.257678848030118,1.2576792980732765,1.257679707913831,1.257680090563811,1.257680450824942,1.2576807864888362,1.2576810829887541,1.2576812646962523
