iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8
0,4.651176745780412,0.01543345816443953,0.21463741699699312,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,4.651176745780412,0.0154334818352522,0.39052162499865517,22.51308067817635,1.0000000000000006e-06,1.250002236067677,1.2499977639343034,1.2499977639343058,1.2499977639343043,1.2500022360676915,1.2499977639343058,1.2499977639343176,1.2499977639343063,1.2499977639343118
2,4.65117991021864,0.015433509766811168,0.3282403750345111,22.513005399727085,1.1800000000000006e-06,1.2500048746294001,1.2499951253793775,1.2499951253791939,1.2499951253795578,1.2500048746299903,1.249995125379191,1.2499951253794968,1.2499951253789119,1.2499951253787942
3,4.65118364425289,0.015433541959116474,0.00804649997735396,22.512965321144726,1.3600000000000005e-06,1.2500079156858863,1.249992084336388,1.2499920843362249,1.2499920843370966,1.2500079156883228,1.2499920843367793,1.249992084337483,1.2499920843343897,1.2499920843331276
4,4.6511879478822165,0.015433578412172622,0.00839733297470957,22.512851459061817,1.5400000000000005e-06,1.2500113592380309,1.249988640807076,1.2499886408069583,1.2499886408087602,1.2500113592435425,1.2499886408080207,1.249988640809824,1.2499886408011704,1.2499886407975203
5,4.651192821104728,0.015433619125981238,0.013826792011968791,22.51279022401209,1.7200000000000005e-06,1.2500152052862892,1.2499847947930638,1.2499847947932248,1.249984794796517,1.2500152052977263,1.2499847947959772,1.2499847947996847,1.2499847947794478,1.2499847947706297
6,4.651198263918315,0.015433664100572597,0.009914916008710861,22.512699303507347,1.9000000000000004e-06,1.250019453831937,1.2499805462939135,1.2499805462951952,1.249980546300959,1.2500194538543519,1.2499805463012406,1.249980546307619,1.249980546267177,1.2499805462495963
7,4.6512042763261014,0.015433713335928466,0.009367417020257562,22.51257786685739,2.0800000000000004e-06,1.2500241048741176,1.2499758953141058,1.2499758953167814,1.2499758953265472,1.2500241049137601,1.2499758953294262,1.2499758953395317,1.2499758952661952,1.2499758952342865
8,4.651210858321205,0.015433766832067238,0.00894595799036324,22.512446920907397,2.2600000000000004e-06,1.2500291584111376,1.2499708418561641,1.249970841860861,1.2499708418763673,1.2500291584766854,1.2499708418822488,1.24997084189847,1.2499708417760016,1.2499708417231754
9,4.651218009904414,0.01543382458897835,0.008593917009420693,22.512318668836205,2.440000000000001e-06,1.2500346144451668,1.2499653859236115,1.2499653859310977,1.2499653859550206,1.2500346145452745,1.2499653859658457,1.2499653859906386,1.2499653857964033,1.2499653857128645
