iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
0,0.03208106944877359,0.009292626164366569,5.257481832057238,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108
1,0.034057847930509706,0.009292601039615976,1.5858299548272043,0.018366530390900495,9.999999999999159e-07,1.8873510877183677,1.8873510877168236,1.8873510877154764,1.8873510877141244,1.8873510877126773,1.8873510877110617,1.8873510877091912,1.8873510877069493,1.8873510877041586,1.887351087700531,1.8873510876955515,1.8873510876881925,1.8873510876760602,1.8873510876519797,1.8873510875800776
2,0.035714250438394476,0.009292073339322436,1.5575941079296172,0.01915124368644278,2.097999999999987e-05,1.8874087703162588,1.8874087916361055,1.8874087949580354,1.8874087973873805,1.8874087992677182,1.8874088007302365,1.8874088018741517,1.8874088027706066,1.8874088034690306,1.8874088040021972,1.8874088043881088,1.887408804626828,1.8874088046843212,1.8874088044214203,1.8874088030882135
3,0.03346435335867639,0.00929104460250583,0.02172672701999545,0.018305692364143693,4.095999999999993e-05,1.8875212470340994,1.8875213106287203,1.8875213310370194,1.8875213384737983,1.887521340822091,1.8875213405056004,1.8875213384896914,1.8875213352315592,1.8875213309753747,1.887521325859082,1.8875213199537086,1.8875213132676498,1.887521305705735,1.8875212968671493,1.8875212845910028
4,0.030399445277914744,0.009289523449973759,0.022988506127148867,0.017189892579477832,6.0939999999999996e-05,1.8876881140520638,1.8876881043858542,1.8876880398250184,1.8876879652622613,1.887687892396975,1.8876878231940741,1.887687757458902,1.8876876945344718,1.8876876337331403,1.8876875744371844,1.8876875160987183,1.8876874581933014,1.8876874000993382,1.8876873406665877,1.887687275290044
5,0.03501333996550276,0.009287497503005483,0.023144422098994255,0.018807843380653617,8.091999999999984e-05,1.8879101264983338,1.8879100950868801,1.8879099797974361,1.8879098442048203,1.8879097105023401,1.8879095833277995,1.8879094628222957,1.8879093479854023,1.8879092376260604,1.8879091306248905,1.8879090259720597,1.8879089227045707,1.8879088197105152,1.887908715013332,1.8879086009142207
6,0.03390287306534953,0.009284969319682413,0.022743084002286196,0.01859619846212514,0.0001008999999999999,1.888187219883653,1.8881871784488695,1.8881870119066577,1.8881868087033848,1.888186605152119,1.8881864098817762,1.8881862239565719,1.8881860463001205,1.8881858753324103,1.8881857094701775,1.888185547238246,1.8881853872038221,1.8881852276982476,1.888185065753728,1.888184889839566
7,0.027554884654013442,0.009281974207054984,0.022502609994262457,0.01588953811102097,0.00012087999999999997,1.8885168734824087,1.8885165957073855,1.8885161081261423,1.8885155996137881,1.8885151150495427,1.8885146606768122,1.8885142338988603,1.8885138302269506,1.888513445186225,1.8885130748012011,1.8885127156167172,1.888512364513322,1.8885120182505701,1.8885116719260986,1.8885113087442502
8,0.030421428086603877,0.009278496987943013,0.02302780095487833,0.01676424022548328,0.00014085999999999992,1.8889003270789493,1.8888992665519886,1.88889835008228,1.888897459868639,1.8888966318256166,1.888895864400633,1.888895148726678,1.8888944754564618,1.8888938363532846,1.8888932244995507,1.888892634093226,1.8888920600661365,1.888891497388616,1.8888909389519095,1.8888903618363302
9,0.028216620894638264,0.00927455113278356,0.022635900182649493,0.01612774859565735,0.00016083999999999998,1.8893367470968832,1.8893343420559046,1.8893327435606173,1.8893312937127404,1.8893299707652331,1.8893287515911175,1.8893276159723917,1.8893265474387333,1.889325532797238,1.8893245614485943,1.8893236247157001,1.8893227151564707,1.8893218255645081,1.8893209461764344,1.8893200468983946
