algorithm,K,worst-case (PEP),cvar,expectation
GD,5,0.002,1.71,0.96
,10,0.004,12.17,4.03
,15,0.01,31.41,12.10
,20,0.02,81.55,26.34
,25,0.03,144.19,64.72
,30,0.05,319.19,111.13
FGM,5,0.002,1.79,0.92
,10,0.004,11.41,4.43
,15,0.01,43.97,13.04
,20,0.02,89.44,31.36
,25,0.02,235.36,64.24
,30,0.05,372.96,129.31
