iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10
0,0.019648410421417677,0.0021790737008555647,3.6268174620345235,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134
1,0.02014396122521417,0.0021790567563889766,7.230036824010313,0.024976991903947775,9.999999999999159e-07,1.2426516371452305,1.2426516371445242,1.2426516371433518,1.2426516371413723,1.2426516371380574,1.2426516371325411,1.2426516371240985,1.2426516371005036,1.242651637083822,1.2426516371061171,1.2426516371377345,1.0000067071597282e-06,0.2817545251313242,0.4340437827859819,0.5310648054095832,0.5987795940601846,0.6489243261249618,0.6876468540105363,0.7185008534529631,0.7436920465770498,0.7646657174044016,0.7824092432280134
2,0.019675012967831293,0.002178705756902402,7.295168320648372,0.024558374164243363,2.097999999999987e-05,1.2426984012419262,1.2426983877242974,1.2426983692756957,1.242698350820744,1.242698341627031,1.2426983663825066,1.2426983145907615,1.242698461333617,1.2426904369129792,1.2426983079957865,1.2426984121138513,2.1973698647497478e-05,0.28177549226196646,0.4340647425674608,0.5310857573574281,0.5988005407608618,0.6489452798901676,0.6876678064739044,0.7185218446137941,0.7437127713683762,0.7646847186622711,0.7824092432280134
3,0.020325528363456323,0.0021780294942974855,3.6460801977664232,0.025033683957538053,4.095999999999993e-05,1.2427897345324335,1.2427896964567782,1.2427896592093837,1.2427896183579468,1.242789603390066,1.2427896530346867,1.2427895965247011,1.2427888906940998,1.2427718701528667,1.2427818900419334,1.242789986847527,6.293571039808712e-05,0.28181644383727017,0.43410568642136116,0.5311266889713231,0.5988414606761016,0.6489861972757749,0.6877087259619842,0.7185625931960401,0.7437487544846666,0.7647161609780146,0.7824092432280134
4,0.020889475266378493,0.0021770873944425683,4.28533280082047,0.025180520076079082,6.0939999999999996e-05,1.2429255725123007,1.242925650757901,1.2429256868736354,1.2429256447584913,1.2429256416149699,1.2429257906054494,1.242925754263396,1.2429219811036665,1.2428459384574655,1.242909807740365,1.2429266389286155,0.00012386697984328006,0.2818774269465346,0.4341667011573772,0.5311877054599123,0.5989024699370704,0.6490472165749718,0.6877697519981507,0.7186230273763535,0.7437653320983613,0.7647488102586918,0.7824092432280134
5,0.020091055630229383,0.0021758623748685552,3.6466667130589485,0.024951052759584775,8.091999999999984e-05,1.2431060327936287,1.2431062270257203,1.243106572718448,1.2431047204918169,1.2431058258434637,1.2431063480050684,1.2431071823367075,1.2430731528521428,1.2429745970872577,1.2430818196955078,1.2431046991686698,0.00020479745445722955,0.2819584306759022,0.43424782928856925,0.5312684238660186,0.5989831379489887,0.6491279115015955,0.6878506892621332,0.7187014261472584,0.7437909047455448,0.764753656080564,0.7824092432280134
6,0.01956966273428446,0.0021743151827309103,3.347764984704554,0.0247960638060958,0.0001008999999999999,1.2433310344580544,1.2433313654522529,1.2433318642129847,1.2433284943002414,1.2433302742387145,1.243330704922649,1.243331621644357,1.2432704596396131,1.243125598505298,1.2432822295019725,1.2433269081593117,0.0003057078566609672,0.282059408479557,0.4343488679654789,0.5313691212512268,0.5990837313162826,0.6492284158704976,0.6879512235057949,0.7187998581766776,0.7438367266881196,0.7647748032873096,0.7824092432280134
7,0.01997550268602557,0.00217241891101758,3.6812761882320046,0.02533047412747454,0.00012087999999999997,1.2436008941199361,1.2436012194970443,1.2436017435727167,1.243597367806535,1.2435995976156122,1.243599732919181,1.2435998119809621,1.2435172591776567,1.2433013584666415,1.2435128052185145,1.243592499996734,0.00042673377101238224,0.2821804363353201,0.43446991715913413,0.5314899895002378,0.5992045537560943,0.6493491756587004,0.6880718956167191,0.7189193568361437,0.7439100997846845,0.7648322816169592,0.7824092432280134
8,0.01964465426671582,0.00217017705062619,3.822500058449805,0.02475112421691236,0.00014085999999999992,1.2439151734086613,1.2439154336115599,1.2439159862012632,1.2439112121714557,1.243913795867387,1.2439135892554922,1.243912211848769,1.2438133240521914,1.243514484737592,1.2437630167060543,1.2439030874507722,0.0005676704528820621,0.2823213525775991,0.43461085355139883,0.5316309296990833,0.5993455372559527,0.6494901653376416,0.6882127620322044,0.7190599587721571,0.7440116434334987,0.7649191348299702,0.7824092432280134
9,0.017364352478410228,0.002167717010412685,3.4261777931824327,0.023185640581841725,0.00016083999999999998,1.244273335608301,1.2442729284133982,1.2442724552776594,1.2442664325510033,1.2442675744915996,1.2442653176781229,1.2442613802693943,1.2441398596645619,1.243724725277313,1.2440459140313949,1.2442578219939426,0.000728174417573898,0.28248151250544595,0.43477055139128307,0.5317901568971373,0.5995040577711894,0.6496477681562305,0.6883693263152834,0.7192137415491331,0.7441042952445973,0.7649898263548092,0.7824092432280134
