iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8
0,2.8943579521406315,0.004101449688187046,0.2477370830019936,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832
1,2.8943579521406315,0.004101469154128603,0.38384033303009346,9.244417925337181,9.999999999999972e-07,1.2499977639322943,1.2499977639322697,1.2499977639322806,1.2499977639322755,1.2500022360697187,1.2499977639322741,1.2499977639322815,1.2499977639322746,1.249997763932299,-1.0000002980842406e-06,0.28175252512498483,0.434041782779968,0.531062805404146,0.598779594056286,0.648922326122075,0.6876448540102289,0.7184988534588023,0.7436910466053832
2,2.8943634898226884,0.004101527085856132,0.3426951249712147,9.23816713861881,2.980000000000002e-06,1.2499911005918944,1.249991100596084,1.249991100475934,1.249991100509698,1.250008899506518,1.2499911005127207,1.2499911005002762,1.2499911005048838,1.2499911004810442,-3.846942848698863e-06,0.28174954516317596,0.43403880278700646,0.5310598254184613,0.5987825736939828,0.6489193461083701,0.6876418740163311,0.7184958734648066,0.7436910466053832
3,2.894379880328223,0.004101623487773859,0.008931707998272032,9.238543506934688,4.960000000000007e-06,1.2499800099537897,1.249980010015188,1.2499800095876317,1.2499800097795857,1.2500199904459914,1.2499800098089666,1.2499800096768603,1.249980009690739,1.2499800097015543,-8.548669769812833e-06,0.2817445852289345,0.43403384277920476,0.5310548654474203,0.5987875333740782,0.6489143861412229,0.6876369140283396,0.7184909134644674,0.7436910466053832
4,2.8944071316549205,0.004101758372216087,0.0087650420027785,9.235741767306262,6.939999999999998e-06,1.2499644925382463,1.2499644926244728,1.2499644913140375,1.249964491995844,1.250035508784678,1.249964491944713,1.2499644916168653,1.249964491543902,1.2499644916372947,-1.5121692043924318e-05,0.28173764544663976,0.4340269027899253,0.5310479255510041,0.5987944726504775,0.6489074462181169,0.6876299740785916,0.7184839734568526,0.7436910466053832
5,2.894445258800036,0.004101931754083314,0.009016542055178434,9.241416659351984,8.919999999999989e-06,1.24994454738553,1.249944547545996,1.2499445456518943,1.2499445467574604,1.250055454252169,1.2499445464423613,1.2499445466824373,1.2499445463153978,1.2499445466411547,-2.3580125959899345e-05,0.2817287255170452,0.4340179827577576,0.5310390056222919,0.5988033915677594,0.6488985259834583,0.687621054028388,0.7184750534648547,0.7436910466053832
6,2.894494277311458,0.00410214364355675,0.008633792051114142,9.255655682190223,1.0899999999999994e-05,1.2499201711966148,1.2499201715044745,1.2499201724613278,1.2499201724457185,1.2500798259829256,1.249920173289165,1.2499201749842497,1.2499201739684842,1.2499201751835376,-3.3935614179923194e-05,0.2817178245242966,0.43400708264194177,0.5310281052301397,0.5988142920063922,0.648887625931581,0.6876101538355672,0.7184641536050277,0.7436910466053832
7,2.8945542065553376,0.004102394036703007,0.008740791003219783,9.232588567987884,1.2879999999999999e-05,1.2498913718902085,1.2498913713066302,1.24989137141588,1.2498913726270249,1.2501086255802931,1.2498913737996222,1.2498913762422328,1.2498913744045235,1.2498913765602486,-4.6188845167409764e-05,0.28170494431899734,0.43399420246361714,0.5310152252449771,0.5988271721556137,0.6488747461748823,0.6875972737746033,0.7184512736676547,0.7436910466053832
8,2.894625040834187,0.004102682959199704,0.008548040990717709,9.234425937047744,1.4860000000000003e-05,1.2498581481495934,1.2498581464638845,1.2498581422466568,1.2498581469116938,1.2501418513779117,1.2498581474826542,1.2498581509110678,1.2498581478495183,1.2498581515126401,-6.0347596460703816e-05,0.2816900847557989,0.43397934222638684,0.5310003656167762,0.598842029072108,0.6488598861279536,0.6875824136301556,0.7184364136463463,0.7436910466053832
9,2.8947067915437144,0.004103010392294943,0.008409291040152311,9.233858426848123,1.6840000000000008e-05,1.249820501328829,1.2498204973343896,1.249820484794254,1.2498204957573793,1.2501795055443787,1.249820495221691,1.2498204988617827,1.2498204946550995,1.2498205001895002,-7.641518865919918e-05,0.2816732457802532,0.43396250175817885,0.5309835263759523,0.5988588691034488,0.6488430467513197,0.6875655735530903,0.7184195736211172,0.7436910466053832
