iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6,tau_7,sigma_7,theta_7
0,48.22253522946613,11.929127583984659,4.663375106872991,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,43.43194646363992,11.928438224409096,5.844230272108689,164.18588211808938,9.999999999992654e-07,0.10126208560470987,0.10126335878290786,0.9999979995205488,0.1012620856047139,0.10126335878290324,0.999997999520537,0.10126208560472225,0.10126335878289176,0.9999979995205504,0.10126208560474252,0.10126335878283724,0.9999979995205925,0.1012620856048225,0.1012620856048326,0.9999979995206776,0.10126335878216525,0.10126208560491934,0.9999979995217145,0.10126335878175048,0.10126335878236122,1.0000020004522487,0.10126335878025967,0.10126335878201767,1.0000020004285073
2,44.71937146225041,11.78999812410433,6.081514779943973,158.5227208504972,0.0002009799999999999,0.10113434111155865,0.1013913794025341,0.9995958542846178,0.10113438853124296,0.10139137289184803,0.9995958720300252,0.10113446004477689,0.10139136593091576,0.9995958880189789,0.101134581849434,0.10139135316020309,0.9995959013800043,0.1011348641969868,0.10113414431811941,0.99959591030412,0.1013912393283457,0.10113413527011486,0.9995959020069749,0.10139121188906072,0.1013912851069253,1.0004038670360194,0.10139115289337267,0.10139125005120697,1.0004037231437588
3,45.16521240522131,11.513927703550717,0.7503674109466374,152.52440491678823,0.0004009599999999988,0.10088011727906522,0.10164721863172406,0.9987932224188091,0.10088040376298275,0.10164718691869254,0.9987933255571197,0.10088084004708948,0.10164716109756881,0.9987934153198668,0.10088160089247665,0.10164715052444831,0.9987934872524433,0.10088361336305235,0.10087910529233352,0.9987935945515616,0.10164675860455762,0.10087886478286398,0.9987932953612119,0.10164674810284163,0.10164691744827516,1.0012065651147837,0.10164665757636007,0.10164690091778382,1.001206437861711
4,44.312030353681024,11.09904358036438,0.7507024230435491,163.69273931889393,0.0006009399999999995,0.10049923036261253,0.10203096345320492,0.9975920394704677,0.10049970088875622,0.10203094821436828,0.9975921658949225,0.10050043365088372,0.10203097702529827,0.9975922795987695,0.10050174206974814,0.10203123577572774,0.9975923710911816,0.1005055812316646,0.10049848867313596,0.9975929037419091,0.10203028341355887,0.10049683837978513,0.9975909245081264,0.10203028782890677,0.10203067638406678,1.0024102403458297,0.10203001823122809,0.10203058039175238,1.0024096950162862
5,44.501493154481494,10.545493562428014,0.751873980043456,154.55514938048987,0.0008009199999999984,0.09999322754904956,0.10254382143761812,0.9959917074583138,0.09999407398626635,0.10254385163617137,0.9959919116742754,0.09999539549715898,0.10254403749283028,0.9959920931098141,0.09999775571840572,0.1025450573517787,0.995992231662191,0.10000580419926154,0.09999362707077719,0.9959940887197146,0.10254224793735929,0.09998755969690888,0.9959869281992823,0.1025424831451686,0.10254301779278815,1.004015519030378,0.1025420241601488,0.1025428450077062,1.004014561843218
6,44.59421326514669,9.853081870634817,0.7501967658754438,157.50809820073596,0.001000899999999999,0.09936308227833722,0.10318672061598907,0.9939939249086699,0.09936446468094398,0.10318690320260054,0.9939942123823807,0.09936663044542803,0.10318751524011828,0.9939944699693086,0.09937050094179838,0.1031904135288535,0.9939946570954464,0.09938621614395232,0.09936824823192646,0.9939997440396542,0.10318391780920831,0.09935124518794294,0.9939803376410393,0.10318467041727515,0.10318527285423927,1.0060248755219456,0.10318380354714828,0.10318481296803894,1.0060227440290437
7,43.26764335566827,9.020933828226191,0.7503879619762301,172.91010880535896,0.0012008799999999997,0.09860812423799079,0.10395946421395592,0.9916053779506191,0.09860956024727616,0.10396017651089663,0.9916052482810346,0.09861194813789259,0.10396188588266447,0.9916051616821818,0.09861644682706304,0.10396890566339967,0.9916050536394018,0.0986400760439243,0.09862947040510135,0.9916167970913591,0.10395620572754886,0.09858882442430451,0.9915722023292555,0.10395796755355614,0.1039583552245258,1.0084397380862626,0.10395638396406807,0.10395725739145764,1.008435268048606
8,43.1826397767274,8.055223940449059,0.7528800799045712,147.4055132112668,0.0014008600000000003,0.09773399920501792,0.10486597983460286,0.988820243550132,0.09773626102229606,0.1048674488392605,0.9888198494654099,0.09774006709859107,0.1048708900281153,0.9888195386044618,0.09774727897133972,0.10488458624538488,0.9888191958563357,0.09779253223371163,0.09778060845217118,0.9888431730122702,0.10485748268748711,0.09769754615910207,0.9887543878873627,0.10486137267470275,0.10486071480925628,1.0112549581129573,0.10485869514528563,0.10485832272626684,1.011246431254589
9,41.89044849429405,6.960176624871685,0.7518763840198517,168.28175738502506,0.0016008399999999992,0.09673858255824169,0.10590554660942025,0.9856501010736239,0.0967411469754882,0.1059084830562134,0.98564881413654,0.09674572157666218,0.1059150461414996,0.9856478065786188,0.09675473615973697,0.10594005852405759,0.9856468873182643,0.09682644264127999,0.0968375371404858,0.9856918967133456,0.10589080380154546,0.09667982332575081,0.985530124693242,0.10589716286701481,0.1058953882352993,1.014475887351719,0.1058908717877175,0.10588891128530906,1.0144540051928101
