iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6
0,44.52020214090826,12.938552843558083,54.422845747787505,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,43.22114616216102,12.937970065702752,82.26504801004194,261654.32596166822,9.999999999999972e-07,0.10126208575549514,0.10126335862805924,0.9999979999815182,0.10126208575552184,0.10126335862806397,0.9999979999814922,0.1012620857554929,0.10126208575770847,0.9999979999810816,0.1012620857555015,0.10126335862795258,0.9999979999810232,0.10126208575551018,0.10126208575586082,0.9999979999808392,0.10126208575563359,0.10126208575551848,0.9999979999820728,0.10126335862801984,0.10126335862797572,1.0000019999811216
2,43.39689150268249,12.878780567671576,84.11752987909131,271603.6249607265,0.0001,0.10119842572364703,0.1013269881306133,0.9997979961455672,0.10119836576146826,0.1013269940223265,0.9997978965925505,0.101198479147204,0.10121113617729548,0.9997981655510215,0.1011984757870058,0.10132709622743803,0.9997982208161924,0.10119843505225086,0.10119982872042568,0.9997981262843908,0.10119850457611632,0.10119846886016588,0.9997984510699105,0.10132709279195742,0.1013269941034412,1.0002022665831676
3,43.79367522102099,12.81929237705148,13.630693577928469,264207.7022729346,9.701478472890248e-05,0.10113666882487236,0.1013887917154125,0.9996036407061283,0.10113660503706817,0.10138876306892201,0.9996037774652433,0.10113683094714966,0.10118997601274071,0.9996049970856553,0.10113678239527596,0.10138905423351259,0.9996047931169159,0.10113660847725221,0.10114031389780827,0.9996040240760001,0.10113669758090839,0.10113685940178027,0.9996046257004892,0.10138877459748359,0.1013886874943763,1.000396218937235
4,42.01245639412343,12.763393831368845,13.052005844889209,260286.808197043,8.84191999343894e-05,0.10108054445682212,0.1014451394761852,0.9994283552418409,0.10108030967757474,0.10144513002098608,0.9994273727118642,0.10108059700256634,0.10119359101657735,0.9994281663055737,0.10108065634248503,0.10144531921945023,0.9994281203918023,0.10108040999636678,0.10108529180983679,0.9994273057212482,0.10108085480798513,0.10108050437186539,0.9994290740808969,0.10144527114324921,0.10144464782212309,1.00057243552791
5,43.006331606307604,12.71715662719885,10.47116763703525,267556.280686968,7.525e-05,0.10103279222824908,0.10149302081310187,0.999279482165625,0.1010323185370603,0.10149309306698738,0.9992773933360383,0.10103273193211793,0.10117872717874041,0.9992774462474495,0.10103289299695105,0.10149340039050431,0.9992777088797135,0.10103260568181845,0.10104087255986666,0.9992772158250222,0.10103304491221292,0.1010325477586952,0.9992795370106411,0.10149353372625373,0.10149231255450844,1.0007226146974966
6,40.65577702833594,12.681411656552815,10.02180492412299,240410.76398298287,5.909558479451306e-05,0.10099525645259622,0.10153060189743524,0.9991623133668895,0.10099451550691199,0.1015307667076743,0.9991594794424367,0.10099526644871629,0.10116072623959807,0.9991605311280438,0.10099536137562566,0.10153142633794691,0.9991601139661234,0.10099487859865594,0.10101286987977467,0.9991591202434518,0.10099522834421172,0.10099510148816586,0.9991614589246679,0.10153165036179564,0.10152982236677863,1.0008415009153975
7,43.675455331818675,12.656345757876089,10.732944034039974,265082.3945050946,4.190441520548695e-05,0.10096861435740742,0.10155724920134954,0.9990789129653935,0.10096777838581546,0.10155746169326563,0.9990758503677677,0.10096869281247862,0.10114396446047719,0.9990776228189148,0.10096872377401461,0.10155840664714177,0.9990767507670281,0.100968117055862,0.10099245162495019,0.9990753511520069,0.10096830057563512,0.10096862543918653,0.9990775049964067,0.10155845364013869,0.10155648241230646,1.0009254719165717
8,44.84141550818175,12.64058749553828,12.53719626297243,275824.390979126,2.5750000000000013e-05,0.10095225168801066,0.10157365900050114,0.9990277148361597,0.1009514095208902,0.1015738717413889,0.9990244612683988,0.10095235268657832,0.10113829092276364,0.9990264700351863,0.10095237477236939,0.10157493320738634,0.9990254495263762,0.10095169795715651,0.10097886320884909,0.999023800059669,0.10095201827906122,0.10095234421834827,0.9990261419892799,0.10157492498621057,0.10157286331536894,1.0009770656785646
9,42.69258314019567,12.633011523131268,10.739856048952788,257043.66164240366,1.2580800065610596e-05,0.100944256335154,0.10158166053937066,0.9990026624990125,0.1009434046232364,0.10158188902090118,0.9989993518776891,0.10094436759763306,0.10113387769869539,0.9990014647213183,0.10094438200297971,0.10158302678597635,0.9990004008221791,0.10094367289944439,0.1009724320266449,0.9989986449400617,0.10094399449027468,0.10094438785875388,0.9990009412045932,0.10158296476082232,0.10158087684799993,1.0010023079389223
10,44.8135364006429,12.630614158513351,13.353520525153726,270347.6111988785,3.985215271097538e-06,0.10094172548374258,0.10158419837810306,0.9989947126738815,0.10094087825318328,0.10158443033476663,0.9989914019222007,0.10094183671902839,0.10113243123923374,0.998993530074308,0.10094185066791822,0.10158557537352418,0.9989924509064553,0.10094113460050674,0.10097027280746618,0.9989906736488752,0.10094147664287952,0.10094186177824928,0.9989929758057928,0.10158550738476317,0.10158341254515992,1.001010288376552
