iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10
0,2.2104076979103766,0.002154720529574749,0.24566575000062585,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134
1,2.2104076979103766,0.00215473120000553,0.3852458749897778,13.898952218070656,9.999999999999972e-07,1.2500022360696765,1.2499977639323758,1.2499977639322943,1.2499977639322726,1.2499977639322717,1.2499977639322717,1.250002236069454,1.2500022360697292,1.2499977639323774,1.2500022360697054,1.2500022360697027,1.0000002478531594e-06,0.2817525251250498,0.43404178278000344,0.5310628054041481,0.5987775940557035,0.6489223261220646,0.6876448540102252,0.7184988534588526,0.7436900466050538,0.7646637176169888,0.7824092432280134
2,2.2104046105331325,0.002154763032208442,0.3443263749941252,13.889012287791738,2.980000000000002e-06,1.2500089012805928,1.2499911014673386,1.2499911001585655,1.2499911002936621,1.249991099837858,1.2499911012656553,1.250008876237313,1.2500088991500775,1.2499910923547195,1.250008897546054,1.2500088999154797,3.906659035908572e-06,0.2817495456127927,0.43403880301023273,0.5310598253599107,0.5987746138769072,0.6489193462091504,0.6876418739615854,0.718495871698533,0.7436870658782644,0.764660737246726,0.7824092432280134
3,2.2103954840987377,0.0021548159655017064,0.014090500015299767,13.902105894659794,4.960000000000007e-06,1.250019990649488,1.249980009889153,1.2499800099875866,1.2499800093352762,1.2499800093960383,1.2499800100929763,1.2500199575665842,1.2500199900639275,1.2499800363972684,1.2500199891122905,1.2500199906901532,8.808017721018932e-06,0.28174458558376814,0.43403384353621516,0.5310548653259995,0.5987696540024824,0.6489143862054163,0.6876369139884518,0.7184909120261825,0.7436821061528794,0.7646557774880792,0.7824092432280134
4,2.210380603566989,0.002154890044955236,0.013829124975018203,13.891252011294837,6.939999999999998e-06,1.2500355074162481,1.2499644945594819,1.2499644932100233,1.2499644904874445,1.2499644922970332,1.249964491016615,1.2500354310176511,1.2500355080906653,1.2499645456929183,1.2500355059999542,1.2500355094979094,1.571778649514508e-05,0.28173764760793996,0.43402690557900014,0.5310479252033872,0.5987627144078903,0.6489074462144526,0.6876299738284563,0.7184839687589916,0.7436751659953308,0.7646488375870647,0.7824092432280134
5,2.210361198205196,0.0021549852117454726,0.013946833030786365,13.898427979199042,8.919999999999989e-06,1.2500554424405401,1.2499445446967663,1.249944552822554,1.24994454541021,1.2499445498003228,1.2499445412273682,1.2500553579673748,1.2500554539309179,1.2499447031722961,1.2500554560409598,1.2500554550353582,2.4636826891496663e-05,0.2817287278327784,0.4340179897716465,0.5310390058494694,0.5987537956122718,0.64889852592732,0.6876210537313797,0.7184750459044817,0.7436662475391947,0.7646399191042695,0.7824092432280134
6,2.21033972814886,0.002155101519139497,0.01406800001859665,13.891891781326398,1.0899999999999994e-05,1.2500797960558532,1.2499201590918243,1.249920188003034,1.249920174657436,1.2499201810069895,1.2499201605517685,1.2500796843253679,1.2500798267040494,1.2499204688355303,1.2500798347932662,1.2500798288777666,3.55665958281131e-05,0.2817178268714236,0.43400709653283903,0.5310281077471827,0.5987428976361513,0.6488876253926628,0.6876101533946923,0.718464136198307,0.7436553494721018,0.7646290216296663,0.7824092432280134
7,2.2103388259220376,0.002155238956863899,0.013710834027733654,13.887707706972849,1.2879999999999999e-05,1.2501085640170475,1.2498913331464798,1.249891401069442,1.2498913792037734,1.2498913875311102,1.24989134670202,1.2501084180705262,1.2501086268684418,1.2498918782211732,1.250108642698742,1.250108631986375,4.8505371810492704e-05,0.28170494384588946,0.4339942275590198,0.5310152315327707,0.5987300211323069,0.648874744400372,0.6875972727233414,0.7184512387215203,0.7436424724623929,0.7646161455973989,0.7824092432280134
8,2.2103585983004255,0.0021553975619058433,0.013858958031050861,13.886690751474985,1.4860000000000003e-05,1.2501417446123904,1.2498580692319845,1.249858192973241,1.2498581606783015,1.2498581682685277,1.2498580986610923,1.250141522338961,1.2501418535638416,1.2498589151916986,1.2501418747817277,1.2501418663997088,6.345158061895847e-05,0.28169008031036424,0.43397938453379786,0.5310003783672467,0.5987151661750527,0.6488598829051424,0.6875824115035212,0.7184363462833545,0.7436276158918385,0.7646012909526525,0.7824092432280134
9,2.2103777703072147,0.002155577428648275,0.013884875050280243,13.880488599906904,1.6840000000000008e-05,1.250179340484912,1.2498203656272766,1.2498205648350178,1.2498205214898739,1.249820521034995,1.2498204159192792,1.2501788845516417,1.2501795054684366,1.2498215218113162,1.2501795204688475,1.2501795357910646,8.040638011848304e-05,0.2816732375091289,0.43396257051567655,0.5309835501293442,0.5986983328667168,0.6488430409380022,0.6875655690680184,0.7184194458718692,0.7436107775382441,0.7645844566089104,0.7824092432280134
