iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3
0,40673.98340546053,39.83755744419155,8.618447504006326,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,40673.98340546053,39.83755744485563,17.87135501182638,0.0,1.0000000000000006e-06,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998
2,40673.98325256865,39.83755744871183,18.019346077926457,0.0,5.500000000000001e-06,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987
3,40673.98340534623,39.836889408953496,0.5547385239042342,125155.48659273877,1e-05,0.10126678783806783,0.1012667878395159,1.000012775978323,0.10125865656017759,0.10125865656026678,0.9999872234439778,0.10125865656019412,0.10126678783904498,0.999987223456045,0.1012667878402302,0.10126678783983221,1.0000127759685657
4,40673.99658194094,39.83607806087923,0.20194094604812562,124995.76896754101,9.931634888554937e-06,0.10127172547208332,0.1012717256805821,1.0000282894365067,0.10125372054361614,0.10125372026737083,0.9999717096699435,0.10125372073291394,0.10127172471166566,0.9999717069126034,0.10127172427841867,0.10127172480252737,1.000028290469876
5,40674.01247756528,39.83520787673535,0.20234746299684048,124811.73193413399,9.728616793536588e-06,0.10127699562058912,0.101277015969858,1.0000449027906193,0.10124843451834722,0.10124843174228022,0.999955095438228,0.10124843459492373,0.10127701437617681,0.9999550945446345,0.10127701212685918,0.10127701330858471,1.0000448697989004
6,40674.029256518115,39.83432404001526,0.20388111798092723,124993.88555024499,9.397114317029975e-06,0.1012823612740052,0.10128239194752135,1.0000617882837959,0.10124306251942285,0.10124305788579098,0.9999382103703253,0.10124306251566845,0.10128238988046072,0.9999382098395398,0.10128238684213951,0.10128238749503578,1.0000617388734778
7,40674.04649571795,39.83345506614719,0.20281551801599562,124951.50285116986,8.947199994035402e-06,0.10128764699858811,0.10128767989063661,1.0000784014777453,0.10123777769990988,0.10123777268828764,0.9999215989169057,0.10123777777191123,0.10128767692455164,0.9999215975106455,0.10128767446816771,0.10128767355979089,1.000078350989303
8,40674.06374826625,39.83262018746407,0.20176763297058642,124517.24513522736,8.392544243589428e-06,0.10129270201954135,0.10129275528378816,1.0000943395539905,0.10123270771275861,0.10123269970619439,0.9999056619276273,0.10123270809744701,0.10129275135570753,0.9999056743215894,0.10129274766805199,0.10129274599670289,1.0000942145561544
9,40674.08005293673,39.831837255495955,0.20234178192913532,125011.33989085614,7.75e-06,0.10129746119942987,0.10129751952196765,1.000109303936052,0.10122794759509687,0.10122793908775926,0.9998906989043432,0.10122794873698727,0.10129751406535262,0.9998907225889689,0.10129750914641689,0.10129750672280799,1.000109132224556
10,40674.09568526,39.83111728499151,0.20792104001156986,124800.88626584194,7.0390906449655104e-06,0.1013018355269287,0.10130190022943021,1.0001230639499694,0.10122357091508212,0.1012235614183673,0.9998769409230194,0.10122357272442055,0.10130189403873864,0.9998769777496557,0.10130188776545498,0.10130188416722091,1.000122847616253
11,40674.11012971092,39.830467653515214,0.19878731691278517,124377.5925330276,6.281416799501188e-06,0.10130576130536716,0.10130584827284703,1.0001354573841619,0.10121962880867638,0.1012196160851168,0.9998645496099209,0.10121963088071344,0.10130584155666025,0.9998646075670138,0.1013058324712799,0.10130582784958779,1.0001351462566521
12,40674.12290830526,39.829894835796175,0.2045227198395878,124776.28699256787,5.500000000000001e-06,0.10130922493506765,0.10130933034191365,1.000146391212856,0.10121615103654523,0.1012161362363068,0.9998536179131362,0.10121615357939485,0.10130932355504349,0.9998536950684586,0.10130931201621604,0.10130930661081168,1.000146011685553
