i,K,obj_val,grad_sq_norm,opt_dist_sq_norm
0.0,1.0,9.805938443007435,6.21652005335602,156.0161243378592
0.0,2.0,4.933611564274892,2.2072584644729996,123.0088906191855
0.0,3.0,3.088273115987166,1.052656181260962,105.48170282655896
0.0,4.0,2.1724227201036825,0.5959698616187932,94.18126654387122
0.0,5.0,1.6403194342354335,0.3760225134150607,86.0875455250753
0.0,6.0,1.2985375389409908,0.2554588206362502,79.90229030154862
0.0,7.0,1.0632914568952299,0.18309840388675958,74.96359896642092
0.0,8.0,0.893002147547063,0.13665012047832265,70.89353154272676
0.0,9.0,0.7649220489698215,0.10525625520909816,67.4581730730168
0.0,10.0,0.6656488872825724,0.08315880347070825,64.50374113234663
0.0,11.0,0.5868118787877031,0.06708950137139164,61.92430438668705
0.0,12.0,0.5229323405435249,0.05508691399579869,59.64414637290764
0.0,13.0,0.4702857309779471,0.04591829016759599,57.60750392472933
0.0,14.0,0.4262598179835602,0.03877858864923399,55.772279290985146
0.0,15.0,0.3889742046432998,0.03312502239161121,54.10601860770014
0.0,16.0,0.35704504873280685,0.02858167372553007,52.58324681151855
0.0,17.0,0.32943426589292524,0.024882182067172683,51.18364829031285
0.0,18.0,0.30534990908057996,0.02183405348271724,49.89079340880832
0.0,19.0,0.2841786429116928,0.01929574134385193,48.691227825968724
0.0,20.0,0.2654389543888603,0.017161535441744362,47.57380899566579
0.0,21.0,0.24874810746277834,0.015351371293174473,46.52921471355209
0.0,22.0,0.2337984088551041,0.013803821689350262,45.54957365499417
0.0,23.0,0.22033990326978797,0.01247119343161255,44.6281838412631
0.0,24.0,0.20816758281303657,0.011316044295313483,43.75929542161556
0.0,25.0,0.19711181340988942,0.010308674682787579,42.93794113465872
0.0,26.0,0.1870310848008402,0.009425298403007017,42.15980255570195
0.0,27.0,0.17780645964439618,0.008646693102920749,41.4211035149016
0.0,28.0,0.16933727940247686,0.007957193666083976,40.71852436942692
0.0,29.0,0.16153780989276612,0.0073439336447515295,40.04913244548312
0.0,30.0,0.15433459660186835,0.006796267980429112,39.410325139556804
