K,mean,worst,cvar_0.01,cvar_0.05,cvar_0.1
1,11.712367341036943,15.135363580680533,15.135363580680533,14.599742239629496,14.136512392683892
2,6.152276891322466,7.858127071846679,7.858127071846679,7.6140170018881985,7.429324713307072
3,3.925632656712687,5.15330739119551,5.15330739119551,4.815927331044817,4.699642892111458
4,2.7795715372645167,3.7526998332407717,3.7526998332407717,3.409319728752853,3.321773916426006
5,2.1000744377585807,2.880709422137869,2.880709422137869,2.579747387994683,2.512906766158211
6,1.6587178284655468,2.291209403395682,2.291209403395682,2.049218779602106,1.9822387090047289
7,1.353143819527116,1.8696314128524525,1.8696314128524525,1.6782986067856545,1.620503875788399
8,1.1313325369281735,1.5556926254398895,1.5556926254398895,1.4053814446984085,1.3615366764534298
9,0.9643333349549756,1.3147501056706619,1.3147501056706619,1.200514640519146,1.165073501426971
10,0.8348896949965452,1.1254756396474648,1.1254756396474648,1.0415204016463286,1.0112851829728895
11,0.7321465808641466,0.9739986620354489,0.9739986620354489,0.9146468786463006,0.8891418282569628
12,0.648972038668801,0.8508975351116049,0.8508975351116049,0.8123214302612313,0.7910746434052214
13,0.5805085189636603,0.7495476340358509,0.7495476340358509,0.7273823833540609,0.7099538481060753
14,0.523345768693959,0.6725701580592999,0.6725701580592999,0.656267913798591,0.6416929917511477
15,0.4750268571326158,0.6162139214077722,0.6162139214077722,0.5971853662635015,0.5835802287966542
16,0.43374167578331735,0.5673572433263859,0.5673572433263859,0.5462512182065687,0.5341193427441954
17,0.3981304039163006,0.5246449180890366,0.5246449180890366,0.5029221936729218,0.4914418908174076
18,0.3671538235118497,0.4870292604766708,0.4870292604766708,0.46587756291719085,0.4540695455635072
19,0.34000556215728994,0.45368722627388297,0.45368722627388297,0.4343119035177575,0.42113628622115423
20,0.31605136812488627,0.4239629468729774,0.4239629468729774,0.4061342997529508,0.3927167911080893
21,0.29478624640275486,0.3973270815834659,0.3973270815834659,0.3808349625080389,0.3672984015984391
22,0.275803657701387,0.37334753197235326,0.37334753197235326,0.3580020956595745,0.34481183995368847
23,0.25877302692136345,0.3516679807921551,0.3516679807921551,0.33757106863821457,0.3246529747831429
24,0.24342307847266892,0.3319919164250701,0.3319919164250701,0.3194086943839306,0.30635562540195305
25,0.22952932420492583,0.3140705677131406,0.3140705677131406,0.30280824123336425,0.2899004363253924
26,0.21690455471853082,0.2977851981578585,0.2977851981578585,0.28757995191233177,0.27491486572692686
27,0.20539153236254595,0.2828569083666962,0.2828569083666962,0.27356391802204527,0.26118814770243576
28,0.1948573183284985,0.2690091149632306,0.2690091149632306,0.26062439847751717,0.24854964334328217
29,0.18518882649023358,0.25616487505246616,0.25616487505246616,0.2486453865837439,0.2368799738639514
30,0.1762893079533333,0.24550165671239052,0.24550165671239052,0.23752711853172728,0.2260766005804033
31,0.16807554866341326,0.2358568397917394,0.2358568397917394,0.2271832989850416,0.2162008154198137
32,0.16047561832169052,0.22681939130505704,0.22681939130505704,0.21753887815513678,0.20701784842077292
33,0.15342704918883474,0.21833242078964,0.21833242078964,0.2085282568529518,0.19845422127968443
34,0.14687535277794472,0.21034630172665042,0.21034630172665042,0.20009382649858773,0.19045217224356742
35,0.14077280411654575,0.20281752523219976,0.20281752523219976,0.19218477339231568,0.18296086789843044
36,0.13507743938517786,0.19570776260328937,0.19570776260328937,0.18475609304912838,0.17593539030355837
37,0.12975222484553345,0.18898309429539556,0.18898309429539556,0.17792934390275278,0.16933589700460905
38,0.12476436413390911,0.18261337236041433,0.18261337236041433,0.17156289473937064,0.1631269205639327
39,0.12008471798628277,0.17657169053662405,0.17657169053662405,0.16555548430856298,0.1572883791048582
40,0.11568731583454596,0.170833941654105,0.170833941654105,0.1598792582993394,0.1518562542634862
41,0.11154894287275473,0.16537844623056594,0.16537844623056594,0.15450915246212454,0.14673993285878273
42,0.10764878943355714,0.16018563939701386,0.16018563939701386,0.14942254841963393,0.1419326325524732
43,0.10396815205692633,0.15523780584002758,0.15523780584002758,0.14459897967112217,0.13737651880844254
44,0.10049017763893169,0.15051885444751997,0.15051885444751997,0.14001987942659294,0.1330534461270634
45,0.09719964363980817,0.14601412592452687,0.14601412592452687,0.13566836346001612,0.12894695348971816
46,0.09408276860046497,0.1417102279000723,0.1417102279000723,0.13152904240755342,0.12504207335457637
47,0.09112704823512173,0.13759489304750472,0.13759489304750472,0.12758785892757285,0.12132516611606348
48,0.08832111318880884,0.13365685654394263,0.13365685654394263,0.12383194593692252,0.1177837761520099
49,0.08565460521348153,0.1298857498416697,0.1298857498416697,0.12039323281880517,0.1144065062412392
50,0.08311806905759565,0.1262720082481107,0.1262720082481107,0.11713268840912854,0.1111829076701791
