iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3
0,69.56976726477123,39.83755744419155,38.10431580198929,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,67.61104374447473,39.8373469629311,25.89595669717528,240153.93263271882,9.999999999999972e-07,0.10126208575549171,0.1012633586278792,1.0000019999811687,0.10126335862806199,0.10126335862805125,0.999997999983281,0.10126208575555215,0.10126335862806626,0.9999979999813552,0.10126208575549549,0.10126335862787468,0.9999979999805001
2,69.35775817158228,39.816398636761164,25.64895082078874,245053.65290038387,0.0001,0.1011984212513889,0.10132631071309231,1.0002016246349748,0.1013269263703605,0.10132704119352569,0.9998000374884923,0.10119862167189865,0.10132702746406035,0.9997982031684558,0.1011985118910948,0.10132704196554977,0.9997980117720091
3,72.32062187614267,39.79612478265043,2.3240619860589504,235557.67924039203,9.701478472890248e-05,0.10113680348853138,0.1013865714238611,1.0003959664592161,0.10138869431637729,0.10138897497785503,0.9996079297513971,0.1011386094316668,0.10138882477357342,0.9996043915005697,0.10113674755946041,0.10138899369964349,0.9996058368893399
4,70.6244056262939,39.7781153849915,2.4272001148201525,262977.90256247984,8.84191999343894e-05,0.10108064655881943,0.10143945599169414,1.0005727925305237,0.10144476125796034,0.10144523359552454,0.9994342213173737,0.10108316631123367,0.10144495424412428,0.9994279800256817,0.10108027724692156,0.10144495509140385,0.9994298105588489
5,72.42023449534724,39.76280633363521,2.4403529048431665,267929.52814875514,7.525e-05,0.10103285454789544,0.10148480720760869,1.000721896062881,0.1014927233657351,0.10149313554001634,0.9993072688853617,0.10103567214937717,0.10149267325656225,0.9992777985207398,0.10103232303785882,0.10149274444373593,0.9992795107903227
6,75.3367425030527,39.75057446435334,2.39670299901627,261376.39122044668,5.909558479451306e-05,0.10099533098732195,0.1015211844474317,1.0008393833349294,0.10153044922500258,0.10153085711370635,0.9992024673981407,0.10099869862387512,0.10153022533666153,0.9991599501362188,0.1009947548262482,0.10153031107034562,0.9991622257824555
7,69.70902638094537,39.74200579060772,2.334687601076439,245211.1797901598,4.190441520548695e-05,0.10096875096589093,0.10154658396323134,1.0009228392607277,0.10155734801021235,0.1015575621431052,0.9991383029125588,0.10097249264204165,0.10155687164947966,0.9990764085292764,0.10096819156725138,0.10155717297220834,0.9990786362096014
8,71.16169660722812,39.73676317318839,2.4543362939730287,259189.46871235725,2.5750000000000013e-05,0.10095240611146812,0.10156213138242297,1.0009740654387362,0.10157388420536126,0.10157394972562384,0.999100210914557,0.1009562791147179,0.10157324421461315,0.9990251396972363,0.10095188129723089,0.10157366536272786,0.9990271829463637
9,68.71270460195016,39.73418545176408,2.393993664998561,244374.60900973197,1.2580800065610596e-05,0.10094441184517514,0.1015697762181669,1.0009990725763007,0.10158192132758684,0.10158194954160231,0.9990798575193814,0.10094835557201597,0.10158125176555136,0.9990000550221848,0.10094390484529923,0.10158171753717386,0.9990021118850678
10,72.86530134446889,39.73335326059603,2.3850088459439576,243885.92855624243,3.985215271097538e-06,0.10094188053258009,0.10157225372370267,1.001007016935946,0.10158446160264394,0.10158448989794043,0.9990729572082689,0.10094589289945993,0.1015837921406957,0.998992106745419,0.10094137616519186,0.10158428519184909,0.9989942381406498
