iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0.032651179567922156,0.011571513203297754,3.5760895013809204,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263
1,0.0335040402322955,0.01157147853883076,5.740165243390948,0.033662677800718806,9.999999999999159e-07,1.2426516371457688,1.2426516371451113,1.2426516371444003,1.2426516371435652,1.242651637142536,1.2426516371412153,1.242651637140007,1.24265163714145,1.2426516371445693,1.2426516371431375,1.2426516371421639
2,0.032577420697308526,0.011570755895488552,5.362139977980405,0.03213731467283084,2.097999999999987e-05,1.2426984029596795,1.2426983913121634,1.242698377341219,1.2426983675630523,1.2426983631955808,1.242698359600272,1.242698176757857,1.2426968433626535,1.2426974688970949,1.242698147175717,1.2426983025874645
3,0.03360131489051741,0.011569340636387917,2.5822640326805413,0.033586818626305345,4.095999999999993e-05,1.2427897418801046,1.2427897205996763,1.2427896855688065,1.2427896646473477,1.242789655563657,1.242789650627375,1.2427890867774154,1.2427864270547435,1.242787856532551,1.2427894049860604,1.2427896669971383
4,0.03456040156776359,0.011567231063915566,2.5878181839361787,0.03374926188565411,6.0939999999999996e-05,1.2429256307746566,1.24292568548731,1.24292566952151,1.242925657622165,1.2429256609676902,1.2429256671858504,1.2429247699667814,1.2429207828084843,1.2429232559347874,1.2429251282898603,1.2429256632042167
5,0.033422697303495466,0.011564445732161747,2.217751542571932,0.03236208900515745,8.091999999999984e-05,1.243106135976907,1.2431061713773872,1.2431061744474654,1.2431061786189894,1.2431062115804714,1.2431062460762332,1.243104746452153,1.2430936649314532,1.2430982829593409,1.2431047488642941,1.2431065583880179
6,0.0327441198894203,0.011560972482976625,2.488895762246102,0.03302397616809187,0.0001008999999999999,1.2433312321278835,1.2433312806390555,1.2433312944041626,1.2433312903503975,1.2433313273470212,1.2433313568528492,1.2433289387111122,1.2433100667197698,1.2433177472464636,1.243328541548787,1.2433314932539299
7,0.03343009903711085,0.01155681076140161,2.125552872661501,0.03349417817122832,0.00012087999999999997,1.2436011933408035,1.2436011399907219,1.243601148228291,1.2436011331037693,1.2436011690732203,1.2436011825514666,1.2435975697068191,1.243568862912012,1.2435815175147105,1.2435969464997856,1.2436010529797108
8,0.03294483779904582,0.011551975659375284,2.593089033383876,0.032320719242646505,0.00014085999999999992,1.2439156281752324,1.2439154412342224,1.2439154674879989,1.243915468587947,1.2439155255683874,1.2439155592521551,1.2439104955495357,1.2438663141417448,1.2438851708230891,1.2439088994683438,1.2439160502370736
9,0.02896091775793245,0.011546475640627026,2.412292707711458,0.031246973788180983,0.00016083999999999998,1.2442737398546917,1.2442731760595767,1.244272896445654,1.244272613625113,1.2442724173650412,1.2442722199190401,1.24426517580737,1.2442059077948864,1.244233941417626,1.244264587472512,1.2442742967183444
