K,mean,worst,cvar_0.01,cvar_0.05,cvar_0.1
1,0.01767935591884424,0.02527533810216578,0.025237879829356977,0.024209476149141516,0.023052700327670938
2,0.005970974689398736,0.008837284015854409,0.008504495719537937,0.007942759468923519,0.007619560229749611
3,0.002482011973800353,0.00420071965815853,0.003874870951077019,0.003510546020100426,0.0033532282639113175
4,0.0010705525005907733,0.0021090105741744295,0.0019022189573845755,0.001662815293779497,0.0015674478916751025
5,0.0004875285943161436,0.0011057178777214647,0.0009918424546356034,0.0008431184788482042,0.0007943891011381176
6,0.0002356416042575424,0.0005987721073107944,0.0005486102415094675,0.00047024146000029625,0.0004320990315927413
7,0.00012304131077316139,0.00033391119222037357,0.00032274517394696007,0.00028677976980743717,0.0002557043112478136
8,6.992916864151707e-05,0.00022133039169414727,0.00020855740540222492,0.00018437073314221382,0.0001619921811880862
9,4.288948790245868e-05,0.00015389329910412826,0.00014368456786682327,0.00012350588775683868,0.00010652562682713997
10,2.771641397534494e-05,0.00010268470037048678,9.926839939401756e-05,8.419197023931606e-05,7.097432784656737e-05
11,1.840319882109627e-05,6.905676104175653e-05,6.902046302109389e-05,5.762767196063629e-05,4.711223001736232e-05
12,1.2349100388333986e-05,4.959215431860063e-05,4.936063444694393e-05,3.898811438981693e-05,3.130099745200049e-05
13,8.350765461183802e-06,3.6259437319739666e-05,3.5581153483123363e-05,2.65791664490292e-05,2.0905957440797377e-05
14,5.754163657666378e-06,2.7014269772455283e-05,2.5590735734119313e-05,1.8335260824864595e-05,1.4285798886613924e-05
15,4.127006305572649e-06,2.0119102029429845e-05,1.8397485528472902e-05,1.322772592716348e-05,1.0390869727010567e-05
16,3.1434328139981667e-06,1.5056420400471392e-05,1.3435859735521941e-05,9.539618743377451e-06,7.698555994981082e-06
17,2.5542989743147843e-06,1.1477468265609865e-05,1.014824254253119e-05,7.138060043973551e-06,5.815517860902299e-06
18,2.181177953815223e-06,9.05951935339225e-06,8.006189359236374e-06,5.739725901469114e-06,4.711703898986602e-06
19,1.9102961762253563e-06,7.47273401833517e-06,6.605008530729809e-06,4.79437277804111e-06,4.126119893108237e-06
20,1.6797093432893707e-06,6.408629664288766e-06,5.6354057033626295e-06,4.326810003090545e-06,3.779951504308871e-06
21,1.462672316808188e-06,5.620359773259106e-06,4.923560142691357e-06,4.022147560751941e-06,3.553025057689843e-06
22,1.2521288441781057e-06,4.944888696000086e-06,4.6788996716177195e-06,3.6906073461602756e-06,3.265420251846417e-06
23,1.0496775617854226e-06,4.35107129025294e-06,4.3256749913773375e-06,3.329574840421825e-06,2.88179292051052e-06
24,8.595484932753355e-07,4.031357656882175e-06,3.848499161676922e-06,2.8878866747604154e-06,2.470333876723154e-06
25,6.862125187443758e-07,3.5143045223983724e-06,3.2847126995488236e-06,2.4151437810074194e-06,2.0496521871942826e-06
26,5.337181254626328e-07,2.8734091908691163e-06,2.6840796210776915e-06,1.9516901091521956e-06,1.6367710342821733e-06
27,4.0537492015677726e-07,2.18753242622325e-06,2.0970934746422683e-06,1.513218860180766e-06,1.2574096726434045e-06
28,3.0324827448730097e-07,1.601513895119327e-06,1.5665348517176267e-06,1.1243902863822117e-06,9.262453608220759e-07
29,2.275707036015936e-07,1.2778518792092958e-06,1.1222591451678002e-06,7.945078938275399e-07,6.636465684711018e-07
30,1.764047685655253e-07,1.0256019196075272e-06,8.420268082898678e-07,5.729297793547827e-07,4.898532493592829e-07
