i,K,obj_val
0.0,1.0,0.014595968608316499
0.0,2.0,0.0039377253966277545
0.0,3.0,0.001337996554838309
0.0,4.0,0.0004601006198966252
0.0,5.0,0.0001769181309698338
0.0,6.0,8.720215917142787e-05
0.0,7.0,5.62094655118307e-05
0.0,8.0,4.004725217258704e-05
0.0,9.0,2.7568353217483495e-05
0.0,10.0,1.7707762212660614e-05
0.0,11.0,1.096947034466355e-05
0.0,12.0,7.083280872494459e-06
0.0,13.0,5.120463764375652e-06
0.0,14.0,4.127457700181193e-06
0.0,15.0,3.486829192640499e-06
0.0,16.0,2.9303141787163558e-06
0.0,17.0,2.3965378849131354e-06
0.0,18.0,1.8990399622416736e-06
0.0,19.0,1.4598378867774462e-06
0.0,20.0,1.0922679202595258e-06
0.0,21.0,8.020454920427164e-07
0.0,22.0,5.888650351046095e-07
0.0,23.0,4.456363111190162e-07
0.0,24.0,3.5843358610141637e-07
0.0,25.0,3.091506622726858e-07
0.0,26.0,2.799225359597871e-07
0.0,27.0,2.570253508383031e-07
0.0,28.0,2.3265577001870297e-07
0.0,29.0,2.0446977018350968e-07
0.0,30.0,1.7378309320075568e-07
1.0,1.0,0.01522804188257904
1.0,2.0,0.005693510268334923
1.0,3.0,0.002486124813312093
1.0,4.0,0.0011778313490739207
1.0,5.0,0.0006085858327413866
1.0,6.0,0.00034167285284481447
1.0,7.0,0.00020459734908399627
1.0,8.0,0.0001269900051377533
1.0,9.0,7.937957845037853e-05
1.0,10.0,4.8894308594342296e-05
1.0,11.0,2.932716125201e-05
1.0,12.0,1.7143606015750746e-05
1.0,13.0,9.97258216549525e-06
1.0,14.0,6.071242077860606e-06
1.0,15.0,4.142332898458857e-06
1.0,16.0,3.2690496433036932e-06
1.0,17.0,2.8704266642759322e-06
1.0,18.0,2.636444762028073e-06
1.0,19.0,2.441049602033657e-06
1.0,20.0,2.254357332437181e-06
1.0,21.0,2.0767300511140934e-06
1.0,22.0,1.9046756609868143e-06
1.0,23.0,1.724241879713058e-06
1.0,24.0,1.5195933773594084e-06
1.0,25.0,1.2840806009220011e-06
1.0,26.0,1.0257132146025306e-06
1.0,27.0,7.649377053297415e-07
1.0,28.0,5.271703810547801e-07
1.0,29.0,3.343494861891822e-07
1.0,30.0,1.9905012733273837e-07
2.0,1.0,0.015331635973814024
2.0,2.0,0.0048708214503404785
2.0,3.0,0.002137536887911131
2.0,4.0,0.000882141463542408
2.0,5.0,0.00041377264757290423
2.0,6.0,0.00019694355598245023
2.0,7.0,0.00010769665766567942
2.0,8.0,5.776513772155197e-05
2.0,9.0,3.0737654022513014e-05
2.0,10.0,1.4408413562507514e-05
2.0,11.0,6.287085773355884e-06
2.0,12.0,3.0298213716934497e-06
2.0,13.0,2.511577282431125e-06
2.0,14.0,2.9060814256821193e-06
2.0,15.0,3.269765984285328e-06
2.0,16.0,3.2172462719639715e-06
2.0,17.0,2.7725079177478674e-06
2.0,18.0,2.1102577382788053e-06
2.0,19.0,1.4261816519411574e-06
2.0,20.0,8.562666655481323e-07
2.0,21.0,4.6211534005251757e-07
2.0,22.0,2.4249297762499167e-07
2.0,23.0,1.5857115015630157e-07
2.0,24.0,1.5756188712227977e-07
2.0,25.0,1.9043113309154465e-07
2.0,26.0,2.216376850508867e-07
2.0,27.0,2.3228461805754595e-07
2.0,28.0,2.1817132570118146e-07
2.0,29.0,1.8506306813373134e-07
2.0,30.0,1.4311274524900735e-07
3.0,1.0,0.021270949482302386
3.0,2.0,0.006864789054078552
3.0,3.0,0.002709420409064427
3.0,4.0,0.001168878199204084
3.0,5.0,0.0005718215270908816
3.0,6.0,0.0003036973086686434
3.0,7.0,0.00017039246317594853
3.0,8.0,9.876307255991881e-05
3.0,9.0,5.809901407869793e-05
3.0,10.0,3.4286715902334325e-05
3.0,11.0,2.028347209383509e-05
3.0,12.0,1.2265453638236129e-05
3.0,13.0,7.956896105811807e-06
3.0,14.0,5.866600027808681e-06
3.0,15.0,4.9546697041340925e-06
3.0,16.0,4.511485581235641e-06
3.0,17.0,4.11646088212659e-06
3.0,18.0,3.5972928556363046e-06
3.0,19.0,2.960252253646595e-06
3.0,20.0,2.300811316867836e-06
3.0,21.0,1.7218827109142602e-06
3.0,22.0,1.283308808110034e-06
3.0,23.0,9.896541271694781e-07
3.0,24.0,8.064123870013491e-07
3.0,25.0,6.866120162595584e-07
3.0,26.0,5.922146358644311e-07
3.0,27.0,5.032077519891892e-07
3.0,28.0,4.156957498918948e-07
3.0,29.0,3.346148596759024e-07
3.0,30.0,2.665388983574114e-07
4.0,1.0,0.013763739146664894
4.0,2.0,0.004613671959568668
4.0,3.0,0.001994743403430314
4.0,4.0,0.0009241831167631725
4.0,5.0,0.0004563309797754766
4.0,6.0,0.0002358078080430484
4.0,7.0,0.00012470791940632657
4.0,8.0,6.698589072121713e-05
4.0,9.0,3.725426549254097e-05
4.0,10.0,2.2292708863696924e-05
4.0,11.0,1.4764455146770047e-05
4.0,12.0,1.0762919668904599e-05
4.0,13.0,8.386102769401525e-06
4.0,14.0,6.769829977202452e-06
4.0,15.0,5.526625712635943e-06
4.0,16.0,4.4883326928082e-06
4.0,17.0,3.6002801866230516e-06
4.0,18.0,2.8618350202514204e-06
4.0,19.0,2.280140101407303e-06
4.0,20.0,1.84238444085497e-06
4.0,21.0,1.5129816066074591e-06
4.0,22.0,1.2486497239966891e-06
4.0,23.0,1.0165124793715245e-06
4.0,24.0,8.03394460946814e-07
4.0,25.0,6.133264303642993e-07
4.0,26.0,4.5773678046559346e-07
4.0,27.0,3.452342951609737e-07
4.0,28.0,2.758823498018096e-07
4.0,29.0,2.411384676253571e-07
4.0,30.0,2.2767258891888e-07
5.0,1.0,0.01608291119725493
5.0,2.0,0.005977332811529363
5.0,3.0,0.002517566291582503
5.0,4.0,0.0011625942885279753
5.0,5.0,0.0006034900201248556
5.0,6.0,0.00035725845796684045
5.0,7.0,0.00023563015918636693
5.0,8.0,0.00016457965111642877
5.0,9.0,0.00011621855108976564
5.0,10.0,8.08354414476759e-05
5.0,11.0,5.504684790481185e-05
5.0,12.0,3.705689683713216e-05
5.0,13.0,2.515512629277455e-05
5.0,14.0,1.7580467265658933e-05
5.0,15.0,1.2785473375712242e-05
5.0,16.0,9.642090732874668e-06
5.0,17.0,7.4596035504128795e-06
5.0,18.0,5.869908225592454e-06
5.0,19.0,4.6844457585019405e-06
5.0,20.0,3.7913147645563124e-06
5.0,21.0,3.106828663790983e-06
5.0,22.0,2.5636508421717362e-06
5.0,23.0,2.1126356426741207e-06
5.0,24.0,1.7243810320282462e-06
5.0,25.0,1.3863631509111003e-06
5.0,26.0,1.0969399407806587e-06
5.0,27.0,8.587966399026505e-07
5.0,28.0,6.73723701666651e-07
5.0,29.0,5.395902450247089e-07
5.0,30.0,4.495968677234963e-07
6.0,1.0,0.018538688425028982
6.0,2.0,0.00653899996268887
6.0,3.0,0.002995452607903746
6.0,4.0,0.0014022562804298234
6.0,5.0,0.0006613781298496777
6.0,6.0,0.0003117177979002621
6.0,7.0,0.00014807966430623986
6.0,8.0,7.333702288041583e-05
6.0,9.0,4.022207754977887e-05
6.0,10.0,2.572509940011586e-05
6.0,11.0,1.8952914497292167e-05
6.0,12.0,1.5076771955655655e-05
6.0,13.0,1.220450241773995e-05
6.0,14.0,9.747879692459835e-06
6.0,15.0,7.6011179969394235e-06
6.0,16.0,5.772511358320009e-06
6.0,17.0,4.261035358946149e-06
6.0,18.0,3.0452048112219763e-06
6.0,19.0,2.1014558312978935e-06
6.0,20.0,1.4124194816276254e-06
6.0,21.0,9.592074927222626e-07
6.0,22.0,7.089944699163113e-07
