iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1
0,14.212974631750994,0.0810432401699086,0.1951655420125462,,,1.2500000000000002,1.2500000000000002
1,14.212974631750994,0.0810433806307817,0.36190779198659584,169.50468006031355,9.999999999999972e-07,1.249997763932289,1.2499977639322681
2,14.212993782834964,0.08104379920502956,0.28541212499840185,169.50417664218895,2.980000000000002e-06,1.2499911004676465,1.2499911004658502
3,14.213050853230593,0.08104449589666754,0.002471500018145889,169.50269247899234,4.960000000000007e-06,1.2499800096365705,1.2499800096197762
4,14.213145843623053,0.08104547070828635,0.0022229159949347377,169.50016224964793,6.939999999999998e-06,1.2499644915602073,1.2499644914852392
5,14.213278754585563,0.08104672364695063,0.0020944169955328107,169.49663497384202,8.919999999999989e-06,1.2499445463599692,1.2499445461279135
6,14.213449587368672,0.08104825472064742,0.0020940409740433097,169.4921344333337,1.0899999999999994e-05,1.2499201742213832,1.2499201736366272
7,14.213658343404326,0.0810500639361265,0.00195779197383672,169.4866062742203,1.2879999999999999e-05,1.2498913754302095,1.2498913741558668
8,14.213905024006404,0.08105215130165269,0.002096625044941902,169.48008250765344,1.4860000000000003e-05,1.2498581503333415,1.2498581478368813
9,14.214189630725437,0.08105451682571727,0.0019393329857848585,169.4725587119953,1.6840000000000008e-05,1.249820499363322,1.2498204948538782
10,14.21451216518013,0.08105716051678771,0.002051750023383647,169.46402815228367,1.8819999999999986e-05,1.2497784230460842,1.2497784154039522
11,14.214872628996845,0.0810600823829324,0.0020632080268114805,169.4544989493123,2.079999999999999e-05,1.2497319220125491,1.249731909706981
12,14.21527102375616,0.0810632824327281,0.0018773750052787364,169.44397427041858,2.2779999999999995e-05,1.249680996985886,1.249680977989326
13,14.21570735110678,0.08106676067183548,0.0021458329865708947,169.43244098125618,2.476e-05,1.2496256488413717,1.249625620532537
14,14.216181612287892,0.08107051710487911,0.00224154198076576,169.41991085263592,2.6740000000000005e-05,1.2495658785788915,1.2495658376407681
15,14.216693808376705,0.0810745517372478,0.0020033339969813824,169.4063794982528,2.8719999999999996e-05,1.2495016872979243,1.2495016296081825
16,14.21724394053119,0.08107886457284869,0.0019445419893600047,169.39184882515505,3.07e-05,1.2494330762362598,1.249432996751428
17,14.217832009667447,0.08108345561161684,0.0021332079777494073,169.37634643264371,3.2680000000000006e-05,1.249360046816271,1.24935993944205
18,14.218458016111812,0.08108832485279735,0.0021379590034484863,169.35980148130716,3.466000000000001e-05,1.2492826005893651,1.2492824580577524
19,14.219121960050229,0.08109347229374825,0.0019174169865436852,169.34228872250517,3.664e-05,1.2492007392575801,1.2492005529986199
20,14.21982384136405,0.08109889792971699,0.00207687501097098,169.32374573841435,3.8620000000000006e-05,1.249114464680414,1.2491142246870568
21,14.220563659585585,0.08110460175325125,0.0019444579957053065,169.3042409057724,4.0600000000000004e-05,1.2490237788929577,1.2490234735676284
22,14.221341413799774,0.08111058375445342,0.0019428749801591039,169.2837274013936,4.2579999999999996e-05,1.2489286840979017,1.2489283001071334
23,14.222157102689254,0.08111684392129492,0.002031959011219442,169.2622093671851,4.4559999999999993e-05,1.2488291826633704,1.248828704786425
