iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6,tau_7,sigma_7,theta_7,tau_8,sigma_8,theta_8,tau_9,sigma_9,theta_9
0,36.849543917843036,9.663220651240108,29.730761159211397,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,32.99049069922593,9.663128597070534,83.86944724386558,45177.29881209105,9.999999999999159e-07,0.10126335863269367,0.10126208575100232,0.9999979999659021,0.10126208575091032,0.10126335863257441,0.9999979999664665,0.10126208575085963,0.10126335863264117,0.9999979999662201,0.10126335863264115,0.10126335863252077,0.9999979999665933,0.1012633586326446,0.10126335863269421,0.999997999966741,0.1012633586326216,0.10126335863267322,0.9999979999677654,0.10126335863258853,0.10126335863265312,1.0000019999871883,0.10126335863263719,0.10126335863266817,1.000001999903312,0.1012633586326736,0.10126335863262156,1.0000019999934961,0.10126335863265867,0.10126335863233218,1.000001999994399
2,32.391059311269636,9.662116965119194,80.12050073361024,42764.60576518349,1.0990000000000002e-05,0.1012703424164243,0.10125510301280646,0.9999759909116436,0.1012551016516405,0.10127035006439242,0.9999760007469443,0.10125508995721039,0.10127035049950195,0.9999760470069234,0.10127035499088737,0.10127035399092466,0.9999760103120654,0.10127036259862225,0.10127034850388522,0.9999759981736174,0.10127035455434452,0.10127034185035261,0.9999759901730151,0.1012703315255342,0.10127035198843569,1.0000231345957278,0.1012703621608094,0.10127035296934059,1.0000197643975768,0.10127034134598067,0.10127035766471951,1.0000237870599307,0.10127035148960396,0.10127026990112468,1.0000239888702043
3,-17681.05592546711,9.664114025671182,21.742258892860264,10144523.304371022,2.097999999999987e-05,0.10128180190984998,0.10124177089901795,0.9999440846344665,0.10124248714994663,0.10126947330997293,0.9999339016977042,0.10124912847242563,0.1012687866020867,0.999961928698419,0.1012822399774838,0.1012760112222126,0.9999347381571169,0.10128357643430583,0.10128013739719571,0.9999506439395482,0.10128347301213529,0.10128291451171628,0.9999842166795826,0.10126634372827407,0.10128156912329327,0.999999239218203,0.1012829534278892,0.10127732275174316,1.0000472758509051,0.10128184652679707,0.10128233554430625,1.00006235178983,0.10126999947325777,0.1012710504277892,1.000065381248437
4,32.72329935644608,9.665839097406717,58.27665133588016,44528.77911299484,3.0969999999999956e-05,0.10129978154632069,0.10122217709213982,0.9998921613832651,0.10122416765037874,0.10127248750193985,0.9998720881608402,0.10123697397396311,0.10127123096174681,0.999929454902441,0.10130058203841787,0.1012880129206615,0.999873311978482,0.10130288808781843,0.10129643690971728,0.9999051990045026,0.10130235217280925,0.10130116448695659,0.9999812669522062,0.10126446478729789,0.10129719717898035,0.9999724166965342,0.1013009319407084,0.10129041771562355,1.00008055385944,0.10129977174580387,0.10129946196753661,1.0001167021365283,0.10127419952746533,0.10127715883101052,1.0001269131287516
5,-5189.1759605876,9.670647914257732,21.64496106095612,2410834.725571456,4.095999999999993e-05,0.10132224650221469,0.1011969249292979,0.9998372347160368,0.10119970014582684,0.10126729529995011,0.9997913486440346,0.10122687722186495,0.10126407695849869,0.9999007548198847,0.10132036124081796,0.10129003349552623,0.999791413964334,0.10132835676379587,0.10131419287075064,0.9998668024184686,0.10132776511858434,0.10132601022752478,1.000005397259618,0.10125879328718526,0.10131958371193772,0.9999211790168513,0.1013255400625002,0.10129913925020562,1.0001380674490339,0.10132079178759089,0.10132316589270925,1.0001915797678533,0.10126752335918628,0.1012723481718151,1.0001743738403697
6,-25316.205284481985,9.678908859223746,21.327735865022987,17594472.975188132,5.095000000000002e-05,0.10134829184602419,0.10116622339839093,0.9997798430566648,0.10116853277720579,0.1012535124395474,0.9996898932957186,0.10122182757371602,0.10124925725056386,0.9998962951456662,0.10134402281579298,0.10128360074190515,0.9996946900167977,0.10136047872198484,0.10133315788637756,0.9998469436509179,0.10135975836433014,0.10135757853712471,1.0000553873580604,0.10124280703480532,0.10134895692068048,0.9998451206884339,0.10135111140538791,0.10130138664549233,1.0002158978375866,0.10134502048072092,0.10135367066585559,1.0002871789715297,0.10125482332868706,0.10125832422011635,1.000243167343335
7,32.21144865779204,9.686679899924714,57.4912313548848,41816.19483718415,6.0939999999999996e-05,0.10138123159187189,0.10112902109263981,0.9996964377406716,0.10113250614025009,0.10124438883607662,0.9995686066563205,0.10120809813784391,0.1012388638238203,0.9998671911670121,0.10137539069999123,0.10128451809415676,0.9995774534470796,0.10139802037851582,0.10136018891478357,0.9997996839600907,0.1013976564670317,0.10139413481302509,1.0000931425063468,0.10123103114631243,0.10138170423808086,0.999770036656155,0.10138207225348599,0.10131192002253125,1.0002980819185123,0.10137671141112149,0.10138829593190883,1.0003961847176739,0.10124699283606854,0.10124927899722443,1.0003336886745553
8,34.240916312357434,9.693989158985211,55.24277508724481,45637.43601247044,7.092999999999997e-05,0.10142130654095666,0.10108541516868234,0.9995890608468797,0.10109177840819215,0.10124043871274639,0.9994279742055844,0.10118612618204677,0.10123362573299811,0.9998143503964622,0.10141436567791147,0.10129322537034233,0.9994399830066177,0.10144095645947539,0.10139523530255173,0.9997266352794364,0.10144107984679077,0.10143593226038185,1.0001166487685271,0.1012238915035362,0.10141764794734794,0.9996974352550569,0.10141791411093917,0.10133012460504716,1.0003821375043307,0.10141580158163246,0.10142690963671012,1.0005189909699248,0.1012450317485358,0.10124239561717176,1.0004472054322133
9,32.879257522118095,9.700608396883366,57.70816462114453,44093.781988338495,8.091999999999984e-05,0.1014683624345386,0.10103519258935555,0.9994580705812036,0.10104621654531476,0.10124228172044225,0.9992675374583422,0.10115588830125352,0.10123392637300868,0.9997356798054365,0.10146043626662847,0.10131016919899907,0.9992823999710199,0.10148885770302475,0.1014380042394117,0.9996272332883362,0.1014903047239029,0.1014828006215072,1.0001265853743282,0.10122090244087795,0.10145664462144285,0.9996266715397701,0.10145926633664006,0.10135645603923435,1.0004677650101852,0.10146226548216633,0.10146959065228742,1.0006563621549385,0.10124912567958518,0.10123974551549914,1.0005823382823085
10,33.5491024572507,9.706426154629595,57.926343922968954,44589.79389475765,9.090999999999993e-05,0.10152255729192243,0.10097886989928517,0.9993026938305523,0.10099621891708359,0.10125106941422397,0.9990871523049727,0.10111755057744119,0.10124031756931505,0.9996310657501145,0.1015140320913432,0.10133453236773891,0.9991045963865475,0.10154243625042307,0.1014881708108419,0.9995023207537811,0.10154525671586022,0.10153460040987757,1.000117871840401,0.10122311155062097,0.10149876607985074,0.9995595903299564,0.10150640109825587,0.10139114500510277,1.0005546713754727,0.10151601400442771,0.10151637560207924,1.000807760580693,0.10125976945131009,0.10124511399659405,1.000739359655909
11,34.000933717595345,9.711345298107851,57.88117772573605,46199.76902359297,0.0001008999999999999,0.10158391222781181,0.10091668987231163,0.9991233091005715,0.10094179191085641,0.10126754071938576,0.9988868487627723,0.10107127512597827,0.10125305686275181,0.9995007232060032,0.10157490915482577,0.10136606895105671,0.9989073380605165,0.10160146515120289,0.10154572329474698,0.9993523682161567,0.10160559484054413,0.10159142509515853,1.0000907131162748,0.1012302675278374,0.10154403833013204,0.9994960352940468,0.10155906439833932,0.10143462650956443,1.0006413022149951,0.10157713586752556,0.10156727710380448,1.000975212823845,0.10127758068219615,0.10125608944077039,1.0009195232841628
12,34.53928551238137,9.715569523378148,63.040227070916444,46461.79190732193,0.00011088999999999988,0.10165261740389922,0.10084829975620524,0.998921408874121,0.10088270930950416,0.10129061095058403,0.9986669842921172,0.10101723254227547,0.10127229161776398,0.9993454118416423,0.10164336741146557,0.10140518477514089,0.9986896987965489,0.10166636531094139,0.10161077887119932,0.9991786290935244,0.101670414904975,0.1016532257460067,1.0000404411330865,0.10124197126669847,0.10159243573310821,0.9994355937947124,0.10161707553443072,0.10148590824080472,1.0007270491657465,0.10164533278124034,0.1016224497816233,1.001154220810182,0.10130260491745564,0.10127400254908361,1.0011221903859686
13,32.49883439455697,9.718880077949379,60.342511996626854,42224.08314257887,0.00012087999999999997,0.10172816639532847,0.1007734909124864,0.998695707304618,0.10081855143978885,0.10132037506294667,0.9984271008416117,0.10095538542861993,0.10129844652043465,0.9991665952959463,0.10171922877623951,0.10145219045940239,0.9984506081416801,0.10173708093256643,0.10168322074715465,0.9989801676615491,0.10174142979263597,0.10172008709097281,0.9999687420137879,0.10126040453310117,0.10164385364186324,0.9993831521042909,0.10168119430877702,0.10154499090574498,1.000813384743355,0.10172062705380981,0.10168160956054313,1.0013458889229074,0.10133463883970398,0.10129923951799122,1.0013464107972394
14,33.72582429187743,9.721321873147886,60.82976143807173,45426.114812672284,0.00013086999999999994,0.10181106923969366,0.10069241541222114,0.9984480761603114,0.10074940810489036,0.10135748307952229,0.9981675078915953,0.10088591872350923,0.10133151797938718,0.9989631702966953,0.10180227459017786,0.10150651137214954,0.9981915659694934,0.10181328030256157,0.1017629900119009,0.9987576956775601,0.10181742995173966,0.10179212737670562,0.9998752620546063,0.10128438609378534,0.10169841742708174,0.9993361681277013,0.1017507204997048,0.10161190634956771,1.0008984406609087,0.1018029694306535,0.10174500131990295,1.001551350654552,0.10137385561619656,0.10133092275759605,1.001592447507091
15,33.18174074904778,9.722804289522694,57.86949703004211,44536.78722719355,0.00014085999999999992,0.10190103523259901,0.1006045484222175,0.9981765517093965,0.1006750249548841,0.10140161135618221,0.997889055095096,0.10080895677006756,0.10137202611664106,0.9987366476559141,0.10189138067977915,0.1015683414360864,0.9979107561945734,0.1018946486618294,0.10185028888364954,0.9985121123905414,0.10189878441926478,0.10186994431992986,0.999761183112455,0.10131471431586919,0.10175628101824116,0.9992969756142829,0.10182571529949921,0.1016863810974966,1.0009827499156376,0.10189237080910561,0.10181208103480349,1.0017707306945984,0.10141995332295993,0.10136822681298294,1.0018586618388357
