k,l2o,ldro_pep,lpep,l2o_alista
1,51.285721199470814,50.40759136236859,51.64896865854261,50.46404693015028
2,25.44023876782935,27.27996512340757,29.8438624000061,29.843190828913652
3,18.984144537458825,25.642250451695503,22.275796799946846,22.01444562395983
4,16.341465896515793,25.537343304051173,18.964664135901252,17.887814927799763
5,18.08568230792125,15.025510254095831,16.81579734302419,15.065429864615966
6,24.66570293272373,9.004605854676237,14.957270426429021,12.902478125307502
7,58.010776640087805,8.015606347908115,13.234041511095466,11.152035015022662
8,186.83383495743786,6.8588535674609075,11.542473085985332,9.69736733504661
9,789.5974999546431,6.143122154047976,10.197990584962506,8.466973641844362
10,3592.4514579556385,5.077889326610131,9.218035220455247,7.412604487969033
11,16479.522720290133,4.061281657169538,8.31347568167362,6.499713030450274
