k,l2o_gamma,ldro_pep_gamma,lpep_gamma,l2o_alista_gamma
1,0.2452227726993433,0.2525432535322587,0.3302967539774581,0.3208213101151089
2,0.6645438627403906,0.7963043252001304,0.3055593827160148,0.3196964497712344
3,0.6253335715788672,0.7471155260478357,0.3019062905510041,0.3202873794640353
4,0.6362078410919494,0.5833984303061196,0.2428014942542422,0.320654366263821
5,0.6308108676118585,0.3557682837007325,0.2164142410888945,0.3206954197878057
6,0.6286478248175932,0.1920683861277981,0.2276369735746815,0.3205709685934962
7,0.6201908958009158,0.2103322316143676,0.2525132085621168,0.3203714984575276
8,0.6127936481011457,0.3342247534287724,0.2963220094703064,0.3201296361710534
9,0.6016047196125178,0.2540836572121066,0.2803188659248498,0.3198484177112219
10,0.591686792043222,0.4452902591519732,0.236026299431201,0.3195576944772935
11,0.5788615044174599,0.5292796191134308,0.245371577902722,0.3192160446217831
