k,l2o,ldro_pep,lpep,l2o_alista
1,23.155036085146232,22.759520138006753,22.336880192858594,22.01884815931283
2,10.690416020775876,10.519532460101532,13.35090036046242,13.313472012342068
3,6.667035691369762,6.55802777931723,9.89530696109483,9.709213607947007
4,4.364091355087646,4.158818370793469,8.212155642903205,7.609918634507417
5,2.9365417978902233,2.975797588303289,7.050166345628249,6.106535899105033
6,1.9808652776943816,2.6299951468804457,6.051009163065544,4.961621861684513
7,1.3504550373575215,2.3198034502315625,5.137779592675881,4.061190374697134
8,0.9199203831263981,1.8985372359617176,4.262258219520092,3.338795982815503
9,0.6318812318805069,1.6334774212965573,3.5873376070027234,2.7527433599003905
10,0.4360930979453429,1.2482638978499316,3.110897193282996,2.274198435633554
11,0.3040605591980388,0.9034089262422194,2.685748335624591,1.8799918448214092
