k,l2o,ldro_pep,lpep,l2o_alista
1,23.16989387397403,22.778850941144697,22.51698176522734,22.168279782061354
2,10.705218014130178,10.562561987797496,13.37410619740955,13.338842076818453
3,6.691262693232338,6.650807275095584,9.892921362693222,9.708977540116576
4,4.39501702400003,4.241301979906856,8.214712954242911,7.6161537268374575
5,2.97775497336518,3.0134108801408814,7.059503057072976,6.119847539345984
6,2.018627248824343,2.654576274443254,6.064653460984953,4.979348545741856
7,1.3921651857129125,2.3419418660471947,5.1549288553179675,4.081324754273296
8,0.9496721439572726,1.9184482981269941,4.28180504059067,3.360163153568269
9,0.658518964559039,1.651594872618623,3.6085062759244044,2.7738899023816983
10,0.45194028729264,1.2627328944420102,3.1324356942197946,2.2935412807911386
11,0.31511258179774704,0.9144303168479729,2.7066125896036612,1.8977268412730373
