k,l2o,ldro_pep,lpep,l2o_alista
1,23.138185167437577,27.062343485600383,22.26754987612832,22.170952020945656
2,10.686037051470093,20.508984895415985,14.24553068296345,13.338064755190638
3,6.676297952748113,10.474984442871925,10.495372510426481,9.708167481663354
4,4.385262738645916,6.700617364004608,8.214392040463874,7.616348240565427
5,2.9743753680757297,5.493171955273366,6.737271080134835,6.120886536726123
6,2.018206427751382,2.808606602888917,5.5481895138371495,4.981030153356585
7,1.3958885310140645,2.4163248804913766,4.508665297721522,4.083484985622063
8,0.9538505263209909,1.606306066478563,3.724626973336073,3.3626859633206734
9,0.6637360854758473,1.2753759346007407,3.2663014763583713,2.776669562921247
10,0.45652226649778815,0.8129758961331329,2.875175392954827,2.2965017470797013
11,0.3192380433802815,0.41673266512708845,2.538088545735291,1.9007878837175236
12,0.22340300691009263,0.2038964288186492,2.102505826341998,1.5735125747443615
13,0.15871160962005018,0.0954957001559324,1.7548062535138953,1.3024198100094555
