k,l2o,ldro_pep,lpep,l2o_alista
1,23.123053850962258,26.622225745193283,22.108713385945055,22.021257585983303
2,10.670099206257685,19.741725002886238,14.254194584626635,13.312589865958795
3,6.650253524499856,10.151680702969166,10.502529357805793,9.708388845456659
4,4.352508312129228,6.6554974394051145,8.212238203674051,7.6101129013134505
5,2.9305422732042232,5.461336951180282,6.7265190213023,6.1075779062819455
6,1.978231233111637,2.7820443686795038,5.532668757354867,4.963306708743764
7,1.3508696134864349,2.391587681277584,4.489771764949166,4.063357282596779
8,0.9218138450750525,1.5866502112211798,3.703607652422103,3.3413209368858805
9,0.6347147684961146,1.259161736274565,3.244829804410434,2.7555142407687256
10,0.4394028855286729,0.8019879542790274,2.8538233613023145,2.2771473506541264
11,0.30725657730443656,0.4104231687482809,2.5178788491822504,1.883036716637536
12,0.2169735404741548,0.20046416103904066,2.0839675762809797,1.5578277280786021
13,0.1548387422352762,0.09332429387156631,1.7379713151736804,1.28912839084172
