k,l2o_gamma,ldro_pep_gamma,lpep_gamma,l2o_alista_gamma
1,0.2457751953434294,0.3892728817069064,0.3238298534461276,0.3209067496344114
2,0.6675919565919515,0.5851184623885145,0.228263268488848,0.3197624983846051
3,0.6279439228181858,0.3579106416523987,0.315373485722546,0.3202466853233595
4,0.637200427716882,0.2311069940003951,0.3125326291752678,0.3205125711847435
5,0.6307275564541727,0.2667045042197779,0.2831456440271792,0.3204819614672076
6,0.6270344614774386,1.0115075822151869,0.294710180463007,0.3203000411783046
7,0.6174482724073582,0.2418866489190138,0.3276689534077955,0.3200511904177921
8,0.6089691785362827,0.6692976842528863,0.3114237592588586,0.3197564840738433
9,0.597117445152367,0.3885534002646102,0.2194556510041563,0.3194248911262979
10,0.586357609636013,0.7272579355311839,0.2147698243862307,0.3190745477906073
11,0.5741357715730852,1.0370435663302575,0.2110381224089716,0.3186843270720196
12,0.5627973852486577,1.1027556838466013,0.316035598193562,0.3182839513000691
13,0.5504849628192385,1.1816152962761803,0.3044457803460917,0.3178702458411697
