eta,l2o,ldro_pep,lpep,l2o_alista
1e-06,0.0,0.0,0.0,0.0
5e-06,0.0,0.0,0.0,0.0
1e-05,0.0,0.0,0.0,0.0
5e-05,0.0,0.0,0.0,0.0
0.0001,0.0,0.0,0.0,0.0
0.0005,0.0,0.004016064257028112,0.0,0.0
0.001,0.0,0.008032128514056224,0.0,0.0
0.005,0.009036144578313253,0.05823293172690763,0.0,0.0
0.01,0.029116465863453816,0.11646586345381527,0.0,0.0
0.05,0.23493975903614459,0.44779116465863456,0.0,0.0
