eta,l2o,ldro_pep,lpep,l2o_alista
1e-06,0.0,0.0,0.0,0.0
5e-06,0.0,0.0,0.0,0.0
1e-05,0.0,0.0,0.0,0.0
5e-05,0.0,0.0,0.0,0.0
0.0001,0.0,0.0,0.0,0.0
0.0005,0.0,0.0,0.0,0.0
0.001,0.0,0.020161290322580645,0.0,0.0
0.005,0.024193548387096774,0.0846774193548387,0.0,0.0
0.01,0.05241935483870968,0.13306451612903225,0.0,0.0
0.05,0.24596774193548387,0.4314516129032258,0.0,0.0
