split,arch,K,mean,q10,q90,median
test,L2O,1,0.050115995612017954,0.036443856175030924,0.0643215522148599,0.049325957012920335
test,L2O,2,0.015698843577172376,0.009032807438518392,0.023652826957749763,0.01496482773752511
test,L2O,3,0.007089384846623292,0.0031529555646830133,0.012288320606852558,0.006341142166694458
test,L2O,4,0.004097224580620402,0.0016741738956023821,0.007624982722998901,0.0035385419896202808
test,L2O,5,0.0025004208217779605,0.0008335616547576864,0.004932214937715034,0.002096468650098132
test,L2O,6,0.0015029371608374824,0.0004980409669633091,0.0029319360294685626,0.0011801396823657995
test,L2O,7,0.0009447621347308257,0.00031887747836891194,0.0018053084484574876,0.0007613403304961575
test,L2O,8,0.0006079872615193895,0.0001836146059845334,0.0010673674463341828,0.0004405776863082578
test,L2O,9,0.0004062060844874869,0.00011644120860082042,0.000721823554196227,0.0002751335082030182
test,L2O,10,0.0002951499374389528,8.012673196637343e-05,0.0005302666838802262,0.00018690127701401216
test,L2O,11,0.0002263268337405937,4.232671323506909e-05,0.0004225742902777607,0.0001191615368634491
test,L2O,12,0.0001742049469838376,2.5737097375383433e-05,0.0003451320190760276,8.038613239422232e-05
test,L2O,13,0.00013865033055364973,1.6042034043728394e-05,0.0002888336569669636,5.505348017234568e-05
test,L2O,14,0.00011577771447755935,1.1553226363031356e-05,0.0002432357827459541,3.569687865970228e-05
test,L2O,15,0.0001000175106855421,8.977795134196277e-06,0.0002160316163537568,2.9024534033972316e-05
test,DR-L2O,1,0.08972003101176632,0.07177564931499752,0.11090124832390566,0.08740972777017922
test,DR-L2O,2,0.0566474750493025,0.043310079938541184,0.07342377553929379,0.054983503368349895
test,DR-L2O,3,0.022709108230038532,0.01502841515887381,0.03264303227694237,0.02120667217342659
test,DR-L2O,4,0.012062220375682851,0.006437740275319248,0.019896117836818397,0.010695777620228303
test,DR-L2O,5,0.006090152834605353,0.0023095800603762317,0.011598579327232732,0.005061970394238585
test,DR-L2O,6,0.003978324149471103,0.001287323400125412,0.00787117079343168,0.0032518894584463442
test,DR-L2O,7,0.0027704464280389127,0.0009320405104960239,0.00546947852580733,0.0022808434510449838
test,DR-L2O,8,0.002086638158662042,0.0007822941495679691,0.004012631710495373,0.0016458205139411874
test,DR-L2O,9,0.0015841317851357465,0.000695330038589953,0.002908399456227267,0.0012573281422480487
test,DR-L2O,10,0.0011671412417843953,0.0005340613223505486,0.0020941053280103426,0.0009283195545333189
test,DR-L2O,11,0.0010032267351800055,0.0003664361434696617,0.0019340306365571158,0.0007458874424730588
test,DR-L2O,12,0.000591065251726119,0.00022120561615405766,0.0010185382276171326,0.00045080974792094386
test,DR-L2O,13,0.0004317642744733967,0.000137768444041364,0.0007467287269614209,0.00031176361629517424
test,DR-L2O,14,0.0004362876214863272,0.00018374358708036497,0.0007314903018436791,0.0003784005025573578
test,DR-L2O,15,0.000333223341079242,5.437986121151207e-05,0.0006898524333466105,0.0001652961574246936
test,OPT-PEP,1,0.08847595078275437,0.07075329686077773,0.10944343989092552,0.08619828081177489
test,OPT-PEP,2,0.08024778994233292,0.0641682449750317,0.10001841508261287,0.07734426971146971
test,OPT-PEP,3,0.05050641547188914,0.03845442140237411,0.06634156071781054,0.04835767413345868
test,OPT-PEP,4,0.02386102627500073,0.015983091638091047,0.03424768195066504,0.022345872116723814
test,OPT-PEP,5,0.018943431280495977,0.011982904699727643,0.028003501355355172,0.01748519923478073
test,OPT-PEP,6,0.013176528940172318,0.0074906707302053515,0.021001652192638103,0.01179107633366594
test,OPT-PEP,7,0.008679578546361049,0.00425446601740081,0.014863009185725584,0.00757679174491524
test,OPT-PEP,8,0.006007905974066949,0.0025071633901413704,0.011146498042555951,0.005050243111516445
test,OPT-PEP,9,0.004089846810474649,0.0013151161868597161,0.008083019558820098,0.0033333585734990623
test,OPT-PEP,10,0.003399694360203408,0.000985969978072404,0.006892190877089804,0.0027740609030424135
test,OPT-PEP,11,0.002167358456735572,0.00051090790988087,0.004670652265720027,0.0017197013607774814
test,OPT-PEP,12,0.001901725690244258,0.00039858349145512897,0.004180596489047194,0.001486113650579185
test,OPT-PEP,13,0.0012587843572674855,0.0002692344329143559,0.0027822946210753095,0.0009309836944150496
test,OPT-PEP,14,0.0009747314436166941,0.00021886512482114374,0.0020812188548941283,0.000692363342980562
test,OPT-PEP,15,0.0008230045885856136,0.0001513722318765287,0.0018042642273801812,0.0005427867558182864
ood,L2O,1,0.07978424424900411,0.05143465371865251,0.11031692381070254,0.07973675754935727
ood,L2O,2,0.022351018186017747,0.01251256933258756,0.03374491329715921,0.019985174038673947
ood,L2O,3,0.02115990524748997,0.009983409882033695,0.039308155756192106,0.01576828062079752
ood,L2O,4,0.022222082121087627,0.005564636413966356,0.05237845973571993,0.011048330905175763
ood,L2O,5,0.04874395899258728,0.003039665499573396,0.14660307640826356,0.015678318238787764
ood,L2O,6,0.031206690071496877,0.001934620025773437,0.07115880662304458,0.0221003057317401
ood,L2O,7,0.04319952309264797,0.001698605268111353,0.10809799822265367,0.028784901517858508
ood,L2O,8,0.03878796841081121,0.0017215233949643362,0.12340426076927527,0.021340953317534966
ood,L2O,9,0.0830101656589543,0.0010217437261461184,0.185821804783117,0.07002100661518224
ood,L2O,10,0.048164623132369425,0.0010241667084579964,0.10774127631689133,0.041368483584294125
ood,L2O,11,0.029264758871798854,0.003045626270578278,0.052010946379987634,0.029602136855270356
ood,L2O,12,0.015075332686294388,0.0015473729333959742,0.028963878840760897,0.01364714087406374
ood,L2O,13,0.023129099363812137,0.001970754586751533,0.04337177606538314,0.019206363415345595
ood,L2O,14,0.020945258092338322,0.0019382132497733802,0.044208963564581455,0.01665790938916764
ood,L2O,15,0.02844810708823911,0.0017406253581987608,0.0749114209572517,0.018253340461098833
ood,DR-L2O,1,0.057287141695367694,0.04345302079448279,0.07099683477907885,0.05682235766528518
ood,DR-L2O,2,0.03137371506694512,0.020914952714028674,0.04220869147276797,0.030456112261858515
ood,DR-L2O,3,0.009481969243673841,0.004565029557521294,0.014896955898105801,0.008893892913661605
ood,DR-L2O,4,0.004954653161244533,0.0017535636307438318,0.008288792606106007,0.004427073005371679
ood,DR-L2O,5,0.0026840823137531463,0.0009488863544903193,0.005108236545642291,0.0023280170661057753
ood,DR-L2O,6,0.0017615031624459588,0.0006238256777982898,0.003370869133620802,0.0014418580984194018
ood,DR-L2O,7,0.001214198604885042,0.0005052827263248128,0.002165485023791424,0.0010183243855855229
ood,DR-L2O,8,0.0008433873489765722,0.00035931101479002024,0.00145124757024343,0.0007110979995811895
ood,DR-L2O,9,0.0005712246420038527,0.00023319199160771187,0.000960589301455167,0.0004894019109753234
ood,DR-L2O,10,0.0003753968167711925,0.00012786305834991963,0.0006443921631472559,0.00032742043734332316
ood,DR-L2O,11,0.00030376823126300034,7.862781578729106e-05,0.0005642961790154,0.00023326987121372045
ood,DR-L2O,12,0.0001973934930983232,5.334233816099432e-05,0.000359970283766442,0.00014689771573189736
ood,DR-L2O,13,0.0001638239921986513,4.419661217526239e-05,0.00030944815177098574,0.0001091832381071578
ood,DR-L2O,14,0.00022856085474793808,8.44978321014489e-05,0.0003942902545588267,0.00019118944556811845
ood,DR-L2O,15,0.0001100255262865506,1.4308637322224538e-05,0.00025796290308039425,3.8300950318981286e-05
ood,OPT-PEP,1,0.05661319772674251,0.0428602450090763,0.07028091387800665,0.056109620799884435
ood,OPT-PEP,2,0.04843641337861586,0.03652829906976698,0.06109500213998294,0.047524308029019885
ood,OPT-PEP,3,0.026194793269351528,0.017456367932399873,0.03585231721517911,0.025241272767030226
ood,OPT-PEP,4,0.011143321709630165,0.005912149083355956,0.01698098516658663,0.010561611954287425
ood,OPT-PEP,5,0.00827196472204111,0.003953039205207526,0.013139348934360773,0.007785165871615929
ood,OPT-PEP,6,0.005824688901548323,0.0024004648669024133,0.00963528453171652,0.005344606938323143
ood,OPT-PEP,7,0.0036685574681965994,0.0011761716361359253,0.006372966111101025,0.0031678525225168896
