split,arch,K,mean,q10,q90
test,L2O,1,0.050115995612017954,0.036443856175030924,0.0643215522148599
test,L2O,2,0.01581472553422804,0.009139344720122821,0.0237597246151379
test,L2O,3,0.009190745979852363,0.004389155716471316,0.01521739218488926
test,L2O,4,0.0062058845923842944,0.002492213930499121,0.011034271261580318
test,L2O,5,0.004514544187772151,0.0015770077333724431,0.008526512294895417
test,L2O,6,0.0034176628987080708,0.0010839298364801408,0.006601186271419906
test,L2O,7,0.002676568660511288,0.0007756831326730274,0.005378400029405022
test,L2O,8,0.0021377134828456886,0.0005615277690938392,0.004366892066422223
test,L2O,9,0.0017437514469272094,0.0004115019854176339,0.003661305464211162
test,L2O,10,0.0014412553642541605,0.0003074740401516452,0.0031077981693569175
test,L2O,11,0.0012085082779172613,0.00023179452463865103,0.00265208348703429
test,L2O,12,0.001023378656150171,0.00016520943165234116,0.0022860090461287617
test,L2O,13,0.0008764512807515341,0.00013098574078816428,0.0019579699519259195
test,L2O,14,0.0007571283644964407,9.956914074822909e-05,0.0016871284898002659
test,L2O,15,0.0006602925583629591,7.689656800837775e-05,0.0014422613748322321
test,DR-L2O,1,0.08972003101176632,0.07177564931499752,0.11090124832390566
test,DR-L2O,2,0.07046009152588494,0.055407251261236315,0.08866282419734475
test,DR-L2O,3,0.04209678168712971,0.031182624755827382,0.05642516045602528
test,DR-L2O,4,0.027743697711565162,0.019298286793252833,0.03873884239878434
test,DR-L2O,5,0.02151963000526846,0.01422028927968334,0.031152127888901125
test,DR-L2O,6,0.014948460890122937,0.008982421116583044,0.023209754364804804
test,DR-L2O,7,0.012070529122821772,0.006826006521769218,0.019349013488191933
test,DR-L2O,8,0.009920647612583856,0.005275235713876558,0.016399612878383003
test,DR-L2O,9,0.008401196786506625,0.004249942655271438,0.014144589293938687
test,DR-L2O,10,0.007142211313001645,0.003423226178170674,0.012431603841000899
test,DR-L2O,11,0.006121468918482379,0.0027721072804824886,0.011140673448929338
test,DR-L2O,12,0.005302033653469637,0.0022717961912363696,0.009755399358684684
test,DR-L2O,13,0.004663948244564973,0.0018655620695379072,0.008906785230912572
test,DR-L2O,14,0.004109420548339855,0.0015176979237109534,0.007902920645445033
test,DR-L2O,15,0.003644986434929149,0.0012753808289551695,0.007060053344363448
test,OPT-PEP,1,0.08847595078275437,0.07075329686077773,0.10944343989092552
test,OPT-PEP,2,0.08024778994233292,0.0641682449750317,0.10001841508261287
test,OPT-PEP,3,0.05821570984938238,0.04490015270477513,0.07507003541507383
test,OPT-PEP,4,0.03303615656167037,0.023647805224181667,0.04525197322113048
test,OPT-PEP,5,0.033172364967276255,0.023987637803334783,0.0453488446051389
test,OPT-PEP,6,0.026354125239136127,0.018250230740991503,0.03705457103046298
test,OPT-PEP,7,0.021590760031393305,0.014325344084465813,0.03126043435948484
test,OPT-PEP,8,0.018013123846349656,0.011421093957271162,0.02673292786785799
test,OPT-PEP,9,0.015254538633902446,0.009291478329268783,0.02352304950798101
test,OPT-PEP,10,0.01320745707680929,0.0077317398685039455,0.020800633040761744
test,OPT-PEP,11,0.011337155737814788,0.006345837246749442,0.018243733019429397
test,OPT-PEP,12,0.00991622977802896,0.005330218211189203,0.01627397210175912
test,OPT-PEP,13,0.00874289918600333,0.004493527060792013,0.014552060983816183
test,OPT-PEP,14,0.007762680002915599,0.0038599047408851674,0.013090725122741774
test,OPT-PEP,15,0.0070080999278612725,0.0033630219015036043,0.012227500693577486
test,GD (1/L),1,0.12629240789620508,,
test,GD (1/L),2,0.08070954994965537,,
test,GD (1/L),3,0.05698388495527187,,
test,GD (1/L),4,0.042627989012548315,,
test,GD (1/L),5,0.03317236496727625,,
test,GD (1/L),6,0.02657830133650416,,
test,GD (1/L),7,0.02178231403918256,,
test,GD (1/L),8,0.018178444846917857,,
test,GD (1/L),9,0.015398523369047838,,
test,GD (1/L),10,0.013207457076809287,,
test,GD (1/L),11,0.011449003063667156,,
test,GD (1/L),12,0.010015831176746122,,
test,GD (1/L),13,0.008832128153316394,,
test,GD (1/L),14,0.007843051120298329,,
test,GD (1/L),15,0.007008099927861268,,
ood,L2O,1,0.07978424424900411,0.05143465371865251,0.11031692381070254
ood,L2O,2,0.02233698559125178,0.012464595233387754,0.0337502258463941
ood,L2O,3,0.01799621879953063,0.006338715902629011,0.03541959057561248
ood,L2O,4,0.020891177596110033,0.0037798615200504313,0.048925237476298435
ood,L2O,5,0.03299221794155649,0.0024865528914782276,0.08314105244014953
ood,L2O,6,0.037359888764164004,0.002161381094570419,0.11542263415078367
ood,L2O,7,0.05431155878493555,0.0021319566444260086,0.16590636731083966
ood,L2O,8,0.05141803172639533,0.0020064033739147003,0.13193469389354381
ood,L2O,9,0.06621542423322553,0.002301604994866069,0.16790883015570876
ood,L2O,10,0.05828333408915231,0.002917190600508679,0.12414770786585853
