split,arch,K,mean,q10,q90
ood,L2O,11,0.06926971539106933,0.003256926371528946,0.14809956494766152
ood,L2O,12,0.06020763241926845,0.003601153079100439,0.11634378764422697
ood,L2O,13,0.06888045359808755,0.004016893208315281,0.13542532151702
ood,L2O,14,0.059377564811818585,0.00474156788538906,0.11265185396688948
ood,L2O,15,0.06619679230322942,0.0055891511741690885,0.13157655287800796
ood,DR-L2O,1,0.057287141695367694,0.04345302079448279,0.07099683477907885
ood,DR-L2O,2,0.03923750816943441,0.02842212568540307,0.051050277618811785
ood,DR-L2O,3,0.020763041059650978,0.013069450227521267,0.0293291361422781
ood,DR-L2O,4,0.013098976794518326,0.0075186029732499104,0.019195944798039554
ood,DR-L2O,5,0.009908247376195287,0.005218448702611051,0.015070039374074851
ood,DR-L2O,6,0.006657469537412148,0.0030590086125450557,0.01070641132144624
ood,DR-L2O,7,0.005262014392269995,0.002185735838819569,0.008647671427048448
ood,DR-L2O,8,0.0042385733485494495,0.001583479383367864,0.007029559792560108
ood,DR-L2O,9,0.0035261750569513385,0.0012410884782471155,0.006009377433333868
ood,DR-L2O,10,0.002944163869751815,0.0009588738912536255,0.0052029159690499035
ood,DR-L2O,11,0.0024788490481556453,0.0007428014586605525,0.004529858646725055
ood,DR-L2O,12,0.0021104652384473753,0.0005937308905473005,0.0039823659312449135
ood,DR-L2O,13,0.0018274387509245001,0.00047430119264016966,0.0035418529544895883
ood,DR-L2O,14,0.001584691322319056,0.00038997987858266917,0.0031446674639858895
ood,DR-L2O,15,0.001384127572594751,0.000320020868393861,0.0027986106617103323
ood,OPT-PEP,1,0.05661319772674251,0.0428602450090763,0.07028091387800665
ood,OPT-PEP,2,0.04843641337861586,0.03652829906976698,0.06109500213998294
ood,OPT-PEP,3,0.03238291487166114,0.022845343921151184,0.04275827889089148
ood,OPT-PEP,4,0.01653010366722972,0.010088756636535252,0.02403230657191845
ood,OPT-PEP,5,0.017006870441865083,0.01056017450119492,0.02441909767016551
ood,OPT-PEP,6,0.013057359482283858,0.007466329522583754,0.01920560272737821
ood,OPT-PEP,7,0.010407781351723265,0.00564103758749771,0.015558960210175521
ood,OPT-PEP,8,0.008477598365966978,0.004274966615262693,0.012965987038796655
ood,OPT-PEP,9,0.0070271910318717426,0.003293040176462753,0.011014910747731987
ood,OPT-PEP,10,0.005975503053417991,0.0026164982005808302,0.009505958880074971
ood,OPT-PEP,11,0.005030539791639226,0.0020432110227937283,0.008224605598766931
ood,OPT-PEP,12,0.004326826140870271,0.0016370247584409803,0.007129476142082824
ood,OPT-PEP,13,0.003755046932642018,0.001341050837770913,0.006279870256106812
ood,OPT-PEP,14,0.0032844359860218645,0.0011277333133440537,0.005617638001360203
ood,OPT-PEP,15,0.0029273466642320135,0.0009636765239158407,0.005128428438991095
ood,GD (1/L),1,0.0861002476170393,,
ood,GD (1/L),2,0.04882444357103865,,
ood,GD (1/L),3,0.032036747267640026,,
ood,GD (1/L),4,0.022747603020240422,,
ood,GD (1/L),5,0.017006870441865083,,
ood,GD (1/L),6,0.013190294836863332,,
ood,GD (1/L),7,0.01051673225540323,,
ood,GD (1/L),8,0.00856846515735172,,
ood,GD (1/L),9,0.007104079354232114,,
ood,GD (1/L),10,0.00597550305341799,,
ood,GD (1/L),11,0.005087540714825858,,
ood,GD (1/L),12,0.004376607977398999,,
ood,GD (1/L),13,0.0037988677109642662,,
ood,GD (1/L),14,0.0033232778181315156,,
ood,GD (1/L),15,0.00292734666423201,,
