split,eta,arch,K,frac_solved
test,0.001,OPT-PEP,9,0.136
test,0.001,OPT-PEP,10,0.208
test,0.001,OPT-PEP,11,0.444
test,0.001,OPT-PEP,12,0.492
test,0.001,OPT-PEP,13,0.684
test,0.001,OPT-PEP,14,0.8
test,0.001,OPT-PEP,15,0.832
test,0.01,L2O,1,0.0
test,0.01,L2O,2,0.472
test,0.01,L2O,3,0.948
test,0.01,L2O,4,0.996
test,0.01,L2O,5,1.0
test,0.01,L2O,6,1.0
test,0.01,L2O,7,1.0
test,0.01,L2O,8,1.0
test,0.01,L2O,9,1.0
test,0.01,L2O,10,1.0
test,0.01,L2O,11,1.0
test,0.01,L2O,12,1.0
test,0.01,L2O,13,1.0
test,0.01,L2O,14,1.0
test,0.01,L2O,15,1.0
test,0.01,DR-L2O,1,0.0
test,0.01,DR-L2O,2,0.0
test,0.01,DR-L2O,3,0.092
test,0.01,DR-L2O,4,0.736
test,0.01,DR-L2O,5,0.968
test,0.01,DR-L2O,6,0.992
test,0.01,DR-L2O,7,0.996
test,0.01,DR-L2O,8,1.0
test,0.01,DR-L2O,9,1.0
test,0.01,DR-L2O,10,1.0
test,0.01,DR-L2O,11,1.0
test,0.01,DR-L2O,12,1.0
test,0.01,DR-L2O,13,1.0
test,0.01,DR-L2O,14,1.0
test,0.01,DR-L2O,15,1.0
test,0.01,OPT-PEP,1,0.0
test,0.01,OPT-PEP,2,0.0
test,0.01,OPT-PEP,3,0.0
test,0.01,OPT-PEP,4,0.072
test,0.01,OPT-PEP,5,0.288
test,0.01,OPT-PEP,6,0.672
test,0.01,OPT-PEP,7,0.864
test,0.01,OPT-PEP,8,0.98
test,0.01,OPT-PEP,9,0.992
test,0.01,OPT-PEP,10,0.996
test,0.01,OPT-PEP,11,1.0
test,0.01,OPT-PEP,12,1.0
test,0.01,OPT-PEP,13,1.0
test,0.01,OPT-PEP,14,1.0
test,0.01,OPT-PEP,15,1.0
ood,0.0001,L2O,1,0.0
ood,0.0001,L2O,2,0.0
ood,0.0001,L2O,3,0.0
ood,0.0001,L2O,4,0.0
ood,0.0001,L2O,5,0.0
ood,0.0001,L2O,6,0.0
ood,0.0001,L2O,7,0.0
ood,0.0001,L2O,8,0.0
ood,0.0001,L2O,9,0.012
ood,0.0001,L2O,10,0.004
ood,0.0001,L2O,11,0.016
ood,0.0001,L2O,12,0.032
ood,0.0001,L2O,13,0.048
ood,0.0001,L2O,14,0.048
ood,0.0001,L2O,15,0.052
ood,0.0001,DR-L2O,1,0.0
ood,0.0001,DR-L2O,2,0.0
ood,0.0001,DR-L2O,3,0.0
ood,0.0001,DR-L2O,4,0.0
ood,0.0001,DR-L2O,5,0.0
ood,0.0001,DR-L2O,6,0.0
ood,0.0001,DR-L2O,7,0.0
ood,0.0001,DR-L2O,8,0.012
ood,0.0001,DR-L2O,9,0.024
ood,0.0001,DR-L2O,10,0.132
ood,0.0001,DR-L2O,11,0.284
ood,0.0001,DR-L2O,12,0.488
ood,0.0001,DR-L2O,13,0.6
ood,0.0001,DR-L2O,14,0.316
ood,0.0001,DR-L2O,15,0.704
ood,0.0001,OPT-PEP,1,0.0
