split,eta,arch,K,frac_solved
test,0.001,OPT-PEP,9,0.0
test,0.001,OPT-PEP,10,0.0
test,0.001,OPT-PEP,11,0.0
test,0.001,OPT-PEP,12,0.0
test,0.001,OPT-PEP,13,0.0
test,0.001,OPT-PEP,14,0.0
test,0.001,OPT-PEP,15,0.0
test,0.01,L2O,1,0.0
test,0.01,L2O,2,0.452
test,0.01,L2O,3,0.848
test,0.01,L2O,4,0.976
test,0.01,L2O,5,0.992
test,0.01,L2O,6,0.996
test,0.01,L2O,7,0.996
test,0.01,L2O,8,1.0
test,0.01,L2O,9,1.0
test,0.01,L2O,10,1.0
test,0.01,L2O,11,1.0
test,0.01,L2O,12,1.0
test,0.01,L2O,13,1.0
test,0.01,L2O,14,1.0
test,0.01,L2O,15,1.0
test,0.01,DR-L2O,1,0.0
test,0.01,DR-L2O,2,0.0
test,0.01,DR-L2O,3,0.0
test,0.01,DR-L2O,4,0.016
test,0.01,DR-L2O,5,0.12
test,0.01,DR-L2O,6,0.548
test,0.01,DR-L2O,7,0.736
test,0.01,DR-L2O,8,0.82
test,0.01,DR-L2O,9,0.888
test,0.01,DR-L2O,10,0.948
test,0.01,DR-L2O,11,0.984
test,0.01,DR-L2O,12,0.988
test,0.01,DR-L2O,13,0.992
test,0.01,DR-L2O,14,0.992
test,0.01,DR-L2O,15,0.992
test,0.01,OPT-PEP,1,0.0
test,0.01,OPT-PEP,2,0.0
test,0.01,OPT-PEP,3,0.0
test,0.01,OPT-PEP,4,0.0
test,0.01,OPT-PEP,5,0.0
test,0.01,OPT-PEP,6,0.024
test,0.01,OPT-PEP,7,0.116
test,0.01,OPT-PEP,8,0.312
test,0.01,OPT-PEP,9,0.544
test,0.01,OPT-PEP,10,0.676
test,0.01,OPT-PEP,11,0.76
test,0.01,OPT-PEP,12,0.82
test,0.01,OPT-PEP,13,0.876
test,0.01,OPT-PEP,14,0.924
test,0.01,OPT-PEP,15,0.952
ood,0.0001,L2O,1,0.0
ood,0.0001,L2O,2,0.0
ood,0.0001,L2O,3,0.0
ood,0.0001,L2O,4,0.0
ood,0.0001,L2O,5,0.0
ood,0.0001,L2O,6,0.0
ood,0.0001,L2O,7,0.0
ood,0.0001,L2O,8,0.0
ood,0.0001,L2O,9,0.004
ood,0.0001,L2O,10,0.008
ood,0.0001,L2O,11,0.008
ood,0.0001,L2O,12,0.012
ood,0.0001,L2O,13,0.012
ood,0.0001,L2O,14,0.012
ood,0.0001,L2O,15,0.016
ood,0.0001,DR-L2O,1,0.0
ood,0.0001,DR-L2O,2,0.0
ood,0.0001,DR-L2O,3,0.0
ood,0.0001,DR-L2O,4,0.0
ood,0.0001,DR-L2O,5,0.0
ood,0.0001,DR-L2O,6,0.0
ood,0.0001,DR-L2O,7,0.0
ood,0.0001,DR-L2O,8,0.0
ood,0.0001,DR-L2O,9,0.0
ood,0.0001,DR-L2O,10,0.0
ood,0.0001,DR-L2O,11,0.0
ood,0.0001,DR-L2O,12,0.0
ood,0.0001,DR-L2O,13,0.0
ood,0.0001,DR-L2O,14,0.004
ood,0.0001,DR-L2O,15,0.024
ood,0.0001,OPT-PEP,1,0.0
ood,0.0001,OPT-PEP,2,0.0
ood,0.0001,OPT-PEP,3,0.0
ood,0.0001,OPT-PEP,4,0.0
ood,0.0001,OPT-PEP,5,0.0
ood,0.0001,OPT-PEP,6,0.0
ood,0.0001,OPT-PEP,7,0.0
ood,0.0001,OPT-PEP,8,0.0
ood,0.0001,OPT-PEP,9,0.0
ood,0.0001,OPT-PEP,10,0.0
ood,0.0001,OPT-PEP,11,0.0
ood,0.0001,OPT-PEP,12,0.0
ood,0.0001,OPT-PEP,13,0.0
ood,0.0001,OPT-PEP,14,0.0
ood,0.0001,OPT-PEP,15,0.0
ood,0.001,L2O,1,0.0
ood,0.001,L2O,2,0.0
ood,0.001,L2O,3,0.0
ood,0.001,L2O,4,0.012
ood,0.001,L2O,5,0.02
ood,0.001,L2O,6,0.052
ood,0.001,L2O,7,0.076
ood,0.001,L2O,8,0.072
ood,0.001,L2O,9,0.072
ood,0.001,L2O,10,0.08
ood,0.001,L2O,11,0.072
ood,0.001,L2O,12,0.076
ood,0.001,L2O,13,0.072
ood,0.001,L2O,14,0.072
ood,0.001,L2O,15,0.072
ood,0.001,DR-L2O,1,0.0
ood,0.001,DR-L2O,2,0.0
ood,0.001,DR-L2O,3,0.0
ood,0.001,DR-L2O,4,0.0
ood,0.001,DR-L2O,5,0.0
ood,0.001,DR-L2O,6,0.008
ood,0.001,DR-L2O,7,0.032
ood,0.001,DR-L2O,8,0.08
ood,0.001,DR-L2O,9,0.128
ood,0.001,DR-L2O,10,0.208
ood,0.001,DR-L2O,11,0.328
ood,0.001,DR-L2O,12,0.384
ood,0.001,DR-L2O,13,0.496
ood,0.001,DR-L2O,14,0.54
ood,0.001,DR-L2O,15,0.596
ood,0.001,OPT-PEP,1,0.0
ood,0.001,OPT-PEP,2,0.0
ood,0.001,OPT-PEP,3,0.0
ood,0.001,OPT-PEP,4,0.0
ood,0.001,OPT-PEP,5,0.0
ood,0.001,OPT-PEP,6,0.0
ood,0.001,OPT-PEP,7,0.0
ood,0.001,OPT-PEP,8,0.0
ood,0.001,OPT-PEP,9,0.008
ood,0.001,OPT-PEP,10,0.012
ood,0.001,OPT-PEP,11,0.036
ood,0.001,OPT-PEP,12,0.08
ood,0.001,OPT-PEP,13,0.112
ood,0.001,OPT-PEP,14,0.144
ood,0.001,OPT-PEP,15,0.204
ood,0.01,L2O,1,0.0
ood,0.01,L2O,2,0.2
ood,0.01,L2O,3,0.616
ood,0.01,L2O,4,0.636
ood,0.01,L2O,5,0.56
ood,0.01,L2O,6,0.508
ood,0.01,L2O,7,0.428
ood,0.01,L2O,8,0.376
ood,0.01,L2O,9,0.292
ood,0.01,L2O,10,0.256
ood,0.01,L2O,11,0.216
ood,0.01,L2O,12,0.204
ood,0.01,L2O,13,0.184
ood,0.01,L2O,14,0.172
ood,0.01,L2O,15,0.16
ood,0.01,DR-L2O,1,0.0
ood,0.01,DR-L2O,2,0.0
ood,0.01,DR-L2O,3,0.168
ood,0.01,DR-L2O,4,0.66
ood,0.01,DR-L2O,5,0.856
ood,0.01,DR-L2O,6,0.96
ood,0.01,DR-L2O,7,0.984
ood,0.01,DR-L2O,8,0.996
ood,0.01,DR-L2O,9,1.0
ood,0.01,DR-L2O,10,1.0
ood,0.01,DR-L2O,11,1.0
ood,0.01,DR-L2O,12,1.0
ood,0.01,DR-L2O,13,1.0
ood,0.01,DR-L2O,14,1.0
ood,0.01,DR-L2O,15,1.0
ood,0.01,OPT-PEP,1,0.0
ood,0.01,OPT-PEP,2,0.0
ood,0.01,OPT-PEP,3,0.012
ood,0.01,OPT-PEP,4,0.368
ood,0.01,OPT-PEP,5,0.34
ood,0.01,OPT-PEP,6,0.672
ood,0.01,OPT-PEP,7,0.828
ood,0.01,OPT-PEP,8,0.928
ood,0.01,OPT-PEP,9,0.956
ood,0.01,OPT-PEP,10,0.984
ood,0.01,OPT-PEP,11,0.996
ood,0.01,OPT-PEP,12,1.0
ood,0.01,OPT-PEP,13,1.0
ood,0.01,OPT-PEP,14,1.0
ood,0.01,OPT-PEP,15,1.0
