Framework,K,IDmean,IDq10,IDmed,IDq90,OODmean,OODq10,OODmed,OODq90
L2O,1,5.01e-2,3.64e-2,4.93e-2,6.43e-2,7.98e-2,5.14e-2,7.97e-2,1.10e-1
,2,1.57e-2,9.03e-3,1.50e-2,2.37e-2,2.24e-2,1.25e-2,2.00e-2,3.37e-2
,3,7.09e-3,3.15e-3,6.34e-3,1.23e-2,2.12e-2,9.98e-3,1.58e-2,3.93e-2
,4,4.10e-3,1.67e-3,3.54e-3,7.62e-3,2.22e-2,5.56e-3,1.10e-2,5.24e-2
,5,2.50e-3,8.34e-4,2.10e-3,4.93e-3,4.87e-2,3.04e-3,1.57e-2,1.47e-1
,6,1.50e-3,4.98e-4,1.18e-3,2.93e-3,3.12e-2,1.93e-3,2.21e-2,7.12e-2
,7,9.45e-4,3.19e-4,7.61e-4,1.81e-3,4.32e-2,1.70e-3,2.88e-2,1.08e-1
,8,6.08e-4,1.84e-4,4.41e-4,1.07e-3,3.88e-2,1.72e-3,2.13e-2,1.23e-1
,9,4.06e-4,1.16e-4,2.75e-4,7.22e-4,8.30e-2,1.02e-3,7.00e-2,1.86e-1
,10,2.95e-4,8.01e-5,1.87e-4,5.30e-4,4.82e-2,1.02e-3,4.14e-2,1.08e-1
,11,2.26e-4,4.23e-5,1.19e-4,4.23e-4,2.93e-2,3.05e-3,2.96e-2,5.20e-2
,12,1.74e-4,2.57e-5,8.04e-5,3.45e-4,1.51e-2,1.55e-3,1.36e-2,2.90e-2
,13,1.39e-4,1.60e-5,5.51e-5,2.89e-4,2.31e-2,1.97e-3,1.92e-2,4.34e-2
,14,1.16e-4,1.16e-5,3.57e-5,2.43e-4,2.09e-2,1.94e-3,1.67e-2,4.42e-2
,15,1.00e-4,8.98e-6,2.90e-5,2.16e-4,2.84e-2,1.74e-3,1.83e-2,7.49e-2
DR-L2O,1,8.97e-2,7.18e-2,8.74e-2,1.11e-1,5.73e-2,4.35e-2,5.68e-2,7.10e-2
,2,5.66e-2,4.33e-2,5.50e-2,7.34e-2,3.14e-2,2.09e-2,3.05e-2,4.22e-2
,3,2.27e-2,1.50e-2,2.12e-2,3.26e-2,9.48e-3,4.57e-3,8.89e-3,1.49e-2
,4,1.21e-2,6.44e-3,1.07e-2,1.99e-2,4.95e-3,1.75e-3,4.43e-3,8.29e-3
,5,6.09e-3,2.31e-3,5.06e-3,1.16e-2,2.68e-3,9.49e-4,2.33e-3,5.11e-3
,6,3.98e-3,1.29e-3,3.25e-3,7.87e-3,1.76e-3,6.24e-4,1.44e-3,3.37e-3
,7,2.77e-3,9.32e-4,2.28e-3,5.47e-3,1.21e-3,5.05e-4,1.02e-3,2.17e-3
,8,2.09e-3,7.82e-4,1.65e-3,4.01e-3,8.43e-4,3.59e-4,7.11e-4,1.45e-3
,9,1.58e-3,6.95e-4,1.26e-3,2.91e-3,5.71e-4,2.33e-4,4.89e-4,9.61e-4
,10,1.17e-3,5.34e-4,9.28e-4,2.09e-3,3.75e-4,1.28e-4,3.27e-4,6.44e-4
,11,1.00e-3,3.66e-4,7.46e-4,1.93e-3,3.04e-4,7.86e-5,2.33e-4,5.64e-4
,12,5.91e-4,2.21e-4,4.51e-4,1.02e-3,1.97e-4,5.33e-5,1.47e-4,3.60e-4
,13,4.32e-4,1.38e-4,3.12e-4,7.47e-4,1.64e-4,4.42e-5,1.09e-4,3.09e-4
,14,4.36e-4,1.84e-4,3.78e-4,7.31e-4,2.29e-4,8.45e-5,1.91e-4,3.94e-4
,15,3.33e-4,5.44e-5,1.65e-4,6.90e-4,1.10e-4,1.43e-5,3.83e-5,2.58e-4
OPT-PEP,1,8.85e-2,7.08e-2,8.62e-2,1.09e-1,5.66e-2,4.29e-2,5.61e-2,7.03e-2
,2,8.02e-2,6.42e-2,7.73e-2,1.00e-1,4.84e-2,3.65e-2,4.75e-2,6.11e-2
,3,5.05e-2,3.85e-2,4.84e-2,6.63e-2,2.62e-2,1.75e-2,2.52e-2,3.59e-2
,4,2.39e-2,1.60e-2,2.23e-2,3.42e-2,1.11e-2,5.91e-3,1.06e-2,1.70e-2
,5,1.89e-2,1.20e-2,1.75e-2,2.80e-2,8.27e-3,3.95e-3,7.79e-3,1.31e-2
,6,1.32e-2,7.49e-3,1.18e-2,2.10e-2,5.82e-3,2.40e-3,5.34e-3,9.64e-3
,7,8.68e-3,4.25e-3,7.58e-3,1.49e-2,3.67e-3,1.18e-3,3.17e-3,6.37e-3
,8,6.01e-3,2.51e-3,5.05e-3,1.11e-2,2.45e-3,6.55e-4,2.03e-3,4.71e-3
,9,4.09e-3,1.32e-3,3.33e-3,8.08e-3,1.61e-3,3.59e-4,1.30e-3,3.36e-3
,10,3.40e-3,9.86e-4,2.77e-3,6.89e-3,1.30e-3,2.46e-4,1.03e-3,2.72e-3
,11,2.17e-3,5.11e-4,1.72e-3,4.67e-3,7.93e-4,1.44e-4,5.96e-4,1.68e-3
,12,1.90e-3,3.99e-4,1.49e-3,4.18e-3,6.67e-4,9.60e-5,4.76e-4,1.44e-3
,13,1.26e-3,2.69e-4,9.31e-4,2.78e-3,4.17e-4,8.47e-5,2.64e-4,8.93e-4
,14,9.75e-4,2.19e-4,6.92e-4,2.08e-3,3.09e-4,6.26e-5,1.71e-4,6.70e-4
,15,8.23e-4,1.51e-4,5.43e-4,1.80e-3,2.50e-4,3.60e-5,1.12e-4,5.50e-4
