iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6,tau_7,sigma_7,theta_7
0,43.16348507450364,11.929127583984659,14.977309388108552,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,36.42418365285273,11.928886427730573,29.221302672987804,301322.6111966933,9.999999999999159e-07,0.10126208575089816,0.1012620857511358,0.9999979999674447,0.10126208575092088,0.10126208575107619,0.9999979999678749,0.10126208575087366,0.10126335863252262,0.9999979999669804,0.1012620857509872,0.10126335863233173,0.9999979999673687,0.101263358632703,0.10126335863263386,1.0000019999960115,0.10126208575106506,0.10126335863268672,0.9999979999684169,0.1012633586324392,0.10126335863268877,1.000001999984189,0.10126335863258508,0.10126335863253781,1.0000019999935206
2,35.78420081728923,11.687515691002897,29.535805525956675,300309.3738235773,0.001,0.10062593297886889,0.10062599646817551,0.9980032167547815,0.10062597421051009,0.10062602079881411,0.9980012322033139,0.10062609311124307,0.10190165499727291,0.9979996424853722,0.1006262487818535,0.10190109173376374,0.9979999581800283,0.10190058107986373,0.10190125281510926,1.0020018036602363,0.10063222171615414,0.10190091932712193,0.9979988424772639,0.10189299499550356,0.10190114526057995,1.001981428480918,0.10189799346511245,0.10190020734824433,1.0019947099576971
3,36.95264075345952,11.454225772669293,15.235471542924643,284642.64308309276,0.0009698764640825613,0.10001210348730522,0.10001471767161385,0.9960672371988951,0.10001620013310826,0.10001044021800193,0.9960631275425385,0.1000110223086508,0.10252288421366587,0.9960582589814315,0.10001698031196034,0.10251770588157003,0.9960584621770187,0.10252044882398473,0.10251928031767137,1.0039396880712999,0.10003724296949597,0.10252177371411215,0.9960592702926391,0.10251013148451334,0.10252239189407042,1.0039149600006467,0.1025171149162832,0.10251841540575314,1.0039340576464846
4,36.36029354277715,11.241473969338845,16.453591705067083,300527.8667383792,0.0008831391993379295,0.09945463214591904,0.09945974157276219,0.9943092227616159,0.09946239768184395,0.09945270284809313,0.9943072740557168,0.09945279226652183,0.10309219368787313,0.9942977780702833,0.09946146897279926,0.10307701915628413,0.9942971517374816,0.10308666958751948,0.10308439183485604,1.0057067770439267,0.09948932767433928,0.10308802541783504,0.9943006727308442,0.1030728348727361,0.10308930062989474,1.0056739902057148,0.10307886690243505,0.10307955568209394,1.0056866482682567
5,39.1106654772112,11.060414899176516,15.045530657982454,325109.36910210055,0.0007502499999999999,0.0989813561343505,0.09898628922129689,0.9928210473501882,0.09899020972610459,0.0989773271365655,0.9928145639512126,0.09897890880166324,0.10357759111784212,0.9928039626311155,0.09898829514719219,0.10355451307152405,0.9928047907750922,0.10356864895639052,0.10356503446270206,1.0072075439392163,0.09901977780646774,0.1035705126633922,0.9928048483320139,0.10355335069835925,0.10357231273005799,1.0071737823261921,0.10355914597101848,0.10355972204733835,1.0071844389970896
6,36.15163583316718,10.91857081946543,15.421860741917044,313534.3277552098,0.0005872372647446318,0.09861139306718958,0.09861605906890884,0.9916563621988987,0.09862079064578151,0.09860725717517071,0.9916511154213931,0.0986090764814987,0.10395908715945958,0.9916402400461867,0.0986174804345602,0.10392572795535887,0.9916411527674481,0.10394690421007834,0.10394243844880949,1.0083836526958796,0.09865101480577602,0.10394790823887023,0.991639910535518,0.10393133934623779,0.10395045085780805,1.0083551328879357,0.10393292138669151,0.10393317612800977,1.0083467606454037
7,35.096415130884694,10.818706718138422,15.958666173974052,279912.08893016167,0.00041376273525536834,0.09835123150977633,0.09835550257663553,0.9908344738807772,0.09836170875063888,0.0983465789854592,0.9908321846626718,0.09834861470659723,0.10422968644526912,0.9908183832124842,0.09835627843037113,0.10418485947608372,0.9908196658423194,0.10421376118066049,0.10420842398929449,1.0092113324680692,0.09839293116501066,0.10421428534921066,0.9908185497153581,0.10419951814784803,0.10421771045138381,1.0091940776044015,0.10419647379156727,0.10419446257650265,1.009164096529355
8,38.37067061299228,10.758221983449454,15.47942184889689,292261.8355174963,0.0002507500000000001,0.09819357638368502,0.0981977138067732,0.9903347330550325,0.09820595221780709,0.09818903696429308,0.9903380755748046,0.09819078102180155,0.10439443548235994,0.9903192754077104,0.09819787123392501,0.1043414697711438,0.9903208633482082,0.10437557459468243,0.1043701638636083,1.0097125217563314,0.09823861139868768,0.10437616523945335,0.9903221027197593,0.10436285018401117,0.1043800765985718,1.009701200589719,0.10435651943752912,0.10435209702696663,1.0096584623019247
9,36.59831030488742,10.729889357094812,16.049454597057775,272720.2440639156,0.00011786080066207054,0.09811974202931695,0.09812368617717147,0.9900994985516504,0.09813303147813067,0.09811475543986489,0.9901053358097093,0.09811657623741554,0.1044719129976067,0.990083984831851,0.09812361127151409,0.10441457359682921,0.9900857298600919,0.10445166249786944,0.10444584241514804,1.0099479463982621,0.09816752729396303,0.10445244015127843,0.9900881783575556,0.10444011727213898,0.1044564748476267,1.009942161108838,0.10443206933525592,0.10442579283586796,1.0098917821077127
