iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
0,3.2248448618849768,0.008823653685642587,0.21887258399510756,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,3.2248448618849768,0.008823663874202461,0.480537292023655,42.72708740722894,9.999999999999159e-07,1.2500022360857972,1.249997763916018,1.2499977639160298,1.250002236085964,1.2499977639159987,1.2500022360859793,1.249997763916021,1.2499977639161144,1.2499977639160234,1.250002236085962,1.2499977639160462,1.249997763916076,1.2499977639160125
2,3.224846305737662,0.008823877625061087,0.3352891670074314,42.72682821430268,2.097999999999987e-05,1.2500491493052808,1.2499508516415023,1.2499508516490825,1.2500491493124173,1.249950851647441,1.2500491493317263,1.2499508516522297,1.2499508516604239,1.2499508516494786,1.2500491493198675,1.249950851636662,1.2499508516501554,1.2499508516397444
3,3.224876596727454,0.008824294918101777,0.017521000001579523,42.7215995416677,4.095999999999993e-05,1.2501407414583527,1.2498592653922889,1.2498592660138304,1.2501407416445502,1.2498592657221093,1.2501407429414495,1.2498592659489036,1.249859266442744,1.2498592658223313,1.250140742353679,1.24985926517487,1.2498592660082284,1.2498592652636333
4,3.224935730319782,0.008824915713609908,0.017290749994572252,42.71139501424207,6.0939999999999996e-05,1.2502770148827704,1.2497230091670082,1.2497230130989483,1.2502770159263468,1.2497230112244258,1.2502770240845256,1.2497230126271717,1.2497230157157107,1.249723011837723,1.2502770204361615,1.2497230078373847,1.2497230130481634,1.2497230083639235
5,3.225023697624616,0.008825739954186354,0.017274999991059303,42.69620685758636,8.091999999999984e-05,1.250457971855789,1.249542087947422,1.249542102276615,1.2504579755389347,1.2495420954230618,1.250458005251372,1.2495421005200833,1.2495421117212688,1.2495420976448168,1.2504579919824381,1.2495420831048105,1.2495421021286073,1.2495420850163805
6,3.225140485692021,0.008826767563085165,0.017303833039477468,42.67605261167471,0.0001008999999999999,1.2506836132749395,1.2493165076700061,1.249316547019885,1.2506836231818659,1.2493165281785563,1.250683704799529,1.2493165421909147,1.249316572896358,1.2493165342793275,1.2506836683696012,1.2493164943588693,1.2493165466101435,1.2493164996145871
7,3.2252860772967837,0.008827998445193077,0.017294666962698102,42.65095872169495,0.00012087999999999997,1.2509539375070755,1.2490462746767041,1.2490463651867219,1.250953960216872,1.2490463218309853,1.2509541480122197,1.2490463540882237,1.249046424723763,1.249046335866735,1.250954064262762,1.2490462441031491,1.2490463641734666,1.2490462561699254
8,3.22546045115913,0.00882943248602734,0.017071667010895908,42.62092622010605,0.00014085999999999992,1.2512689396750114,1.2487313954386299,1.2487315795848402,1.2512689857166792,1.2487314913470506,1.2512693678988198,1.2487315570234618,1.248731700731335,1.2487315199047218,1.2512691976318866,1.2487313334427677,1.2487315775390846,1.2487313578702248
9,3.2256635817986625,0.008831069554247737,0.01752762496471405,42.58597218629254,0.00016083999999999998,1.2516286108636283,1.2483718757598496,1.2483722178866836,1.2516286961242944,1.2483720539476182,1.2516294064832474,1.2483721760780278,1.2483724431011445,1.2483721070096523,1.2516290902631493,1.2483717609811982,1.2483722141352618,1.2483718061682096
10,3.2258954399479958,0.008832909499763683,0.017231333011295646,42.54612023289946,0.00018081999999999983,1.2520329367864087,1.2479677207748114,1.2479683134814055,1.2520330840428884,1.2479680295132645,1.2520343152230866,1.2479682413322442,1.2479687039838425,1.2479681214678835,1.2520337675501056,1.2479675227301983,1.2479683069083256,1.2479676006504308
11,3.2261559923341463,0.0088349521543574,0.017505874973721802,42.50140343488982,0.0002007999999999999,1.252481896857298,1.2475189344844582,1.2475199057152897,1.2524821375645039,1.2475194404697445,1.2524841559707378,1.247519788033636,1.2475205461317551,1.2475195912273798,1.2524832587122017,1.247518611326565,1.2475198950516058,1.247518738407771
12,3.226445201867488,0.008837197332201209,0.017112209054175764,42.45182851054751,0.00022077999999999996,1.25297546374257,1.247025519305777,1.2470270401751724,1.2529758394018773,1.2470263118048879,1.2529790017345939,1.2470268568640002,1.2470280438002133,1.247026548003441,1.2529775969281054,1.247025015573423,1.2470270235850809,1.2470252135978939
13,3.22676302770726,0.008839644829795528,0.017510583042167127,42.39744830201005,0.0002407599999999999,1.2535136017833153,1.2464874758161348,1.2464897690476497,1.2535141662327918,1.2464886710816052,1.253518937426793,1.2464894942700113,1.246491283648063,1.2464890274248894,1.2535168194042818,1.2464867200329062,1.2464897442636715,1.2464870170088875
14,3.227109425413186,0.008842294425818742,0.01723237498663366,42.338278029429986,0.00026074,1.2540962665833317,1.2459048025080477,1.2459081515128578,1.2540970877294888,1.245906548582249,1.2541040603460003,1.245907752892316,1.2459103654179406,1.2459070692833476,1.254100967344656,1.2459037046619645,1.2459081155455336,1.2459041358052643
15,3.2274843469299777,0.008845145883074149,0.017551291966810822,42.27435722348242,0.00028071999999999993,1.2547234042901738,1.245277495081574,1.2452822538025272,1.2547245661717015,1.2452799769301348,1.2547344811929697,1.2452816915097902,1.2452854023929574,1.245280717308522,1.2547300862173312,1.2452759439191288,1.2452822027834676,1.2452765527669958
16,3.227887740970353,0.008848198946559275,0.01715191698167473,42.205732823085384,0.0003007,1.2553949507960538,1.2446055464979762,1.244612149777069,1.2553965550058932,1.2446089914923772,1.2554103241857382,1.2446113755258996,1.2446165225662378,1.244610019550384,1.2554042256156,1.2446034071933754,1.244612078892048,1.2446042464190326
17,3.2283195528603095,0.008851453344845075,0.01695716701215133,42.132420138466614,0.00032068000000000005,1.2561108309594409,1.2438889466921526,1.2438979208262626,1.2561129987281674,1.243893630262703,1.2561317277636126,1.243896877296829,1.2439038686747377,1.2438950284560368,1.256123439221767,1.2438860580751139,1.2438978242723377,1.2438871905611804
18,3.2287797247812864,0.008854908790368026,0.01722858299035579,42.05447776085845,0.00034066,1.256870957751253,1.2431276821554091,1.2431396562756905,1.2568738316320422,1.2431339338707288,1.2568988449515208,1.243138276273108,1.2431475992709926,1.2431358008482247,1.2568877848277713,1.2431238544119965,1.2431395271173316,1.2431253540892262
19,3.2292681960063803,0.008858564979361052,0.01721137500135228,41.97194339989575,0.00036063999999999996,1.2576752317865683,1.2423217358588605,1.2423374535185878,1.2576789772936596,1.242329945591564,1.2577118437637838,1.242335659233806,1.2423478888815112,1.2423323981140735,1.2576973243811536,1.2423167481040662,1.2423372836679283,1.2423187007755863
20,3.229784902947295,0.008862421591867918,0.017563249974045902,41.88485901360051,0.0003806199999999999,1.2585235406772184,1.2414710869271082,1.2414914182949874,1.2585283474660904,1.2414817114870822,1.2585709073552243,1.2414891206086212,1.2415049287975604,1.2414848862569472,1.2585521238394906,1.241464685399549,1.2414911983154384,1.2414671892657771
21,3.2303297793205563,0.008866478293812421,0.017126958002336323,41.79326897956846,0.0004006,1.2594157593597166,1.2405757102591433,1.2406016643804565,1.2594218417477998,1.240589280021162,1.2594762346656572,1.2405987624546548,1.2406189268947938,1.240593335740473,1.2594522531185397,1.2405676059576485,1.2406013834576606,1.2405707725478938
22,3.2309027564620654,0.008870734735087312,0.01695533300517127,41.697217054055145,0.00042057999999999993,1.2603517484446316,1.2396355767727858,1.2396683141978109,1.2603593462535734,1.2396527025905322,1.2604280401445518,1.2396646950041004,1.2396901085486896,1.239657821875941,1.260397785913356,1.2396254439307448,1.2396679602465484,1.2396293983982074
23,3.2315037633252555,0.008875190553047318,0.017191082995850593,41.596755432649466,0.0004405599999999999,1.2613313547701848,1.238650652717971,1.2386914984827675,1.2613407332804925,1.2386720328771281,1.2614265544787349,1.2386870363960618,1.2387187161145543,1.238678424375894,1.2613887999474436,1.2386381270798144,1.238691057862245,1.2386430086908424
24,3.232132727026107,0.008879845368963822,0.01722937496379018,41.49192670769579,0.00046053999999999995,1.2623544103714817,1.2376209000727636,1.2376713567550477,1.2623658599223173,1.2376473276416617,1.2624720240135061,1.237665913397745,1.2377050102694607,1.2376552279743303,1.26242537632473,1.2376055780421673,1.2376708145231146,1.2376115401711953
25,3.232789572536299,0.008884698790822657,0.01727787498384714,41.38278086066219,0.0004805199999999999,1.263420733217937,1.2365462761826276,1.2366080370119477,1.2634345676289662,1.2365786462046862,1.2635647112917667,1.2366014612326497,1.2366492694956102,1.2365883220305278,1.2635075997843015,1.236527713809409,1.2366073763721113,1.2365349239607273
26,3.233474223063954,0.008889750412006568,0.01724504097364843,41.26936674683882,0.0005005,1.2645301265176634,1.2354267335854021,1.2355016958922092,1.264546680897157,1.2354660507173365,1.2647048947514634,1.2354938237711446,1.235551790603167,1.2354778006508769,1.2646355584333004,1.2354044463786158,1.2355008994007066,1.2354130858189767
27,3.2341866002373565,0.008894999814437433,0.017110583023168147,41.15172993938372,0.00052048,1.2656823785608384,1.2342622198554016,1.2343524984814092,1.265702006816803,1.2343096059062677,1.2658928690834854,1.234343153565595,1.2344128883133045,1.2343237624573087,1.265809343825587,1.2342356827751695,1.2343515473933737,1.234245945989011
28,3.234926624571757,0.008900446568656297,0.017045334039721638,41.029921346768816,0.00054046,1.2668772628013178,1.2330526774457011,1.233160618075298,1.2669003341710183,1.2331093789503724,1.2671289453147911,1.2331496118065162,1.2332328956997716,1.233126310362482,1.267029051016064,1.233021325155815,1.2331594926242189,1.2330334191584462
29,3.2356942156696338,0.008906090229872507,0.017561749962624162,40.90399245497986,0.00056044,1.2681145393033115,1.2317980440486878,1.2319262369857973,1.2681414313363577,1.2318654402680578,1.2684134498039163,1.2319133689675352,1.2320121643699797,1.2318855521149685,1.2682947777029439,1.2317612721942899,1.231924916643477,1.2317754153156202
